date,city,state,interviews,positive,infected_rate
2020-05-21,PI,Parnaíba,250,0,0.0
2020-05-21,PI,São Raimundo Nonato,247,0,0.0
2020-05-21,PI,Teresina,250,0,0.005
2020-05-21,PR,Cascavel,248,0,0.005
2020-05-21,PR,Curitiba,217,0,0.0
2020-05-21,PR,Guarapuava,250,0,0.0
2020-05-21,PR,Londrina,244,0,0.0
2020-05-21,PR,Maringá,250,0,0.0
2020-05-21,PR,Ponta Grossa,250,4,0.017
2020-05-21,RJ,Petrópolis,239,0,0.005
2020-05-21,RJ,Rio de Janeiro,243,5,0.022
2020-05-21,RJ,Volta Redonda,207,0,0.0
2020-05-21,RN,Natal,229,0,0.009
2020-05-21,RO,Ji-Paraná,250,0,0.0
2020-05-21,RR,Boa Vista,250,10,0.045
2020-05-21,RS,Caxias do Sul,250,0,0.0
2020-05-21,RS,Ijuí,240,0,0.0
2020-05-21,RS,Passo Fundo,250,0,0.005
2020-05-21,RS,Pelotas,247,0,0.0
2020-05-21,RS,Porto Alegre,248,0,0.0
2020-05-21,RS,Santa Cruz do Sul,250,0,0.0
2020-05-21,RS,Santa Maria,250,0,0.0
2020-05-21,RS,Uruguaiana,250,0,0.0
2020-05-21,SC,Blumenau,232,0,0.0
2020-05-21,SC,Chapecó,250,0,0.0
2020-05-21,SC,Criciúma,250,0,0.0
2020-05-21,SC,Florianópolis,223,0,0.005
2020-05-21,SC,Joinville,250,0,0.0
2020-05-21,SC,Lages,234,0,0.0
2020-05-21,SE,Aracaju,250,0,0.005
2020-05-21,SE,Itabaiana,250,0,0.0
2020-05-21,SP,Bauru,225,0,0.0
2020-05-21,SP,Campinas,237,0,0.009
2020-05-21,SP,Marília,229,0,0.0
2020-05-21,SP,Ribeirão Preto,239,0,0.005
2020-05-21,SP,São José do Rio Preto,239,0,0.0
2020-05-21,SP,São Paulo,212,6,0.031
2020-05-21,TO,Araguaína,238,0,0.0
2020-05-21,TO,Gurupi,250,0,0.0
2020-05-21,TO,Palmas,243,0,0.0
2020-06-07,PA,Altamira,250,6,0.028
2020-06-07,SE,Aracaju,250,2,0.009
2020-06-07,SP,Araçatuba,250,1,0.005
2020-06-07,TO,Araguaína,200,2,0.011
2020-06-07,AL,Arapiraca,250,6,0.028
2020-06-07,SP,Araraquara,247,0,0.0
2020-06-07,MA,Bacabal,250,10,0.047
2020-06-07,MG,Barbacena,250,0,0.0
2020-06-07,MT,Barra do Garças,250,1,0.005
2020-06-07,BA,Barreiras,250,0,0.0
2020-06-07,SP,Bauru,250,1,0.005
2020-06-07,PA,Belém,250,36,0.169
2020-06-07,MG,Belo Horizonte,250,0,0.0
2020-06-07,SC,Blumenau,239,1,0.005
2020-06-07,RR,Boa Vista,250,54,0.245
2020-06-07,DF,Brasília,250,2,0.009
2020-06-07,PA,Breves,250,26,0.122
2020-06-07,SC,Caçador,250,0,0.0
2020-06-07,MT,Cáceres,215,0,0.0
2020-06-07,ES,Cachoeiro de Itapemirim,250,3,0.014
2020-06-07,RN,Caicó,250,0,0.0
2020-06-07,PB,Campina Grande,250,14,0.066
2020-06-07,SP,Campinas,250,1,0.005
2020-06-07,MS,Campo Grande,203,0,0.0
2020-06-07,PE,Caruaru,222,4,0.021
2020-06-07,PR,Cascavel,250,0,0.0
2020-06-07,PA,Castanhal,250,23,0.108
2020-06-07,MA,Caxias,250,1,0.005
2020-06-07,RS,Caxias do Sul,250,0,0.0
2020-06-07,SC,Chapecó,250,0,0.0
2020-06-07,ES,Colatina,250,2,0.009
2020-06-07,PI,Corrente,250,0,0.0
2020-06-07,MS,Corumbá,250,0,0.0
2020-06-07,CE,Crateús,250,2,0.009
2020-06-07,AC,Cruzeiro do Sul,250,33,0.155
2020-06-07,MT,Cuiabá,250,3,0.014
2020-06-07,MG,Divinópolis,250,0,0.0
2020-06-07,MS,Dourados,250,1,0.005
2020-06-07,BA,Feira de Santana,208,1,0.006
2020-06-07,PI,Floriano,250,0,0.0
2020-06-07,SC,Florianópolis,205,0,0.0
2020-06-07,CE,Fortaleza,226,30,0.156
2020-06-07,GO,Goiânia,250,0,0.0
2020-06-07,BA,Guanambi,250,0,0.0
2020-06-07,PR,Guarapuava,250,0,0.0
2020-06-07,TO,Gurupi,250,0,0.0
2020-06-07,CE,Iguatu,250,2,0.009
2020-06-07,MA,Imperatriz,250,35,0.165
2020-06-07,MG,Ipatinga,224,0,0.0
2020-06-07,GO,Iporá,250,0,0.0
2020-06-07,BA,Irecê,250,0,0.0
2020-06-07,SE,Itabaiana,250,3,0.014
2020-06-07,BA,Itabuna,200,1,0.006
2020-06-07,GO,Itumbiara,250,0,0.0
2020-06-07,RO,Ji-Paraná,250,2,0.009
2020-06-07,PB,João Pessoa,250,13,0.061
2020-06-07,SC,Joinville,250,0,0.0
2020-06-07,BA,Juazeiro,250,0,0.0
2020-06-07,CE,Juazeiro do Norte,250,3,0.014
2020-06-07,MG,Juiz de Fora,250,0,0.0
2020-06-07,AM,Lábrea,250,8,0.037
2020-06-07,SC,Lages,215,0,0.0
2020-06-07,GO,Luziânia,250,3,0.014
2020-06-07,RJ,Macaé,206,1,0.006
2020-06-07,AP,Macapá,250,32,0.150
2020-06-07,AL,Maceió,250,26,0.122
2020-06-07,AM,Manaus,250,31,0.146
2020-06-07,PA,Marabá,250,22,0.103
2020-06-07,SP,Marília,250,0,0.0
2020-06-07,MG,Montes Claros,250,0,0.0
2020-06-07,RN,Natal,241,7,0.034
2020-06-07,AP,Oiapoque,250,11,0.051
2020-06-07,TO,Palmas,250,1,0.005
2020-06-07,AM,Parintins,250,24,0.113
2020-06-07,PI,Parnaíba,250,12,0.056
2020-06-07,RS,Passo Fundo,233,1,0.005
2020-06-07,PB,Patos,250,3,0.014
2020-06-07,MG,Patos de Minas,250,0,0.0
2020-06-07,BA,Paulo Afonso,250,1,0.005
2020-06-07,RS,Pelotas,250,0,0.0
2020-06-07,PE,Petrolina,250,0,0.0
2020-06-07,RJ,Petrópolis,250,1,0.005
2020-06-07,PI,Picos,250,1,0.005
2020-06-07,PR,Ponta Grossa,234,0,0.0
2020-06-07,GO,Porangatu,250,0,0.0
2020-06-07,RS,Porto Alegre,230,0,0.0
2020-06-07,RO,Porto Velho,250,7,0.032
2020-06-07,MG,Pouso Alegre,250,0,0.0
2020-06-07,MA,Presidente Dutra,250,18,0.084
2020-06-07,SP,Presidente Prudente,250,0,0.0
2020-06-07,CE,Quixadá,250,3,0.014
2020-06-07,PE,Recife,220,6,0.032
2020-06-07,PA,Redenção,250,3,0.014
2020-06-07,SP,Ribeirão Preto,250,0,0.0
2020-06-07,AC,Rio Branco,250,10,0.047
2020-06-07,RJ,Rio de Janeiro,250,16,0.075
2020-06-07,GO,Rio Verde,250,1,0.005
2020-06-07,RR,Rorainópolis,250,22,0.103
2020-06-07,BA,Salvador,215,10,0.054
2020-06-07,RS,Santa Cruz do Sul,250,0,0.0
2020-06-07,RS,Santa Maria,242,0,0.0
2020-06-07,PA,Santarém,250,23,0.108
2020-06-07,MA,São Luís,232,13,0.066
2020-06-07,ES,São Mateus,250,0,0.0
2020-06-07,SP,São Paulo,250,5,0.023
2020-06-07,PI,São Raimundo Nonato,250,0,0.0
2020-06-07,PE,Serra Talhada,250,2,0.009
2020-06-07,MT,Sinop,250,0,0.0
2020-06-07,SP,Sorocaba,210,1,0.006
2020-06-07,PB,Sousa,250,2,0.009
2020-06-07,AM,Tefé,250,43,0.202
2020-06-07,MG,Teófilo Otoni,250,2,0.009
2020-06-07,PI,Teresina,250,3,0.014
2020-06-07,MG,Uberaba,250,0,0.0
2020-06-07,MG,Uberlândia,250,0,0.0
2020-06-07,RS,Uruguaiana,250,0,0.0
2020-06-07,MG,Varginha,250,0,0.0
2020-06-07,ES,Vitória,250,7,0.032
2020-06-07,BA,Vitória da Conquista,250,0,0.0
2020-06-07,RJ,Volta Redonda,250,1,0.005
