Date,Estimated Population,Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Infected,Closed,Active,μ closed,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
2020-04-09,7765820252,11436,9348991,units unclear,1562731,773515,100761,1562731,874276,688455,0.115,81827.71,81827.71,53709.29,6673.57,60382.86,21444.86,462.46,1886.23,27.86,1914.09,-1451.6286,53.01,-26.3806,-9.8098,201.23,12.97,99.61,112.58,88.65,5.98,1203.86
2020-04-10,7765820252,11436,9910796,units unclear,1648917,828890,107978,1648917,936868,712049,0.115,81316.29,81316.29,55668.43,6663.29,62331.71,18984.57,261.57,1747.14,34.4,1781.54,-1519.9714,-255.5771,-17.3451,-24.5691,212.33,13.9,106.74,120.64,91.69,6.01,1276.21
2020-04-11,7765820252,11436,10581347,units unclear,1724609,887645,113950,1724609,1001595,723014,0.114,80303.57,80303.57,57551.14,6508.14,64059.29,16244.29,637.31,1628.43,15.14,1643.57,-1006.2571,-191.52,-1.2709,15.35,222.08,14.67,114.3,128.97,93.1,6.14,1362.55
2020-04-12,7765820252,11436,12764211,units unclear,1820440,947705,119621,1820440,1067326,753114,0.112,79897.0,79897.0,58811.57,6722.57,65534.14,14362.86,-144.9714,1511.4,40.49,1551.89,-1696.8571,-174.16,-50.1154,9.37,234.42,15.4,122.04,137.44,96.98,7.01,1643.64
2020-04-13,7765820252,11436,12021062,units unclear,1888730,1010486,125301,1888730,1135787,752943,0.11,81171.43,81171.43,60189.14,6650.57,66839.71,14331.71,-136.3143,1342.34,55.54,1397.89,-1534.2,-100.3771,37.57,12.75,243.21,16.13,130.12,146.25,96.96,6.36,1547.94
2020-04-14,7765820252,11436,12534336,units unclear,1957200,1072160,132080,1957200,1204240,752960,0.11,81102.86,81102.86,61266.29,6876.0,68142.29,12960.57,-408.3429,1207.57,50.4,1257.97,-1666.3143,-197.5714,20.49,7.08,252.03,17.01,138.06,155.07,96.96,6.4,1614.04
2020-04-15,7765820252,11436,12646158,units unclear,2036858,1132404,140285,2036858,1272689,764169,0.11,80634.71,80634.71,62380.14,6941.0,69321.14,11313.57,-240.3143,1111.03,-3.9714,1107.06,-1347.3714,-67.7143,46.42,18.64,262.28,18.06,145.82,163.88,98.4,6.21,1628.44
2020-04-16,7765820252,11436,12977159,units unclear,2130931,1194839,147315,2130931,1342154,788777,0.11,78261.86,78261.86,63589.0,6760.14,70349.14,7912.71,-350.5429,968.23,16.0,984.23,-1334.7714,-89.0857,34.12,-2.8085,274.4,18.97,153.86,172.83,101.57,6.09,1671.06
2020-04-17,7765820252,11436,13745852,units unclear,2216637,1257754,156110,2216637,1413864,802773,0.11,78695.43,78695.43,64366.71,6702.71,71069.43,7626.0,-483.5429,938.49,-75.2286,863.26,-1346.8,57.94,43.1,3.84,285.44,20.1,161.96,182.06,103.37,6.2,1770.05
2020-04-18,7765820252,11436,14095424,units unclear,2289052,1324306,162537,2289052,1486843,802209,0.109,79418.71,79418.71,65030.29,6730.57,71760.86,7657.86,-581.7429,838.74,-98.0571,740.69,-1322.4286,70.23,23.53,-10.6578,294.76,20.93,170.53,191.46,103.3,6.16,1815.06
