Key,Group Name,M,β,γ,α,μ,σ(β),σ(γ),σ(α),σ(μ),σ(E),R0,σ(R0),Loss 7 Days,Loss 14 Days
peru,All,778184.26,0.34,0.196,0.0909,0.0557,0.008,0.7,1.0,0.0034,79132.82,3.74,41.19,0.339,0.339
philippines,All,241256.43,0.343,0.196,0.0909,0.0219,0.0073,0.7,1.0,0.0006,34965.24,3.77,41.45,0.167,0.167
poland,All,2.596993406e7,0.129,0.196,0.0909,0.038,0.002,0.7,1.0,0.0006,6843.23,1.42,15.58,0.282,0.282
portugal,All,7.75134046e6,0.0734,0.196,0.0909,0.0343,0.0019,0.7,1.0,0.0002,4200.61,0.807,8.88,0.475,0.475
qatar,All,2.64814051e6,0.0667,0.196,0.0909,0.0017,0.0026,0.7,1.0,0.0,7126.74,0.734,8.07,0.238,0.238
romania,All,123832.58,0.223,0.196,0.0909,0.0522,0.0027,0.7,1.0,0.0008,17145.79,2.46,27.01,0.196,0.196
russia,All,1.2347179663e8,0.0805,0.196,0.0909,0.0181,0.0001,0.7,1.0,0.0,107936.3,0.885,9.74,0.0613,0.0613
rwanda,All,6.62808296e6,0.0866,0.196,0.0909,0.0041,0.0177,0.7,1.0,0.0003,634.64,0.953,10.48,0.982,0.982
san_marino,All,12117.06,0.0965,0.196,0.0909,0.0601,,0.7,1.0,0.0,0.0,1.06,,0.921,0.921
sao_tome_and_principe,All,108462.13,0.0012,0.196,0.0909,0.0174,0.0137,0.7,1.0,0.0001,309.52,0.0133,0.21,0.533,0.533
saudi_arabia,All,2.64713773e7,0.0588,0.196,0.0909,0.0121,0.0007,0.7,1.0,0.0001,44011.52,0.647,7.11,0.128,0.128
senegal,All,9.16063138e6,0.1,0.196,0.0909,0.0235,0.0033,0.7,1.0,0.0002,2283.68,1.1,12.13,0.695,0.695
serbia,All,3.41338854e6,0.0664,0.196,0.0909,0.0253,0.0029,0.7,1.0,0.0003,7134.54,0.73,8.03,0.346,0.346
sierra_leone,All,2.07684753e6,0.0708,0.196,0.0909,0.0371,0.0129,0.7,1.0,0.0004,200.28,0.778,8.56,0.623,0.623
singapore,All,62565.19,0.5,0.196,0.0909,,0.0157,0.7,1.0,,4999.12,5.5,60.49,0.584,0.584
slovakia,All,4.35004654e6,0.136,0.196,0.0909,0.0127,0.0016,0.7,1.0,0.0004,397.95,1.49,16.44,0.318,0.318
slovenia,All,1.05666846e6,0.0959,0.196,0.0909,0.0586,0.0114,0.7,1.0,0.0011,353.74,1.06,11.61,0.952,0.952
somalia,All,9.49723787e6,0.023,0.196,0.0909,0.029,0.0389,0.7,1.0,0.0001,169.06,0.252,2.81,0.333,0.333
south_africa,All,680333.36,0.267,0.196,0.0909,0.0229,0.0026,0.7,1.0,0.0002,219529.6,2.93,32.27,0.111,0.111
south_korea,All,2.24947666e7,0.153,0.196,0.0909,0.021,0.0066,0.7,1.0,0.0002,990.98,1.68,18.48,0.762,0.762
south_sudan,All,3.55426879e6,0.0547,0.196,0.0909,0.0196,0.0083,0.7,1.0,0.0002,174.27,0.602,6.62,0.765,0.765
spain,All,3.850641129e7,0.171,0.196,0.0909,0.0929,0.0072,0.7,1.0,0.0024,31643.77,1.88,20.68,0.508,0.508
sri_lanka,All,1.754069536e7,0.0268,0.196,0.0909,0.0039,0.0342,0.7,1.0,0.0,174.27,0.295,3.27,0.139,0.139
sudan,All,1.952303469e7,0.0594,0.196,0.0909,0.0681,0.0155,0.7,1.0,0.0001,2015.77,0.653,7.19,0.439,0.439
suriname,All,487974.45,0.137,0.196,0.0909,0.0213,0.0024,0.7,1.0,0.0011,941.56,1.51,16.63,0.17,0.17
sweden,All,7.6222434e6,0.0817,0.196,0.0909,0.0711,0.0039,0.7,1.0,0.0005,4463.32,0.898,9.88,0.699,0.699
switzerland,All,5.82734926e6,0.128,0.196,0.0909,0.0553,0.0046,0.7,1.0,0.0006,2007.97,1.41,15.54,0.476,0.476
tajikistan,All,6.30193344e6,0.0815,0.196,0.0909,0.0084,0.0051,0.7,1.0,0.0,827.12,0.896,9.86,0.381,0.381
tanzania,All,5.9706016e7,,0.196,0.0909,0.0413,,0.7,1.0,0.0,0.0,,,,
thailand,All,5.768576258e7,0.0782,0.196,0.0909,0.0174,0.0129,0.7,1.0,0.0001,104.04,0.86,9.47,1.09,1.09
togo,All,1.64715278e6,0.101,0.196,0.0909,0.0267,0.0063,0.7,1.0,0.0005,189.87,1.11,12.25,0.363,0.363
trinidad_and_tobago,All,773240.01,0.418,0.196,0.0909,0.0386,0.0289,0.7,1.0,0.0027,15.61,4.6,50.59,0.17,0.17
tunisia,All,7.40438925e6,0.212,0.196,0.0909,0.0329,0.0026,0.7,1.0,0.0004,231.49,2.33,25.61,0.405,0.405
turkey,All,4.372751653e7,0.105,0.196,0.0909,0.0252,0.0003,0.7,1.0,0.0001,16784.25,1.16,12.71,0.34,0.34
uganda,All,4.48045355e7,0.188,0.196,0.0909,0.0104,0.0064,0.7,1.0,0.0015,85.83,2.06,22.71,0.44,0.44
ukraine,All,3.791941598e7,0.128,0.196,0.0909,0.0267,0.001,0.7,1.0,0.0003,14843.91,1.41,15.49,0.116,0.116
united_arab_emirates,All,6.72802959e6,0.0751,0.196,0.0909,0.0059,0.0021,0.7,1.0,0.0,4752.03,0.827,9.09,0.357,0.357
united_kingdom,All,3.414871135e7,0.118,0.196,0.0909,0.134,0.0073,0.7,1.0,0.0009,12216.9,1.29,14.24,1.2,1.2
united_states,All,1.206670909e7,0.135,0.196,0.0909,0.0355,0.0026,0.7,1.0,0.0005,1.20898642e6,1.48,16.31,0.495,0.495
uruguay,All,3.27401238e6,0.0832,0.196,0.0909,0.0295,0.0041,0.7,1.0,0.0004,335.53,0.915,10.06,0.87,0.87
uzbekistan,All,1.726302463e7,0.108,0.196,0.0909,0.0083,0.0007,0.7,1.0,0.0,9761.55,1.19,13.06,0.353,0.353
venezuela,All,2.1827066e7,0.15,0.196,0.0909,0.0119,0.0045,0.7,1.0,0.0003,7990.27,1.65,18.14,0.0866,0.0866
vietnam,All,3.093527467e7,0.149,0.196,0.0909,0.0319,0.0052,0.7,1.0,0.0019,85.83,1.64,18.04,0.584,0.584
west_bank_and_gaza,All,3.88621131e6,0.0993,0.196,0.0909,0.0084,0.0027,0.7,1.0,0.0002,6057.73,1.09,12.02,0.667,0.667
yemen,All,1.692034619e7,0.0599,0.196,0.0909,,0.0053,0.7,1.0,,254.9,0.659,7.25,8.2,8.2
zambia,All,9.31963568e6,0.105,0.196,0.0909,0.0372,0.0044,0.7,1.0,0.0017,2720.65,1.15,12.68,0.41,0.41
zimbabwe,All,7.44878884e6,0.0857,0.196,0.0909,0.0333,0.0108,0.7,1.0,0.0008,2278.48,0.943,10.38,0.635,0.635
