date,state,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-03-27,RS,197,2,507,11491011,43,8.4,1655,509,1146,198.83333333333334,97.83333333333333,,,,14.222222222222223,5.694444444444443,,,,2.45138888888889,,,0.003929273084479371,0.0012084592145015106,144.0256214183417,0.17404908932730115,44.121444144470836,44.29549323379814,99.73012818454356
2020-03-28,RS,200,2,542,11491011,43,8.4,1680,544,1136,200.16666666666666,87.5,0.5,88.0,112.16666666666666,20.305555555555557,7.0,,,,,-0.17361111111111105,,0.003676470588235294,0.0011904761904761906,146.20123503493295,0.17404908932730115,47.16730320769861,47.34135229702591,98.85988273790704
2020-03-29,RS,230,2,679,11491011,43,8.4,1932,681,1251,176.33333333333334,74.16666666666667,0.6666666666666666,74.83333333333334,101.5,12.583333333333337,1.9444444444444429,,,,-0.46527777777777857,-1.3107638888888895,,0.002936857562408223,0.0010351966873706005,168.1314202901729,0.17404908932730115,59.089665826618734,59.26371491594604,108.86770537422686
2020-03-30,RS,254,4,812,11491011,43,8.4,2134,816,1318,264.5,98.33333333333333,0.5,98.83333333333333,165.66666666666669,16.777777777777775,3.444444444444445,,,,1.520833333333333,,,0.004901960784313725,0.0018744142455482662,185.71037831223032,0.3480981786546023,70.66393026688426,71.01202844553886,114.69834986669144
2020-03-31,RS,305,4,893,11491011,43,8.4,2562,897,1665,294.0,112.33333333333333,0.6666666666666666,113.0,181.0,12.361111111111109,7.86111111111111,0.027777777777777773,7.8888888888888875,4.472222222222221,-2.791666666666668,,,0.004459308807134894,0.00156128024980484,222.95688342827276,0.3480981786546023,77.71291838463996,78.06101656329456,144.8958668649782
2020-04-01,RS,316,5,903,11491011,43,8.4,2654,908,1746,263.1666666666667,96.83333333333333,0.8333333333333334,97.66666666666666,165.50000000000003,26.38888888888889,13.805555555555555,-0.027777777777777773,13.777777777777777,12.611111111111112,-3.263888888888889,-2.4513888888888884,,0.005506607929515419,0.0018839487565938207,230.96314153732862,0.43512272331825286,78.58316383127647,79.01828655459472,151.9448549827339
2020-04-02,RS,386,5,1097,11491011,43,8.4,3242,1102,2140,299.5,118.5,0.5,119.0,180.5,1.4166666666666667,5.972222222222221,0.05555555555555556,6.027777777777777,-4.61111111111111,-1.1041666666666676,,,0.004537205081669692,0.0015422578655151142,282.13357379955517,0.43512272331825286,95.46592549602468,95.90104821934293,186.2325255802122
2020-04-03,RS,410,6,1216,11491011,43,8.4,3444,1222,2222,274.3333333333333,134.66666666666666,0.6666666666666666,135.33333333333331,139.0,3.722222222222219,6.333333333333336,0.1111111111111111,6.444444444444446,-2.722222222222227,-8.284722222222221,,,0.004909983633387889,0.0017421602787456446,299.7125318216126,0.5221472679819035,105.82184631099909,106.343993578981,193.36853824263156
2020-04-04,RS,418,7,1260,11491011,43,8.4,3511,1267,2244,334.6666666666667,157.0,0.5,157.5,177.16666666666669,7.944444444444438,10.777777777777779,0.08333333333333331,10.861111111111112,-2.916666666666674,-2.270833333333332,,,0.0055248618784530384,0.0019937339789233835,305.54317631407713,0.609171812645554,109.65092627619971,110.26009808884527,195.2830782252319
2020-04-05,RS,468,7,1523,11491011,43,8.4,3931,1530,2401,273.0,134.16666666666666,0.8333333333333334,135.0,138.0,-6.75,5.333333333333333,0.16666666666666666,5.5,-12.25,-7.291666666666666,,,0.004575163398692811,0.0017807173747138134,342.0934850728104,0.609171812645554,132.53838152273983,133.14755333538537,208.945931737425
2020-04-06,RS,501,8,1701,11491011,43,8.4,4208,1709,2499,316.3333333333333,150.33333333333334,1.3333333333333333,151.66666666666669,164.66666666666663,-7.666666666666662,1.4722222222222239,0.1111111111111111,1.583333333333335,-9.249999999999996,-5.249999999999999,,,0.004681100058513751,0.0019011406844106464,366.1992839446416,0.6961963573092046,148.02875047286963,148.72494683017882,217.47433711446277
2020-04-07,RS,555,8,1845,11491011,43,8.4,4662,1853,2809,310.8333333333333,161.5,1.3333333333333333,162.83333333333334,147.99999999999997,-25.444444444444446,-0.6111111111111095,0.16666666666666666,-0.44444444444444287,-25.000000000000004,,,,0.004317323259579061,0.001716001716001716,405.70842722193896,0.6961963573092046,160.5602849044353,161.2564812617445,244.45194596019445
2020-04-08,RS,581,10,1902,11491011,43,8.4,4880,1912,2968,259.0,150.5,1.5,152.0,107.0,-13.055555555555557,6.777777777777781,0.08333333333333331,6.861111111111114,-19.91666666666667,,,,0.005230125523012552,0.0020491803278688526,424.6797779586148,0.8702454466365057,165.5206839502634,166.39092939689988,258.2888485617149
2020-04-09,RS,636,14,2118,11491011,43,8.4,5342,2132,3210,228.33333333333334,143.5,1.3333333333333333,144.83333333333334,83.5,-23.305555555555554,0.6388888888888857,-0.08333333333333331,0.5555555555555525,-23.861111111111107,,,,0.006566604127579738,0.002620741295394983,464.88511759322137,1.218343625291108,184.3179855976119,185.53632922290302,279.34878837031835
2020-04-10,RS,640,15,2229,11491011,43,8.4,5376,2244,3132,182.0,153.33333333333334,1.5,154.83333333333334,27.166666666666657,-16.33333333333333,0.8888888888888905,-0.055555555555555546,0.8333333333333349,-17.166666666666664,,,,0.0066844919786096255,0.0027901785714285715,467.8439521117855,1.3053681699547586,193.97771005527713,195.2830782252319,272.56087388655357
2020-04-11,RS,653,16,2426,11491011,43,8.4,5485,2442,3043,194.66666666666666,174.83333333333334,1.3333333333333333,176.16666666666669,18.49999999999997,-1.6388888888888904,0.4722222222222238,-0.02777777777777779,0.44444444444444603,-2.0833333333333366,,,,0.006552006552006552,0.0029170464904284413,477.32962748012335,1.3923927146184092,211.1215453540163,212.5139380686347,264.8156894114887
2020-04-12,RS,664,16,2562,11491011,43,8.4,5578,2578,3000,176.5,154.16666666666666,0.8333333333333334,155.0,21.5,6.277777777777776,1.0833333333333333,0.0,1.0833333333333333,5.194444444444443,,,,0.0062063615205585725,0.0028684116170670493,485.4229101338429,1.3923927146184092,222.95688342827276,224.34927614289117,261.0736339909517
2020-04-13,RS,685,17,2765,11491011,43,8.4,5754,2782,2972,212.83333333333334,166.83333333333334,1.0,167.83333333333334,45.0,12.611111111111114,-0.7222222222222238,0.0,-0.7222222222222238,13.333333333333337,,,,0.006110711718188354,0.002954466458116093,500.73922999464537,1.4794172592820596,240.62286599499382,242.10228325427587,258.63694674036947
2020-04-14,RS,720,18,2951,11491011,43,8.4,6048,2969,3079,249.16666666666666,153.33333333333334,1.3333333333333333,154.66666666666669,94.49999999999997,10.500000000000005,-1.9444444444444475,0.02777777777777779,-1.9166666666666696,12.416666666666675,-0.0555555555555558,,,0.006062647356012125,0.002976190476190476,526.3244461257586,1.5664418039457102,256.8094313024328,258.37587310637855,267.9485730193801
2020-04-15,RS,762,19,3043,11491011,43,8.4,6401,3062,3339,266.0,150.0,1.3333333333333333,151.33333333333334,114.66666666666666,6.972222222222224,3.277777777777781,0.08333333333333331,3.3611111111111143,3.61111111111111,-1.3958333333333346,,,0.0062050947093403004,0.002968286205280425,557.0441103920273,1.6534663486093608,264.8156894114887,266.46915576009803,290.57495463192924
2020-04-16,RS,792,21,3230,11491011,43,8.4,6653,3251,3402,257.6666666666667,149.0,1.5,150.5,107.16666666666669,6.055555555555553,4.25,0.02777777777777779,4.277777777777778,1.777777777777775,0.40277777777777724,,,0.0064595509074131035,0.0031564707650683903,578.9742956472672,1.827515437936662,281.0892792635913,282.916794701528,296.05750094573926
2020-04-17,RS,831,24,3346,11491011,43,8.4,6980,3370,3610,257.6666666666667,163.16666666666666,1.5,164.66666666666666,93.00000000000003,7.027777777777776,9.694444444444443,-0.08333333333333331,9.611111111111109,-2.583333333333333,4.840277777777777,,,0.007121661721068249,0.0034383954154727794,607.431321752281,2.088589071927614,291.1841264445748,293.27271551650244,314.15860623577856
2020-04-18,RS,854,24,3462,11491011,43,8.4,7174,3486,3688,218.33333333333334,173.83333333333334,1.3333333333333333,175.16666666666669,43.16666666666666,12.111111111111114,13.777777777777777,0.05555555555555558,13.833333333333332,-1.7222222222222179,5.479166666666666,2.088541666666667,,0.0068846815834767644,0.003345413994981879,624.3140834170292,2.088589071927614,301.27897362555825,303.3675626974859,320.9465207195433
2020-04-19,RS,869,26,3659,11491011,43,8.4,7300,3685,3615,249.16666666666666,192.33333333333334,1.1666666666666667,193.5,55.66666666666666,26.333333333333332,14.583333333333334,0.0,14.583333333333334,11.749999999999998,8.86111111111111,-0.33506944444444353,,0.007055630936227951,0.003561643835616438,635.2791760446491,2.2626381612549147,318.42280892429744,320.68544708555237,314.59372895909684
2020-04-20,RS,904,27,3930,11491011,43,8.4,7594,3957,3637,291.3333333333333,211.5,0.8333333333333334,212.33333333333334,78.99999999999997,27.972222222222218,12.305555555555557,0.055555555555555546,12.361111111111112,15.611111111111105,8.756944444444445,-0.3298611111111105,-1.2443576388888893,0.006823351023502654,0.0035554385040821703,660.8643921757624,2.3496627059185653,342.00646052814676,344.3561232340653,316.5082689416971
2020-04-21,RS,918,27,4086,11491011,43,8.4,7711,4113,3598,338.6666666666667,232.66666666666666,1.6666666666666667,234.33333333333331,104.33333333333337,42.47222222222222,13.555555555555552,0.2777777777777778,13.83333333333333,28.638888888888893,3.5000000000000027,-2.5920138888888884,,0.006564551422319475,0.003501491375956426,671.0462639014096,2.3496627059185653,355.5822894956762,357.9319522015948,313.1143116998148
2020-04-22,RS,970,28,4384,11491011,43,8.4,8148,4412,3736,415.6666666666667,236.5,1.5,238.0,177.66666666666669,47.13888888888889,12.472222222222223,0.38888888888888884,12.861111111111112,34.27777777777778,4.159722222222224,-2.8888888888888897,,0.006346328195829556,0.003436426116838488,709.0759899194248,2.436687250582216,381.5156038054441,383.9522910560263,325.12369886339854
2020-04-23,RS,1039,29,4615,11491011,43,8.4,8728,4644,4084,425.5,237.0,1.8333333333333333,238.83333333333334,186.66666666666666,40.33333333333334,9.944444444444448,0.47222222222222215,10.41666666666667,29.91666666666667,-1.5069444444444429,-1.9947916666666685,,0.006244616709732989,0.0033226397800183317,759.5502258243422,2.5237117952458665,401.6182736227474,404.1419854179932,355.4082404063489
2020-04-24,RS,1096,34,4858,11491011,43,8.4,9206,4892,4314,473.1666666666667,255.16666666666666,3.0,258.16666666666663,215.00000000000006,44.611111111111114,10.555555555555557,0.38888888888888884,10.944444444444446,33.66666666666667,-2.7986111111111143,-3.2743055555555562,,0.006950122649223222,0.0036932435368238104,801.1479581735672,2.958834518564119,422.7652379760145,425.7240724945786,375.42388567898854
2020-04-25,RS,1166,35,5078,11491011,43,8.4,9794,5113,4681,532.0,267.1666666666667,3.5,270.6666666666667,261.3333333333333,36.44444444444445,19.277777777777782,0.5,19.777777777777782,16.666666666666668,-4.479166666666671,,,0.006845296303539996,0.0035736164998978965,852.3183904357937,3.04585906322777,441.9106378020176,444.95649686524536,407.3618935705483
2020-04-26,RS,1208,38,5352,11491011,43,8.4,10147,5390,4757,533.3333333333334,271.1666666666667,3.6666666666666665,274.83333333333337,258.5,35.944444444444436,22.361111111111114,0.4444444444444445,22.805555555555557,13.138888888888879,-8.937500000000002,,,0.007050092764378479,0.003744949246082586,883.0380547020624,3.3069326972187216,465.75536303985785,469.06229573707657,413.97575896498574
2020-04-27,RS,1256,45,5617,11491011,43,8.4,10550,5662,4888,606.3333333333334,296.0,4.0,300.0,306.33333333333337,22.416666666666657,20.36111111111111,0.11111111111111109,20.47222222222222,1.9444444444444358,3.611111111111107,,,0.007947721653126103,0.0042654028436018955,918.1089462015135,3.9161045098642755,488.8168673757252,492.7329718855895,425.375974315924
