country,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Peru,2020-04-19,-9.19,-75.0152,32670922,6941,40028,people tested,15628,6691.359,400,15628,7091.359,8536.641,1126.5,709.305,42.667,751.971,374.529,107.194,29.548,3.222,32.77,74.424,25.806,-3.44271,,0.05641,0.0256,478.346,12.243,204.811,217.054,261.292,2.561,1225.187
Philippines,2020-04-19,13.0,122.0,110425890,3103,,people tested,6259,3662.765,409,6259,4071.765,2187.235,175.0,184.787,14.0,198.787,-23.78734,-8.11111,-0.12719,-0.25,-0.37719,-7.73392,,,,0.1004,0.06535,56.681,3.704,33.169,36.873,19.807,,
Poland,2020-04-19,51.919,19.145,37943338,15422,204246,samples tested,9287,5207.916,360,9287,5567.916,3719.084,375.167,303.032,18.667,321.698,53.468,-10.19444,4.065,1.361,5.426,-15.62043,-2.34028,,,0.06466,0.03876,244.76,9.488,137.255,146.743,98.017,21.993,5382.921
Portugal,2020-04-19,39.4,-8.2245,10283147,23403,275690,samples tested,20206,12967.599,714,20206,13681.599,6524.401,523.5,576.209,26.0,602.209,-78.70856,-2.38889,-5.18511,-0.36111,-5.54622,3.157,-6.5,,,0.05219,0.03534,1964.963,69.434,1261.054,1330.488,634.475,13.644,26809.886
Qatar,2020-04-19,25.355,51.184,3303190,68794,62538,people tested,5448,2688.992,8,5448,2696.992,2751.008,506.333,243.854,0.5,244.354,261.979,47.028,22.253,0.02778,22.281,24.747,5.021,-0.34722,-1.03472,0.00297,0.00147,1649.315,2.422,814.059,816.481,832.834,11.479,18932.608
Romania,2020-04-19,45.943,24.967,19160783,12306,93611,samples tested,8746,4852.519,451,8746,5303.519,3442.481,333.833,284.345,22.0,306.345,27.488,-6.22222,2.42,0.8333,3.253,-9.47542,,,,0.08504,0.05157,456.453,23.538,253.253,276.79,179.663,10.703,4885.552
Russia,2020-04-19,60.0,90.0,144244558,11289,1949813,samples tested,42853,15426.094,361,42853,15787.094,27065.906,5010.167,2207.439,46.833,2254.272,2755.895,200.278,235.629,2.972,238.601,-38.32359,-43.26389,,,0.02287,0.00842,297.086,2.503,106.944,109.447,187.639,45.5,13517.411
Rwanda,2020-04-19,-1.9403,29.874,12916359,773,16702,units unclear,147,208.643,0,147,208.643,-61.64346,2.5,-6.19401,,,,0.4444,,,,,,,,0.0,0.0,11.381,0.0,16.153,16.153,-4.77251,113.619,1293.089
Saint Kitts and Nevis,2020-04-19,17.358,-62.783,,,,,14,10.562,0,14,10.562,3.438,0.1667,0.3611,,,,-0.02778,-0.016,,,,,,,0.0,0.0,,,,,,,
Saint Lucia,2020-04-19,13.909,-60.9789,,,,,15,12.731,0,15,12.731,2.269,0.0,0.2192,,,,,-0.02118,,,,,,,0.0,0.0,,,,,,,
Saint Vincent and the Grenadines,2020-04-19,12.984,-61.2872,,,,,12,8.738,0,12,8.738,3.262,0.1667,0.3152,,,,,-0.02101,,,,,,,0.0,0.0,,,,,,,
San Marino,2020-04-19,43.942,12.458,34572,40124,,,461,284.352,39,461,323.352,137.648,10.333,12.025,0.3333,12.359,-2.02549,-1.47222,0.2359,-0.08333,0.1526,-1.62484,,,,0.1206,0.0846,13334.49,1128.081,8224.915,9352.995,3981.495,,
Sao Tome and Principe,2020-04-19,0.1864,6.613,220479,,,,4,2.995,0,4,2.995,1.005,0.0,0.09706,,,,,-0.00938,,,,,,,0.0,0.0,18.142,0.0,13.586,13.586,4.556,,
