Date,Estimated Population,Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Infected,Closed,Active,μ_closed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
2020-02-19,7777809927,11317,19148,units unclear,73394,15181,2088,73394,17269,56125,0.1209,1210.5,1892.0,112.833,2004.833,-794.33333,-286.88889,49.278,-4.25,45.028,-331.91667,,,,0.02845,9.436,0.2685,1.952,2.22,7.216,0.2609,2.462
2020-02-20,7777809927,11317,22290,units unclear,73940,17125,2212,73940,19337,54603,0.1144,941.0,1692.833,98.833,1791.667,-850.66667,-110.27778,54.444,-5.27778,49.167,-159.44444,,,,0.02992,9.507,0.2844,2.202,2.486,7.02,0.3015,2.866
2020-02-21,7777809927,11317,25648,units unclear,74556,17669,2216,74556,19885,54671,0.1114,731.5,1697.5,102.833,1800.333,-1068.83333,-48.61111,137.167,-0.41667,136.75,-185.36111,,,,0.02972,9.586,0.2849,2.272,2.557,7.029,0.344,3.298
2020-02-22,7777809927,11317,29521,units unclear,76305,21515,2422,76305,23937,52368,0.1012,790.0,1846.5,97.333,1943.833,-1153.83333,-48.13889,55.778,-7.36111,48.417,-96.55556,,,,0.03174,9.811,0.3114,2.766,3.078,6.733,0.3869,3.796
2020-02-23,7777809927,11317,34485,units unclear,76689,21937,2433,76689,24370,52319,0.09984,862.5,1926.333,87.0,2013.333,-1150.83333,38.694,160.194,-3.44444,156.75,-118.05556,,,,0.03173,9.86,0.3128,2.82,3.133,6.727,0.4497,4.434
2020-02-24,7777809927,11317,45324,units unclear,77291,23669,2593,77291,26262,51029,0.09874,985.667,2306.333,93.333,2399.667,-1414.0,122.194,190.639,-7.05556,183.583,-61.38889,,,,0.03355,9.937,0.3334,3.043,3.377,6.561,0.5864,5.827
2020-02-25,7777809927,11317,58548,units unclear,78134,26260,2672,78134,28932,49202,0.09235,921.667,2226.667,68.667,2295.333,-1373.66667,142.75,173.222,-5.86111,167.361,-24.61111,34.986,,,0.0342,10.046,0.3435,3.376,3.72,6.326,0.7493,7.528
2020-02-26,7777809927,11317,70247,units unclear,79115,28683,2734,79115,31417,47698,0.08702,1173.167,2654.0,78.167,2732.167,-1559.0,173.639,164.472,-3.77778,160.694,12.944,26.451,,,0.03456,10.172,0.3515,3.688,4.039,6.133,0.8879,9.032
2020-02-27,7777809927,11317,86396,units unclear,80470,31507,2776,80470,34283,46187,0.08097,1464.667,2841.333,60.5,2901.833,-1437.16667,178.639,104.028,-3.38889,100.639,78.0,24.743,-3.30729,,0.0345,10.346,0.3569,4.051,4.408,5.938,1.074,11.108
2020-02-28,7777809927,11317,106403,units unclear,81835,34875,2834,81835,37709,44126,0.07515,1646.5,2885.833,62.167,2948.0,-1301.5,228.0,96.25,1.694,97.944,130.056,16.576,-4.80556,,0.03463,10.522,0.3644,4.484,4.848,5.673,1.3,13.68
2020-02-29,7777809927,11317,124084,units unclear,83728,37861,2902,83728,40763,42965,0.07119,1904.333,2913.167,64.333,2977.5,-1073.16667,241.722,-1.16667,1.333,0.1667,241.556,21.757,-2.07465,,0.03466,10.765,0.3731,4.868,5.241,5.524,1.482,15.954
2020-03-01,7777809927,11317,142344,units unclear,86079,40717,2956,86079,43673,42406,0.06768,2057.5,2930.5,73.0,3003.5,-946.0,239.944,-42.91667,5.528,-37.38889,277.333,7.229,5.328,,0.03434,11.067,0.3801,5.235,5.615,5.452,1.654,18.301
2020-03-02,7777809927,11317,163560,units unclear,88013,43575,3045,88013,46620,41393,0.06532,2289.667,2804.167,78.833,2883.0,-593.33333,265.667,-65.19444,9.528,-55.66667,321.333,16.444,1.066,,0.0346,11.316,0.3915,5.602,5.994,5.322,1.858,21.029
2020-03-03,7777809927,11317,196139,units unclear,90541,46162,3120,90541,49282,41259,0.06331,2623.5,2647.0,86.167,2733.167,-109.66667,256.917,-92.13889,12.222,-79.91667,336.833,37.889,19.78,4.431,0.03446,11.641,0.4011,5.935,6.336,5.305,2.166,25.218
2020-03-04,7777809927,11317,216040,units unclear,92815,49090,3214,92815,52304,40511,0.06145,2904.333,2583.833,93.667,2677.5,226.833,307.5,-123.52778,15.833,-107.69444,415.194,26.021,22.764,9.259,0.03463,11.933,0.4132,6.312,6.725,5.209,2.328,27.776
2020-03-05,7777809927,11317,285751,units unclear,95573,51700,3307,95573,55007,40566,0.06012,3240.5,2494.667,119.333,2614.0,626.5,391.5,-102.91667,22.028,-80.88889,472.389,86.347,23.05,-1.20226,0.0346,12.288,0.4252,6.647,7.072,5.216,2.99,36.739
2020-03-06,7777809927,11317,330386,units unclear,99469,53743,3419,99469,57162,42307,0.05981,3445.833,2360.333,137.667,2498.0,947.833,369.75,-96.94444,25.972,-70.97222,440.722,107.5,38.102,-0.54905,0.03437,12.789,0.4396,6.91,7.349,5.439,3.321,42.478
2020-03-07,7777809927,11317,367140,units unclear,103505,56220,3518,103505,59738,43767,0.05889,3902.5,2189.333,168.0,2357.333,1545.167,602.306,-101.91667,35.778,-66.13889,668.444,130.09,14.97,-3.35503,0.03399,13.308,0.4523,7.228,7.681,5.627,3.547,47.204
2020-03-08,7777809927,11317,521188,units unclear,107456,58543,3761,107456,62304,45152,0.06037,4638.667,2186.667,211.0,2397.667,2241.0,737.5,-85.83333,36.5,-49.33333,786.833,178.431,20.568,-7.77951,0.035,13.816,0.4836,7.527,8.01,5.805,4.85,67.01
2020-03-09,7777809927,11317,430923,units unclear,111216,60324,3946,111216,64270,46946,0.0614,4842.0,2065.333,242.0,2307.333,2534.667,911.861,-18.36111,46.111,27.75,884.111,146.229,9.63,4.049,0.03548,14.299,0.5073,7.756,8.263,6.036,3.875,55.404
2020-03-10,7777809927,11317,395584,units unclear,116230,62226,4222,116230,66448,49782,0.06354,6518.167,1972.333,308.333,2280.667,4237.5,1083.472,14.167,52.139,66.306,1017.167,189.771,6.984,-0.89844,0.03632,14.944,0.5428,8.0,8.543,6.401,3.403,50.861
2020-03-11,7777809927,11317,498187,units unclear,123405,64820,4573,123405,69393,54012,0.0659,7665.5,1979.667,338.333,2318.0,5347.5,1187.222,18.972,57.583,76.556,1110.667,168.611,31.165,9.156,0.03706,15.866,0.588,8.334,8.922,6.944,4.037,64.052
2020-03-12,7777809927,11317,567806,units unclear,128521,66135,4871,128521,71006,57515,0.0686,8917.0,2250.167,414.333,2664.5,6252.5,1496.583,71.222,68.139,139.361,1357.222,206.368,16.974,6.444,0.0379,16.524,0.6263,8.503,9.129,7.395,4.418,73.003
2020-03-13,7777809927,11317,529461,units unclear,142614,68054,5368,142614,73422,69192,0.07311,10403.333,2274.333,480.833,2755.167,7648.167,1586.306,79.583,74.444,154.028,1432.278,270.889,46.255,-5.77257,0.03764,18.336,0.6902,8.75,9.44,8.896,3.713,68.073
2020-03-14,7777809927,11317,676823,units unclear,153449,70421,5791,153449,76212,77237,0.07599,11762.0,2300.5,556.5,2857.0,8905.0,1908.944,80.417,98.611,179.028,1729.917,257.667,32.762,0.2261,0.03774,19.729,0.7446,9.054,9.799,9.93,4.411,87.02
2020-03-15,7777809927,11317,1062231,units unclear,164718,73825,6432,164718,80257,84461,0.08014,13821.5,2492.667,650.833,3143.5,10678.0,2270.778,59.333,115.222,174.556,2096.222,353.632,8.075,-15.86198,0.03905,21.178,0.827,9.492,10.319,10.859,6.449,136.572
2020-03-16,7777809927,11317,843349,units unclear,178650,75872,7107,178650,82979,95671,0.08565,16036.0,2449.833,755.0,3204.833,12831.167,2527.25,170.75,132.528,303.278,2223.972,337.417,17.878,-8.60243,0.03978,22.969,0.9138,9.755,10.669,12.301,4.721,108.43
2020-03-17,7777809927,11317,930827,units unclear,193977,78623,7912,193977,86535,107442,0.09143,19119.167,2462.167,930.0,3392.167,15727.0,3000.833,102.528,151.139,253.667,2747.167,303.187,-17.19271,-7.08854,0.04079,24.94,1.017,10.109,11.126,13.814,4.799,119.677
2020-03-18,7777809927,11317,1051165,units unclear,211450,81091,8776,211450,89867,121583,0.09766,22541.667,2606.167,1105.667,3711.833,18829.833,3258.611,266.972,174.056,441.028,2817.583,329.181,-1.64757,-16.59592,0.0415,27.186,1.128,10.426,11.554,15.632,4.971,135.149
2020-03-19,7777809927,11317,1168541,units unclear,238830,82753,9898,238830,92651,146179,0.1068,25566.833,3298.833,1276.0,4574.833,20992.0,3483.528,386.583,202.278,588.861,2894.667,284.861,-20.27951,,0.04144,30.707,1.273,10.64,11.912,18.794,4.893,150.24
2020-03-20,7777809927,11317,1354618,units unclear,268164,85194,11371,268164,96565,171599,0.1178,29767.0,2915.667,1463.333,4379.0,25388.0,3843.972,548.944,215.194,764.139,3079.833,330.826,-48.50521,,0.0424,34.478,1.462,10.953,12.415,22.063,5.051,174.164
2020-03-21,7777809927,11317,1450808,units unclear,299968,89462,13066,299968,102528,197440,0.1274,33373.167,4094.5,1695.167,5789.667,27583.5,4140.278,647.75,235.694,883.444,3256.833,222.069,-50.49826,,0.04356,38.567,1.68,11.502,13.182,25.385,4.837,186.532
2020-03-22,7777809927,11317,2411731,units unclear,332051,95665,14763,332051,110428,221623,0.1337,36937.167,4769.333,1968.667,6738.0,30199.167,4581.917,590.25,257.667,847.917,3734.0,135.16,-121.13542,,0.04446,42.692,1.898,12.3,14.198,28.494,7.263,310.078
2020-03-23,7777809927,11317,1775716,units unclear,372579,96117,16692,372579,112809,259770,0.148,42183.0,5755.833,2221.167,7977.0,34206.0,4371.806,903.139,270.028,1173.167,3198.639,82.868,-107.76563,,0.0448,47.903,2.146,12.358,14.504,33.399,4.766,228.305
2020-03-24,7777809927,11317,2030086,units unclear,411689,105658,18947,411689,124605,287084,0.1521,47383.333,6492.667,2519.833,9012.5,38370.833,4384.611,871.25,282.5,1153.75,3230.861,-153.71528,-120.38368,,0.04602,52.931,2.436,13.585,16.021,36.911,4.931,261.01
2020-03-25,7777809927,11317,2147899,units unclear,460453,111369,21710,460453,133079,327374,0.1631,53058.333,6840.333,2822.0,9662.333,43396.0,4471.75,942.333,292.556,1234.889,3236.861,-208.99306,-106.96701,,0.04715,59.201,2.791,14.319,17.11,42.091,4.665,276.157
2020-03-26,7777809927,11317,2391382,units unclear,521262,119729,24698,521262,144427,376835,0.171,55997.833,8334.5,3083.5,11418.0,44579.833,3967.056,973.778,318.278,1292.056,2675.0,-346.375,,,0.04738,67.019,3.175,15.394,18.569,48.45,4.588,307.462
2020-03-27,7777809927,11317,2684120,units unclear,584268,128418,28185,584268,156603,427665,0.18,59680.833,9322.0,3390.167,12712.167,46968.667,3535.833,1072.167,341.444,1413.611,2122.222,-345.0,,,0.04824,75.12,3.624,16.511,20.135,54.985,4.594,345.1
2020-03-28,7777809927,11317,2889750,units unclear,650401,136707,31695,650401,168402,481999,0.1882,63767.667,10423.333,3724.0,14147.333,49620.333,2999.111,1203.083,358.639,1561.722,1437.389,-309.18056,,,0.04873,83.623,4.075,17.577,21.652,61.971,4.443,371.538
2020-03-29,7777809927,11317,4370426,units unclear,708566,146124,35193,708566,181317,527249,0.1941,65985.333,11598.5,4130.833,15729.333,50256.0,3091.75,1245.75,388.0,1633.75,1458.0,-390.22222,,,0.04967,91.101,4.525,18.787,23.312,67.789,6.168,561.91
2020-03-30,7777809927,11317,3457936,units unclear,769774,161590,39288,769774,200878,568896,0.1956,68598.333,12925.667,4568.5,17494.167,51104.167,2730.333,1023.528,362.833,1386.361,1343.972,-352.96528,,,0.05104,98.971,5.051,20.776,25.827,73.143,4.492,444.59
2020-03-31,7777809927,11317,3594889,units unclear,843059,173909,44054,843059,217963,625096,0.2021,71053.0,14058.833,4973.833,19032.667,52020.333,1974.944,948.528,330.333,1278.861,696.083,-461.15972,,,0.05225,108.393,5.664,22.36,28.024,80.369,4.264,462.198
2020-04-01,7777809927,11317,4144696,units unclear,917174,189320,49483,917174,238803,678371,0.2072,74548.333,15809.0,5411.5,21220.5,53327.833,1587.25,960.306,329.75,1290.056,297.194,-451.04861,,,0.05395,117.922,6.362,24.341,30.703,87.219,4.519,532.887
2020-04-02,7777809927,11317,4572320,units unclear,995858,205972,55596,995858,261568,734290,0.2125,76062.833,15463.167,5567.167,21030.333,55032.5,1247.111,1059.611,271.583,1331.194,-84.08333,-329.29167,,,0.05583,128.038,7.148,26.482,33.63,94.408,4.591,587.867
2020-04-03,7777809927,11317,4995994,units unclear,1076719,221060,61538,1076719,282598,794121,0.2178,75617.333,16114.5,5706.0,21820.5,53796.833,926.139,1123.861,245.972,1369.833,-443.69444,-250.54861,,,0.05715,138.435,7.912,28.422,36.334,102.101,4.64,642.339
2020-04-04,7777809927,11317,5370213,units unclear,1155856,240978,67662,1155856,308640,847216,0.2192,75508.833,17360.333,6109.333,23469.667,52039.167,657.778,871.222,201.778,1073.0,-415.22222,39.729,,,0.05854,148.609,8.699,30.983,39.682,108.927,4.646,690.453
2020-04-05,7777809927,11317,7701520,units unclear,1226151,254369,72691,1226151,327060,899091,0.2223,76081.0,19283.333,6198.0,25481.333,50599.667,585.056,1257.222,200.75,1457.972,-872.91667,89.903,,,0.05928,157.647,9.346,32.704,42.05,115.597,6.281,990.191
2020-04-06,7777809927,11317,6551278,units unclear,1296763,270596,78290,1296763,348886,947877,0.2244,76609.833,20802.0,6449.667,27251.667,49358.167,1406.028,1225.861,177.972,1403.833,2.194,41.042,-75.42014,,0.06037,166.726,10.066,34.791,44.857,121.869,5.052,842.304
2020-04-07,7777809927,11317,7312782,units unclear,1370227,293482,86139,1370227,379621,990606,0.2269,78495.0,21036.333,6622.167,27658.5,50836.5,1285.75,1111.833,49.25,1161.083,124.667,1.299,-76.21701,,0.06286,176.171,11.075,37.733,48.808,127.363,5.337,940.211
2020-04-08,7777809927,11317,7615467,units unclear,1452344,321672,92784,1452344,414456,1037888,0.2239,79573.167,23006.5,6771.667,29778.167,49795.0,821.944,693.5,36.972,730.472,91.472,-261.95139,-119.06944,,0.06389,186.729,11.929,41.358,53.287,133.442,5.244,979.127
2020-04-09,7777809927,11317,8382133,units unclear,1536378,345872,100236,1536378,446108,1090270,0.2247,84053.5,23469.667,6773.833,30243.5,53810.0,590.25,755.667,13.889,769.556,-179.30556,-214.96528,-63.04687,,0.06524,197.533,12.887,44.469,57.357,140.177,5.456,1077.698
2020-04-10,7777809927,11317,8888208,units unclear,1626826,367196,107395,1626826,474591,1152235,0.2263,83223.333,24031.333,6404.833,30436.167,52787.167,358.222,962.778,-18.75,944.028,-585.80556,-435.23611,,,0.06602,209.162,13.808,47.211,61.019,148.144,5.464,1142.765
2020-04-11,7777809927,11317,9420807,units unclear,1703590,392408,113321,1703590,505729,1197861,0.2241,81012.667,23444.333,6419.833,29864.167,51148.5,425.889,631.139,34.972,666.111,-240.22222,-250.88889,,,0.06652,219.032,14.57,50.452,65.022,154.01,5.53,1211.242
2020-04-12,7777809927,11317,11666505,units unclear,1801084,411414,118933,1801084,530347,1270737,0.2243,80151.333,25336.0,6533.0,31869.0,48282.333,-919.0,677.639,55.444,733.083,-1652.08333,-100.01389,,,0.06603,231.567,15.291,52.896,68.187,163.38,6.477,1499.973
2020-04-13,7777809927,11317,10914234,units unclear,1869567,437670,124568,1869567,562238,1307329,0.2216,80644.333,26813.0,6509.667,33322.667,47321.667,-413.30556,701.667,81.111,782.778,-1196.08333,-107.63889,,,0.06663,240.372,16.016,56.272,72.287,168.084,5.838,1403.253
2020-04-14,7777809927,11317,11524574,units unclear,1938420,462338,131303,1938420,593641,1344779,0.2212,82128.5,26793.333,6981.5,33774.833,48353.667,-41.83333,698.194,35.472,733.667,-775.5,,,,0.06774,249.224,16.882,59.443,76.325,172.899,5.945,1481.725
2020-04-15,7777809927,11317,11377216,units unclear,2017286,497888,139434,2017286,637322,1379964,0.2188,78539.5,27535.5,7106.5,34642.0,43897.5,-4.66667,339.278,-17.0,322.278,-326.94444,,,,0.06912,259.364,17.927,64.014,81.941,177.423,5.64,1462.779
2020-04-16,7777809927,11317,11615836,units unclear,2110692,528074,146453,2110692,674527,1436165,0.2171,80743.5,28241.333,6891.5,35132.833,45610.667,-649.36111,47.417,-27.58333,19.833,-669.19444,,,,0.06939,271.374,18.83,67.895,86.725,184.649,5.503,1493.458
2020-04-17,7777809927,11317,12371782,units unclear,2196361,553168,155210,2196361,708378,1487983,0.2191,80761.667,27633.5,6632.667,34266.167,46495.5,-1001.36111,136.444,-166.58333,-30.13889,-971.22222,,,,0.07067,282.388,19.955,71.121,91.077,191.311,5.633,1590.651
2020-04-18,7777809927,11317,13023723,units unclear,2272321,576627,161572,2272321,738199,1534122,0.2189,80123.333,27371.667,6431.0,33802.667,46320.667,-138.55556,748.167,-192.83333,555.333,-693.88889,,,,0.0711,292.154,20.773,74.137,94.911,197.243,5.731,1674.472
2020-04-19,7777809927,11317,15715072,units unclear,2354028,607118,165917,2354028,773035,1580993,0.2146,76748.167,27097.5,6344.167,33441.667,43306.5,-449.66667,528.806,-110.83333,417.972,-867.63889,,,,0.07048,302.659,21.332,78.058,99.39,203.27,6.676,2020.501
2020-04-20,7777809927,11317,13370768,units unclear,2422990,628139,171099,2422990,799238,1623752,0.2141,76120.333,27612.0,5982.0,33594.0,42526.333,-366.97222,808.694,-111.91667,696.778,-1063.75,,,,0.07061,311.526,21.998,80.76,102.759,208.767,5.518,1719.092
2020-04-21,7777809927,11317,15190903,units unclear,2498026,662118,178020,2498026,840138,1657888,0.2119,77708.167,32024.5,5949.5,37974.0,39734.167,-485.02778,629.5,-148.75,480.75,-965.77778,,,,0.07126,321.173,22.888,85.129,108.017,213.156,6.081,1953.108
2020-04-22,7777809927,11317,14294359,units unclear,2571181,690659,184518,2571181,875177,1696004,0.2108,78045.5,31414.167,6226.5,37640.667,40404.833,41.75,772.972,-142.27778,630.694,-588.94444,,,,0.07176,330.579,23.724,88.799,112.522,218.057,5.559,1837.839
2020-04-23,7777809927,11317,17184805,units unclear,2653083,718840,191102,2653083,909942,1743141,0.21,78559.833,32485.667,5961.167,38446.833,40113.0,-98.80556,1020.306,-79.02778,941.278,-1040.08333,,,,0.07203,341.109,24.57,92.422,116.992,224.117,6.477,2209.466
2020-04-24,7777809927,11317,16684540,units unclear,2738570,768774,197269,2738570,966043,1772527,0.2042,77213.167,31148.667,5538.5,36687.167,40526.0,-435.47222,679.472,-91.36111,588.111,-1023.58333,-78.58333,,,0.07203,352.1,25.363,98.842,124.205,227.895,6.092,2145.146
2020-04-25,7777809927,11317,17695166,units unclear,2822301,795603,203276,2822301,998879,1823422,0.2035,76998.667,31735.333,5490.5,37225.833,39772.833,-409.94444,1064.639,-164.72222,899.917,-1309.86111,,,,0.07202,362.866,26.135,102.291,128.427,234.439,6.27,2275.083
2020-04-26,7777809927,11317,21166051,units unclear,2894349,823053,206866,2894349,1029919,1864430,0.2009,75527.5,33733.833,5507.833,39241.667,36285.833,-272.58333,1222.111,-80.30556,1141.806,-1414.38889,,,,0.07147,372.129,26.597,105.821,132.418,239.711,7.313,2721.338
2020-04-27,7777809927,11317,19309149,units unclear,2961305,849010,211251,2961305,1060261,1901044,0.1992,75095.333,36101.333,5401.333,41502.667,33592.667,216.0,1579.528,-33.27778,1546.25,-1330.25,,,,0.07134,380.738,27.161,109.158,136.319,244.419,6.52,2482.595
2020-04-28,7777809927,11317,20307900,units unclear,3033173,881071,217461,3033173,1098532,1934641,0.198,75585.833,37802.0,5238.167,43040.167,32545.667,330.028,1593.333,-90.77778,1502.556,-1172.52778,,,,0.07169,389.978,27.959,113.28,141.239,248.739,6.695,2611.005
2020-04-29,7777809927,11317,21045488,units unclear,3106248,921243,224149,3106248,1145392,1960856,0.1957,76924.333,39818.333,5479.333,45297.667,31626.667,717.278,1113.472,-126.58333,986.889,-269.61111,191.931,,,0.07216,399.373,28.819,118.445,147.264,252.109,6.775,2705.837
