Key,Group Name,M,β,γ,α,μ
Autazes,Group 1,39565.0,0.166,0.387,0.109,
Avaré,Group 1,90655.0,0.0725,0.321,0.0577,
Açailândia,Group 1,112445.0,,,,
Açu,Group 1,58017.0,0.08,0.307,0.0328,
Bacabal,Group 1,104949.0,0.103,0.163,0.0716,
Bacabeira,Group 1,17055.0,,,,
Bagé,Group 1,121143.0,,,,
Balneário Piçarras,Group 1,23147.0,,,,
Balsas,Group 1,94887.0,,,,
Banabuiú,Group 1,18197.0,,,,
Barbacena,Group 1,137313.0,0.0766,0.0151,0.1,
Barcarena,Group 1,124680.0,0.196,0.556,0.12,
Barcelos,Group 1,27502.0,0.01,0.01,0.486,
Barra Mansa,Group 1,184412.0,0.129,0.0786,0.0657,
Barra Do Garças,Group 1,61012.0,0.01,0.01,0.311,
Barra Do Piraí,Group 1,100374.0,0.115,0.201,0.0523,
Barreirinhas,Group 1,62528.0,,,,
Barretos,Group 1,122098.0,0.0597,0.189,0.106,
Barueri,Group 1,274182.0,0.102,0.5,0.0557,0.142
Bauru,Group 1,376818.0,0.01,0.01,0.0454,
Bayeux,Group 1,96880.0,0.0953,0.182,0.11,
Bebedouro,Group 1,77496.0,,,,
Beberibe,Group 1,53573.0,0.12,0.321,0.044,
Bela Cruz,Group 1,32591.0,0.217,0.335,0.141,
Bela Vista De Goiás,Group 1,29975.0,,,,
Belford Roxo,Group 1,510906.0,0.0777,0.255,0.0495,0.209
Belo Horizonte,Group 1,2.51207e6,0.0973,0.115,0.0302,0.0628
Belo Jardim,Group 1,76439.0,0.0896,0.441,0.0463,
Belém,Group 1,1.492745e6,0.117,0.291,0.0811,
Benevides,Group 1,62737.0,0.19,0.405,0.134,
Benjamin Constant,Group 1,42984.0,0.01,0.01,0.0901,
Bento Gonçalves,Group 1,120454.0,0.207,0.29,0.104,
Beruri,Group 1,19679.0,0.208,0.606,0.12,
Betim,Group 1,439340.0,,,,
Biguaçu,Group 1,68481.0,,,,
Birigui,Group 1,123638.0,,,,
Blumenau,Group 1,357199.0,,,,0.0159
Boa Vista,Group 1,399213.0,,0.13,0.0732,0.031
Boca Do Acre,Group 1,34308.0,,,,
Bom Jardim,Group 1,41630.0,0.109,0.35,0.111,
Bom Jesus Do Itabapoana,Group 1,37096.0,0.01,0.01,0.0515,
Bom Jesus Do Norte,Group 1,9936.0,,,,
Bom Retiro Do Sul,Group 1,12328.0,,,,
Bonito,Group 1,21976.0,0.01,0.0463,0.167,
Botucatu,Group 1,146497.0,0.0108,0.0645,0.0417,
Bragança,Group 1,127686.0,0.159,0.0852,0.149,
Bragança Paulista,Group 1,168668.0,0.0476,0.119,0.0487,
Brasília,Group 1,3.015268e6,0.0906,0.118,0.039,0.0448
Braço Do Norte,Group 1,33450.0,0.01,0.225,0.0302,
Breves,Group 1,102701.0,0.23,0.125,0.274,
Brumado,Group 1,67195.0,,,,
Brusque,Group 1,134723.0,,,,
Buerarema,Group 1,18349.0,0.0713,0.4,0.143,
Bujaru,Group 1,29132.0,0.264,0.174,0.233,
Buritama,Group 1,17144.0,,,,
Caapiranga,Group 1,13081.0,,,,
Caaporã,Group 1,21828.0,,,,
Cabedelo,Group 1,67736.0,0.21,0.351,0.0897,
Cabo Frio,Group 1,226525.0,0.145,0.296,0.0653,
Cabo De Santo Agostinho,Group 1,207048.0,0.141,0.194,0.114,
Cabreúva,Group 1,49707.0,,,,
Cachoeira Grande,Group 1,9431.0,0.01,0.37,0.0556,
Cachoeira Do Arari,Group 1,23767.0,0.128,0.442,0.12,
Cachoeiras De Macacu,Group 1,58937.0,0.104,0.255,0.0546,
Cachoeiro De Itapemirim,Group 1,208972.0,,,,
Caieiras,Group 1,101470.0,0.0642,0.107,0.0505,
Cajamar,Group 1,76801.0,0.213,1.0,0.131,
Cajazeiras,Group 1,61993.0,0.154,0.269,0.0829,
Camacan,Group 1,31988.0,,,,
Camaragibe,Group 1,157828.0,0.108,0.571,0.0518,0.151
Camaçari,Group 1,299132.0,0.0832,0.315,0.0229,
Camboriú,Group 1,82989.0,0.0185,0.265,0.0,
Cambuí,Group 1,29551.0,,,,
Cambé,Group 1,106533.0,,,,
Cametá,Group 1,137890.0,0.531,0.745,0.471,
Campina Grande,Group 1,409731.0,0.111,0.135,0.0472,
Campina Grande Do Sul,Group 1,43288.0,0.145,0.457,0.0556,
Campinas,Group 1,1.204073e6,0.069,0.0945,0.0459,0.101
Campo Grande,Group 1,9558.0,0.0209,0.264,0.0042,
Campo Limpo Paulista,Group 1,84650.0,0.0461,0.29,0.0368,
Campo Maior,Group 1,46833.0,,,,
Campo Mourão,Group 1,94859.0,0.01,0.103,0.0108,
Campos Dos Goytacazes,Group 1,507548.0,0.117,0.164,0.229,
Cananéia,Group 1,12540.0,0.137,0.324,0.0963,
Canavieiras,Group 1,31099.0,,,,
Canaã Dos Carajás,Group 1,37085.0,0.01,0.01,0.222,
Candeias,Group 1,87076.0,,,,
Canguaretama,Group 1,34276.0,0.15,0.308,0.0274,
Canindé,Group 1,76997.0,,,,
Canoas,Group 1,346616.0,0.0741,0.428,0.0339,
Cantanhede,Group 1,21995.0,,,,
Canutama,Group 1,15629.0,,,,
Capanema,Group 1,69027.0,0.168,0.212,0.0844,
Capitão Poço,Group 1,54303.0,,,,
Capivari De Baixo,Group 1,24871.0,,,,
Caraguatatuba,Group 1,121532.0,0.122,0.261,0.0878,
Carapicuíba,Group 1,400927.0,0.085,0.223,0.0436,0.106
Carauari,Group 1,28294.0,0.11,0.62,0.0388,
Carazinho,Group 1,62110.0,,,,
Caraúbas,Group 1,20493.0,,,,
Careiro,Group 1,37869.0,0.156,0.275,0.137,
Careiro Da Várzea,Group 1,30225.0,,,,
Cariacica,Group 1,381285.0,0.0778,0.138,0.0599,0.0706
Cariri Do Tocantins,Group 1,4382.0,,,,
Cariré,Group 1,18448.0,,,,
Carlos Barbosa,Group 1,29833.0,,,,
Carpina,Group 1,83641.0,0.113,0.239,0.0945,
Caruaru,Group 1,361118.0,0.177,1.0,0.0894,
Cascavel,Group 1,71743.0,0.01,0.109,0.0035,
Casimiro De Abreu,Group 1,44184.0,,,,
Castanhal,Group 1,200793.0,0.14,0.251,0.102,
Catanduva,Group 1,121862.0,0.173,0.299,0.0945,
Catanduvas,Group 1,10861.0,,,,
Catende,Group 1,42892.0,0.138,0.0567,0.208,
Catu,Group 1,54704.0,,,,
Caucaia,Group 1,361400.0,0.01,0.01,0.0651,0.093
Caxias Do Sul,Group 1,510906.0,0.0455,0.222,0.0135,
Caçapava,Group 1,94263.0,,,,
Ceará-Mirim,Group 1,73497.0,0.0494,0.398,0.0222,
Chapadão Do Sul,Group 1,25218.0,,,,
Chapecó,Group 1,220367.0,,,,
Chorozinho,Group 1,20264.0,0.242,0.374,0.11,
Choró,Group 1,13521.0,,,,
Chã De Alegria,Group 1,13518.0,0.125,0.381,0.0642,
Coaraci,Group 1,16993.0,,,,
Coari,Group 1,85097.0,0.195,0.351,0.129,0.226
Codajás,Group 1,28637.0,,,,
Codó,Group 1,122859.0,,,,
Colatina,Group 1,122499.0,,,,
Colinas,Group 1,41178.0,,,,
Conceição Do Araguaia,Group 1,47864.0,,,,
Concórdia,Group 1,74641.0,0.0772,0.203,0.0398,
Concórdia Do Pará,Group 1,33318.0,,,,
Conde,Group 1,25837.0,0.103,0.44,0.097,
Confresa,Group 1,30933.0,,,,
Conselheiro Lafaiete,Group 1,128589.0,,,,
Contagem,Group 1,663855.0,0.0566,0.691,0.0197,
Coreaú,Group 1,23136.0,,,,
Coronel Fabriciano,Group 1,109855.0,,,,
Corumbá,Group 1,111435.0,,,,
Cotia,Group 1,249210.0,0.0374,0.0814,0.0382,0.176
Crateús,Group 1,75074.0,0.111,0.0889,0.0693,
Crato,Group 1,132123.0,,,,
Cravinhos,Group 1,35292.0,0.0433,0.619,0.0037,
Criciúma,Group 1,215186.0,0.0226,0.0676,0.0433,
Cruz Do Espírito Santo,Group 1,17319.0,0.3,1.0,0.171,
Cruzeiro,Group 1,82238.0,0.158,0.501,0.0481,
Cruzeiro Do Sul,Group 1,88376.0,0.01,0.01,0.111,
Cubatão,Group 1,130705.0,,,,
Cuiabá,Group 1,612547.0,0.0565,0.161,0.0081,
Curaçá,Group 1,34700.0,,,,
Curitiba,Group 1,1.933105e6,0.0375,0.644,0.011,0.105
Curralinho,Group 1,34448.0,,,,
Cururupu,Group 1,32695.0,0.196,0.335,0.13,
Curuçá,Group 1,40066.0,,,,
Custódia,Group 1,37111.0,0.187,0.147,0.167,
Demerval Lobão,Group 1,13817.0,,,,
Diadema,Group 1,423884.0,0.0595,0.186,0.0508,0.147
Dias D'Ávila,Group 1,81089.0,,,,
Divinópolis,Group 1,238230.0,0.0607,0.256,0.0231,
Domingos Martins,Group 1,33850.0,,,,
Dourados,Group 1,222949.0,0.0634,0.457,0.0208,
Dracena,Group 1,46793.0,0.109,0.0559,0.11,
Duque De Caxias,Group 1,919596.0,0.128,0.359,0.0765,0.29
Embu Das Artes,Group 1,273726.0,0.102,0.135,0.0621,
Embu-Guaçu,Group 1,69385.0,0.067,0.154,0.0618,
Encantado,Group 1,22706.0,,,,
Erechim,Group 1,105862.0,0.108,0.104,0.0476,
Escada,Group 1,68875.0,0.21,0.611,0.0985,
Esperantina,Group 1,39737.0,,,,
Espumoso,Group 1,15588.0,,,,
Esteio,Group 1,83202.0,,,,
Estrela,Group 1,34116.0,0.01,0.01,0.111,
Eunápolis,Group 1,113380.0,,,,
Eusébio,Group 1,53618.0,0.242,0.709,0.104,0.0642
Extrema,Group 1,36225.0,0.101,0.533,0.0404,
Extremoz,Group 1,28583.0,,,,
Farroupilha,Group 1,72331.0,,,,
Fazenda Rio Grande,Group 1,100209.0,0.0596,0.378,0.0333,
Feira Nova,Group 1,22131.0,,,,
Feira De Santana,Group 1,614872.0,0.0502,0.137,0.0161,
Fernando De Noronha,Group 1,3061.0,,,,
Ferraz De Vasconcelos,Group 1,194276.0,0.0821,0.177,0.0492,
Ferreiros,Group 1,12123.0,,,,
Floriano,Group 1,59935.0,,,,
Florianópolis,Group 1,500973.0,0.0221,0.653,0.0042,0.0359
Fortaleza,Group 1,2.669342e6,0.01,0.01,0.0584,0.144
Foz Do Iguaçu,Group 1,258532.0,0.0518,0.104,0.0247,
Franca,Group 1,353187.0,0.104,0.474,0.0085,
Francisco Beltrão,Group 1,91093.0,,,,
Francisco Morato,Group 1,175844.0,0.101,0.719,0.0615,
Franco Da Rocha,Group 1,154489.0,0.0609,0.328,0.0362,
Fundão,Group 1,21509.0,0.0832,0.154,0.0863,
Garanhuns,Group 1,139788.0,0.195,0.513,0.157,
Garibaldi,Group 1,35070.0,0.104,0.278,0.0798,
Garrafão Do Norte,Group 1,26066.0,,,,
Garça,Group 1,44390.0,,,,
Gaspar,Group 1,69639.0,0.01,0.172,0.036,
Glória Do Goitá,Group 1,30604.0,0.0649,0.122,0.133,
Goiana,Group 1,79758.0,0.105,0.109,0.139,
Goianésia,Group 1,70084.0,0.01,0.551,0.0,
Goiânia,Group 1,1.516113e6,0.0213,0.158,0.0193,0.0711
Governador Celso Ramos,Group 1,14471.0,,,,
Governador Valadares,Group 1,279885.0,0.0802,0.208,0.0528,
Granja,Group 1,54748.0,,,,
Gravatal,Group 1,11501.0,,,,
Gravataí,Group 1,281519.0,0.0126,0.0278,0.004,
Gravatá,Group 1,84074.0,0.102,0.259,0.0635,
Groaíras,Group 1,11068.0,,,,
Guaiúba,Group 1,26064.0,,,,
Guapimirim,Group 1,60517.0,,,,
Guarabira,Group 1,58833.0,,,,
Guaramirim,Group 1,44819.0,,,,
Guaraniaçu,Group 1,12472.0,,,,
Guarapari,Group 1,124859.0,0.0597,0.118,0.0507,
Guararapes,Group 1,32939.0,,,,
Guararema,Group 1,29798.0,0.345,0.101,0.143,
Guaratuba,Group 1,37067.0,,,,
Guarujá,Group 1,320459.0,0.0732,0.31,0.0402,0.123
Guarulhos,Group 1,1.379182e6,0.01,0.0515,0.0489,0.197
Guaçuí,Group 1,30867.0,,,,
Guaíba,Group 1,98143.0,,,,
Guaíra,Group 1,33119.0,,,,
Gurupi,Group 1,86647.0,,,,
Horizonte,Group 1,67337.0,0.208,0.0372,0.0776,
Hortolândia,Group 1,230851.0,0.137,0.112,0.0958,
Ibimirim,Group 1,29235.0,0.222,0.28,0.333,
Ibiraçu,Group 1,12479.0,,,,
Icapuí,Group 1,19934.0,,,,
Icó,Group 1,68018.0,,,,
Igarapé-Açu,Group 1,38807.0,0.144,0.42,0.0875,
Igarassu,Group 1,117019.0,0.12,0.323,0.0813,
Igaratá,Group 1,9534.0,,,,
Iguaba Grande,Group 1,28310.0,0.01,0.01,0.0365,
Iguape,Group 1,30857.0,,,,
Iguatu,Group 1,102498.0,0.103,0.111,0.0689,
Ilha Comprida,Group 1,11166.0,0.0485,0.322,0.006,
Ilha De Itamaracá,Group 1,26258.0,,,,
Ilhéus,Group 1,162327.0,0.0642,0.397,0.0263,0.0844
Imbituba,Group 1,44853.0,,,,
Imperatriz,Group 1,258682.0,0.167,0.145,0.0987,0.113
Indaial,Group 1,69425.0,0.0777,0.266,0.0692,
Indaiatuba,Group 1,251627.0,0.0549,0.217,0.0662,
Inhangapi,Group 1,11711.0,,,,
Ipanguaçu,Group 1,15491.0,0.146,0.339,0.319,
Ipatinga,Group 1,263410.0,,,,
Ipojuca,Group 1,96204.0,0.137,0.197,0.0858,
Ipueiras,Group 1,38166.0,0.113,0.531,0.125,
Ipumirim,Group 1,7593.0,,,,
Iranduba,Group 1,48296.0,0.0858,0.178,0.0559,
Irani,Group 1,10419.0,,,,
Itabira,Group 1,120060.0,0.0539,0.444,0.0208,
Itaboraí,Group 1,240592.0,0.102,0.383,0.0842,0.144
Itabuna,Group 1,213223.0,0.0837,0.224,0.0418,0.051
Itacaré,Group 1,28296.0,,,,
Itacoatiara,Group 1,101337.0,0.0929,0.229,0.0663,
Itaguaí,Group 1,133019.0,0.102,0.254,0.0853,
Itaitinga,Group 1,37980.0,0.131,0.164,0.067,
Itaituba,Group 1,101247.0,0.0648,0.428,0.0,
Itajaí,Group 1,219536.0,0.0631,0.298,0.0307,
Itajubá,Group 1,96869.0,,,,
Itanhandu,Group 1,15331.0,,,,
Itanhaém,Group 1,101816.0,0.0358,0.29,0.0093,
Itapecerica,Group 1,21762.0,,,,
Itapecerica Da Serra,Group 1,175693.0,0.0847,0.332,0.0509,
Itapema,Group 1,65312.0,0.01,0.234,0.0154,
Itapemirim,Group 1,34348.0,,,,
Itapetinga,Group 1,76147.0,0.0385,0.433,0.0278,
Itapetininga,Group 1,163901.0,0.105,0.0758,0.0899,
Itapeva,Group 1,9783.0,,,,
Itapevi,Group 1,237700.0,0.0862,0.241,0.0569,
Itapipoca,Group 1,129358.0,0.222,0.209,0.173,0.144
Itapira,Group 1,74773.0,0.0388,0.39,0.0179,
Itaquaquecetuba,Group 1,370821.0,0.0615,0.0585,0.0718,
Itaquitinga,Group 1,16955.0,0.245,0.943,0.259,
Itarema,Group 1,41826.0,,,,
Itatiba,Group 1,120858.0,0.122,0.327,0.0605,
Itaubal,Group 1,5503.0,,,,
Itumbiara,Group 1,104742.0,,,,
Itupeva,Group 1,61252.0,0.01,0.326,0.206,
Itá,Group 1,6169.0,,,,
Ivaiporã,Group 1,31984.0,0.01,0.399,0.167,
Jaboatão Dos Guararapes,Group 1,702298.0,0.0378,0.0203,0.0715,0.196
Jaborá,Group 1,3936.0,,,,
Jaboticabal,Group 1,77263.0,0.01,0.265,0.0417,
Jacareí,Group 1,233662.0,0.094,0.645,0.0314,
Jaci,Group 1,7067.0,,,,
Jaguaquara,Group 1,54423.0,,,,
Jaguaretama,Group 1,18162.0,,,,
Jaguaribe,Group 1,34682.0,0.0501,0.184,0.0488,
Jaguariúna,Group 1,57488.0,,,,
Jaguaruna,Group 1,20024.0,,,,
Jandira,Group 1,124937.0,0.128,0.125,0.0704,
Japeri,Group 1,104768.0,0.0877,0.285,0.0469,
Jaraguá,Group 1,50511.0,,,,
Jaraguá Do Sul,Group 1,177697.0,0.0961,0.585,0.0993,
Jaru,Group 1,51775.0,,,,
Jataí,Group 1,100882.0,,,,
Jaú,Group 1,150252.0,,,,
Jequié,Group 1,155966.0,0.12,0.431,0.108,
Ji-Paraná,Group 1,128969.0,0.01,0.012,0.0353,
Joaçaba,Group 1,30118.0,,,,
Joinville,Group 1,590466.0,0.0572,0.2,0.0254,0.0599
João Monlevade,Group 1,79910.0,,,,
João Pessoa,Group 1,809015.0,0.118,0.257,0.0685,0.115
Juazeiro,Group 1,216707.0,,,,
Juiz De Fora,Group 1,568873.0,0.123,0.596,0.0538,0.0966
Junco Do Maranhão,Group 1,3432.0,,,,
Jundiaí,Group 1,418962.0,0.134,0.33,0.0729,0.169
Lago Da Pedra,Group 1,50266.0,0.288,0.301,0.195,
Lagoa Santa,Group 1,64527.0,,,,
Lagoa Da Prata,Group 1,52165.0,,,,
Lagoa De Itaenga,Group 1,21429.0,0.223,0.316,0.0714,
Lagoa Do Carro,Group 1,18071.0,0.185,0.399,0.189,
Lajeado,Group 1,84014.0,0.121,0.285,0.0686,
Laranjal Do Jari,Group 1,50410.0,0.187,0.201,0.125,
Lauro De Freitas,Group 1,198440.0,0.126,0.126,0.0489,
Lavras,Group 1,103773.0,,,,
Lençóis Paulista,Group 1,68432.0,0.193,0.239,0.0611,
Leopoldina,Group 1,52587.0,,,,
Limeira,Group 1,306114.0,0.01,0.01,0.0518,
Limoeiro,Group 1,56250.0,0.109,0.304,0.0901,
Limoeiro Do Ajuru,Group 1,28935.0,0.0835,0.0454,0.244,
Lindóia Do Sul,Group 1,4563.0,,,,
Linhares,Group 1,173555.0,0.0646,0.299,0.0194,
Lins,Group 1,78013.0,0.0136,0.197,0.0309,
Londrina,Group 1,569733.0,0.01,0.0489,0.0009,
Louveira,Group 1,48885.0,0.162,1.0,0.0842,
Lucas Do Rio Verde,Group 1,65534.0,0.188,0.232,0.113,
Lucélia,Group 1,21747.0,0.311,0.335,0.1,
Luziânia,Group 1,208299.0,0.01,0.287,0.0,
Macaparana,Group 1,25376.0,0.026,0.18,0.0278,
Macapá,Group 1,503327.0,0.114,0.156,0.0558,0.0623
Macaé,Group 1,256672.0,0.15,0.32,0.112,
Macaíba,Group 1,80792.0,0.0218,0.0305,0.0423,
Maceió,Group 1,1.018948e6,0.0812,0.182,0.0596,0.088
Magé,Group 1,245071.0,0.109,0.166,0.0654,
Mairiporã,Group 1,100179.0,0.104,0.253,0.0567,
Manacapuru,Group 1,97377.0,0.115,0.174,0.0709,0.125
Manaquiri,Group 1,32105.0,0.204,1.0,0.117,
Manaus,Group 1,2.182763e6,0.132,0.145,0.0639,0.188
Manicoré,Group 1,55751.0,0.188,0.313,0.132,
Marabá,Group 1,279349.0,0.01,0.01,0.191,
Maracanaú,Group 1,227886.0,0.127,0.0456,0.0864,0.218
Maragogi,Group 1,32704.0,0.134,0.264,0.0333,
Maranguape,Group 1,128978.0,0.106,0.226,0.0735,
Marapanim,Group 1,28336.0,0.125,0.251,0.106,
Maratá,Group 1,2691.0,,,,
Marau,Group 1,44161.0,0.0897,0.26,0.0432,
Maraã,Group 1,18224.0,,,,
Marechal Deodoro,Group 1,51901.0,0.126,0.36,0.0814,
Marechal Floriano,Group 1,16694.0,,,,
Mariana,Group 1,60724.0,0.0344,0.291,0.0123,
Maricá,Group 1,161207.0,0.01,0.01,0.0585,
Maringá,Group 1,423666.0,0.0229,0.673,0.0,
Marituba,Group 1,131521.0,0.0838,0.351,0.0447,
Marília,Group 1,238882.0,0.114,1.0,0.0423,
Matinha,Group 1,23370.0,,,,
Mauá,Group 1,472912.0,0.0734,0.154,0.0569,0.176
Maués,Group 1,63905.0,0.126,0.289,0.0659,
Mazagão,Group 1,21632.0,0.01,0.01,0.0392,
Mendes,Group 1,18614.0,,,,
Mesquita,Group 1,176103.0,0.0628,0.289,0.0372,0.17
Miguel Alves,Group 1,33760.0,,,,
Miguel Pereira,Group 1,25538.0,0.0573,0.66,0.0,
Milagres Do Maranhão,Group 1,8464.0,,,,
Mineiros Do Tietê,Group 1,12908.0,0.118,0.909,0.0278,
Miracatu,Group 1,19779.0,0.326,0.21,0.106,
Mirassol D'Oeste,Group 1,27739.0,,,,
Mirinzal,Group 1,14962.0,0.192,0.362,0.167,
Mococa,Group 1,68885.0,0.261,0.433,0.241,
Mogi Guaçu,Group 1,151888.0,0.0195,0.4,0.0232,
Mogi Mirim,Group 1,93189.0,,,,
Mogi Das Cruzes,Group 1,445842.0,0.0575,0.0577,0.0663,0.153
Mongaguá,Group 1,56702.0,0.0417,0.234,0.0247,
Monte Alto,Group 1,50498.0,0.0603,0.975,0.0165,
Monte Mor,Group 1,59772.0,0.146,0.11,0.189,
Montes Claros,Group 1,409341.0,0.0693,0.159,0.0696,
Morada Nova,Group 1,61890.0,,,,
Moreno,Group 1,62784.0,0.0451,0.169,0.0497,
Morro Agudo,Group 1,32968.0,,,,
Morungaba,Group 1,13622.0,,,,
Mossoró,Group 1,297378.0,0.133,0.12,0.0608,0.145
Mulungu,Group 1,10823.0,,,,
Murici,Group 1,28236.0,0.0804,0.158,0.0599,
Mãe Do Rio,Group 1,30077.0,,,,
Natal,Group 1,884122.0,0.132,1.0,0.0421,0.0474
Navegantes,Group 1,81475.0,,,,
Nazaré Da Mata,Group 1,32471.0,0.168,0.383,0.0667,
Nerópolis,Group 1,29850.0,,,,
Nilópolis,Group 1,162485.0,0.122,0.227,0.072,
Niterói,Group 1,513584.0,0.01,0.01,0.0566,0.136
Nova Andradina,Group 1,54374.0,,,,
Nova Friburgo,Group 1,190631.0,0.0786,0.745,0.0487,
Nova Iguaçu,Group 1,821128.0,0.09,0.412,0.0505,0.193
Nova Ipixuna,Group 1,16678.0,,,,
Nova Lima,Group 1,94889.0,,,,
Nova Londrina,Group 1,13213.0,,,,
Nova Mutum,Group 1,45378.0,0.232,0.28,0.0667,
Nova Odessa,Group 1,60174.0,0.01,0.163,0.0708,
Nova Olinda Do Norte,Group 1,37378.0,,,,
Nova Timboteua,Group 1,15363.0,,,,
Novo Airão,Group 1,19454.0,0.405,0.517,0.35,
Novo Aripuanã,Group 1,25644.0,,,,
Novo Hamburgo,Group 1,246748.0,0.0721,0.603,0.0212,
Não-Me-Toque,Group 1,17624.0,,,,
Nísia Floresta,Group 1,27602.0,0.0548,0.393,0.0185,
Ocara,Group 1,25703.0,0.155,0.701,0.0623,
Oeiras Do Pará,Group 1,32512.0,0.035,0.184,0.0253,
Oiapoque,Group 1,27270.0,0.11,0.0959,0.0718,
Olinda,Group 1,392482.0,0.097,0.213,0.066,0.145
Osasco,Group 1,698418.0,0.0697,0.202,0.0551,0.204
Ourinhos,Group 1,113542.0,0.01,0.01,0.03,
Pacajus,Group 1,72203.0,0.157,0.0346,0.0742,
Pacaraima,Group 1,17401.0,,,,
Pacatuba,Group 1,83432.0,,,,
Pacoti,Group 1,12261.0,0.254,0.325,0.333,
Palhoça,Group 1,171797.0,0.0213,0.351,0.0167,
Palmas,Group 1,50986.0,0.166,0.149,0.0955,
Palmeira Dos Índios,Group 1,73218.0,,,,
Paracatu,Group 1,93158.0,0.0197,0.478,0.0,
Paranaguá,Group 1,154936.0,0.0248,0.449,0.003,
Paranavaí,Group 1,88374.0,0.104,0.175,0.0823,
Parauapebas,Group 1,208273.0,0.0783,0.12,0.0712,
Paraíba Do Sul,Group 1,44285.0,0.139,0.254,0.0492,
Paraíso Do Tocantins,Group 1,51252.0,0.326,0.221,0.244,
Parintins,Group 1,114273.0,0.138,0.175,0.104,0.153
Pariquera-Açu,Group 1,19648.0,0.106,0.182,0.0327,
Parnamirim,Group 1,261469.0,0.0822,0.36,0.0216,
Parnaíba,Group 1,153078.0,0.173,0.122,0.0894,
Passo Fundo,Group 1,203275.0,0.085,0.267,0.0482,0.144
Pato Branco,Group 1,82881.0,,0.357,0.0,
Patos,Group 1,107605.0,0.266,0.259,0.174,
Paty Do Alferes,Group 1,27769.0,,,,
Pau Dos Ferros,Group 1,30394.0,,,,
Paudalho,Group 1,56506.0,0.0737,0.262,0.0598,
Paulista,Group 1,331774.0,0.0781,0.167,0.0478,0.129
Paulínia,Group 1,109424.0,0.0949,0.131,0.052,
Paço Do Lumiar,Group 1,122197.0,0.116,0.337,0.0532,
Pedra,Group 1,22617.0,,,,
Pedra Branca,Group 1,43258.0,0.11,0.258,0.333,
Pedra Branca Do Amapari,Group 1,16502.0,,,,
Pedras De Fogo,Group 1,28458.0,,,,
Pedreiras,Group 1,39229.0,,,,
Peritiba,Group 1,2787.0,,,,
