Key,Group Name,M,β,γ,α,μ
Guyana,Group 1,782677.0,0.0379,0.611,0.0321,
Honduras,Group 1,9.997955e6,0.115,0.483,0.0158,0.389
Hungary,Group 1,9.728346e6,0.025,0.554,0.0221,0.333
Iceland,Group 1,361714.0,0.01,0.353,0.155,0.0058
Indonesia,Group 1,2.74757901e8,0.0406,0.296,0.016,0.302
Iran,Group 1,8.3827713e7,0.0768,0.339,0.0889,0.073
Iraq,Group 1,4.0593281e7,0.0571,0.108,0.0575,0.0604
Ireland,Group 1,5.002283e6,0.0403,0.973,0.112,0.0842
Israel,Group 1,9.230241e6,0.01,0.816,0.0548,0.0229
Jamaica,Group 1,2.967754e6,0.019,0.352,0.0121,0.0826
Japan,Group 1,1.2649427e8,0.0158,1.0,0.0374,0.113
Jordan,Group 1,1.0718956e7,0.0711,0.371,0.0461,0.0228
Kazakhstan,Group 1,1.8693685e7,0.053,0.259,0.0313,0.0221
Kosovo,Group 1,1.862192e6,0.0123,0.401,0.0677,0.0569
Kuwait,Group 1,4.474225e6,0.112,1.0,0.048,0.0194
Kyrgyzstan,Group 1,6.504691e6,0.0743,0.271,0.0842,0.0175
Latvia,Group 1,1.883606e6,0.0156,0.421,0.0329,0.0401
Lebanon,Group 1,7.303125e6,0.0307,0.0889,0.0132,0.112
Liberia,Group 1,5.10889e6,0.0511,0.147,0.0371,
Lithuania,Group 1,2.733144e6,0.01,0.153,0.0371,0.0645
Luxembourg,Group 1,630779.0,0.0242,0.449,0.104,0.0275
Malaysia,Group 1,3.2622577e7,0.01,0.01,0.0471,0.0225
Maldives,Group 1,552037.0,0.067,0.197,0.0027,
Mali,Group 1,2.0292317e7,0.0498,0.224,0.0636,0.119
Malta,Group 1,496458.0,0.0339,0.499,0.108,0.0114
Mauritius,Group 1,1.274331e6,0.01,0.01,0.238,0.0307
Mexico,Group 1,1.29654253e8,0.125,0.19,0.176,0.135
Moldova,Group 1,2.68288e6,0.0374,0.519,0.032,0.0832
Monaco,Group 1,39486.0,0.01,0.408,0.155,
Mongolia,Group 1,3.270171e6,,,,
Montenegro,Group 1,624177.0,0.01,1.0,0.108,0.0305
Morocco,Group 1,3.6937822e7,0.0438,0.407,0.0447,0.102
Netherlands,Group 1,1.7383205e7,0.01,0.328,0.002,0.974
New Zealand,Group 1,4.964681e6,0.01,0.584,0.0954,0.0152
Niger,Group 1,2.4213446e7,0.0434,0.197,0.104,0.0667
North Macedonia,Group 1,2.088377e6,0.01,0.0117,0.0892,0.0829
Norway,Group 1,5.411934e6,0.01,0.359,0.0002,
Oman,Group 1,5.252599e6,0.0407,0.0477,0.0335,0.0173
Pakistan,Group 1,2.21843678e8,0.0783,0.491,0.0272,0.0806
Panama,Group 1,4.328485e6,0.0304,0.702,0.0535,0.181
Paraguay,Group 1,7.165956e6,0.133,0.326,0.0244,0.0689
Peru,Group 1,3.2670922e7,0.0807,0.253,0.0324,0.0846
Philippines,Group 1,1.1042589e8,0.0317,0.282,0.0116,0.312
Poland,Group 1,3.7943338e7,0.031,0.281,0.0279,0.144
Portugal,Group 1,1.0283147e7,0.0107,0.223,0.005,0.353
Qatar,Group 1,3.30319e6,0.0452,0.0734,0.0085,0.0064
Romania,Group 1,1.9160783e7,0.0394,0.514,0.0432,0.135
Russia,Group 1,1.44244558e8,0.0735,0.174,0.0171,0.0682
Rwanda,Group 1,1.2916359e7,,,,
San Marino,Group 1,34572.0,0.0142,0.479,0.009,0.246
Sao Tome And Principe,Group 1,220479.0,0.662,0.0329,0.0026,
Saudi Arabia,Group 1,3.5582072e7,0.0642,0.365,0.0307,0.0348
Senegal,Group 1,1.6725284e7,0.079,0.224,0.0385,0.025
Serbia,Group 1,6.92569e6,0.0172,0.573,0.0173,0.0959
Sierra Leone,Group 1,8.098006e6,0.108,0.15,0.0399,
Singapore,Group 1,5.85343e6,0.0657,0.413,0.0037,0.0124
Slovakia,Group 1,5.45326e6,0.01,0.299,0.0548,0.0343
Slovenia,Group 1,2.083556e6,0.01,0.263,0.0037,0.284
Somalia,Group 1,1.5910843e7,0.0612,0.311,0.0134,0.297
South Africa,Group 1,5.9411676e7,0.0933,1.0,0.0435,0.047
South Korea,Group 1,5.2144578e7,0.01,0.822,0.0485,0.0264
Sri Lanka,Group 1,2.2017708e7,0.01,0.01,0.0236,0.0376
Suriname,Group 1,589022.0,,1.0,0.25,
Sweden,Group 1,1.0331337e7,0.0294,0.454,0.0168,0.526
Switzerland,Group 1,8.6753e6,0.018,0.404,0.105,0.0667
Thailand,Group 1,7.0187992e7,0.0226,0.349,0.0527,0.0196
Togo,Group 1,8.313208e6,0.0882,0.44,0.0723,
Trinidad And Tobago,Group 1,1.404205e6,0.01,0.942,0.278,0.0711
Tunisia,Group 1,1.1792303e7,0.01,0.632,0.0911,0.0884
Turkey,Group 1,8.4767099e7,0.02,0.137,0.0833,0.0491
Ukraine,Group 1,4.4143362e7,0.0421,0.248,0.0169,0.144
United Arab Emirates,Group 1,1.0910461e7,0.0453,0.316,0.021,0.0413
United Kingdom,Group 1,6.7359087e7,0.0294,0.328,0.0034,0.969
United States,Group 1,3.32049547e8,0.0249,0.213,0.0114,0.282
Uruguay,Group 1,3.464003e6,0.013,0.09,0.0537,0.0357
Uzbekistan,Group 1,3.4035959e7,0.0422,0.517,0.0971,0.0065
Venezuela,Group 1,2.9442841e7,0.0352,0.295,0.0212,0.0588
West Bank And Gaza,Group 1,4.801744e6,0.0129,0.619,0.0898,0.0106
