date,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,μ_closed,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
2020-03-10,7777809927,11317,400040,units unclear,118296,153764,4262,118296,158026,-39730,0.02697,6547.167,-4321.83333,308.667,-4013.16667,10560.333,1096.861,,52.139,,,199.25,6.278,-2.01042,0.03603,15.209,0.548,19.77,20.318,-5.10812,3.382,51.434
2020-03-11,7777809927,11317,504192,units unclear,125596,149806,4609,125596,154415,-28819,0.02985,7732.5,-3390.5,338.167,-3052.33333,10784.833,1195.944,,57.806,,,176.201,33.392,8.182,0.0367,16.148,0.5926,19.261,19.853,-3.70528,4.014,64.824
2020-03-12,7777809927,11317,575207,units unclear,130792,146885,4912,130792,151797,-21005,0.03236,8885.167,-2488.0,414.0,-2074.0,10959.167,1545.333,,68.861,,,206.861,13.929,5.59,0.03756,16.816,0.6315,18.885,19.517,-2.70063,4.398,73.955
2020-03-13,7777809927,11317,538659,units unclear,145011,144474,5410,145011,149884,-4873,0.03609,10456.833,-1556.0,480.833,-1075.16667,11532.0,1610.833,,74.639,,,280.778,44.523,-7.73264,0.03731,18.644,0.6956,18.575,19.271,-0.62653,3.715,69.256
2020-03-14,7777809927,11317,688187,units unclear,156085,143615,5830,156085,149445,6640,0.03901,11807.167,-586.16667,557.167,-29.0,11836.167,1924.306,,99.111,,,254.965,28.637,0.6827,0.03735,20.068,0.7496,18.465,19.214,0.8537,4.409,88.481
2020-03-15,7777809927,11317,1075899,units unclear,166770,143567,6470,166770,150037,16733,0.04312,14118.667,391.833,655.333,1047.167,13071.5,2319.056,,115.778,,,354.292,2.462,-15.86458,0.0388,21.442,0.8319,18.459,19.29,2.151,6.451,138.329
2020-03-16,7777809927,11317,860072,units unclear,181037,144428,7147,181037,151575,29462,0.04715,16212.167,1479.667,756.5,2236.167,13976.0,2565.194,,132.972,,,321.41,16.66,-5.90061,0.03948,23.276,0.9189,18.569,19.488,3.788,4.751,110.58
2020-03-17,7777809927,11317,940744,units unclear,196439,146289,7952,196439,154241,42198,0.05156,19278.333,2572.667,932.833,3505.5,15772.833,3028.0,,151.056,,,290.625,-18.93576,-4.49132,0.04048,25.256,1.022,18.809,19.831,5.425,4.789,120.952
2020-03-18,7777809927,11317,1071840,units unclear,215504,149236,8844,215504,158080,57424,0.05595,22799.5,3833.833,1108.667,4942.5,17857.0,3209.944,1366.861,172.889,1539.75,1670.194,321.604,5.035,-14.95052,0.04104,27.708,1.137,19.187,20.324,7.383,4.974,137.807
2020-03-19,7777809927,11317,1184418,units unclear,242284,153352,9949,242284,163301,78983,0.06092,25848.0,5285.0,1278.667,6563.667,19284.333,3481.556,1489.111,202.25,1691.361,1790.194,278.549,-15.50347,,0.04106,31.151,1.279,19.717,20.996,10.155,4.889,152.282
2020-03-20,7777809927,11317,1371006,units unclear,271755,159051,11427,271755,170478,101277,0.06703,29975.167,6854.833,1463.5,8318.333,21656.833,3851.611,1639.306,214.944,1854.25,1997.361,341.549,-43.14236,-31.6454,0.04205,34.94,1.469,20.449,21.919,13.021,5.045,176.271
2020-03-21,7777809927,11317,1469702,units unclear,303567,166570,13122,303567,179692,123875,0.07302,33378.333,8593.0,1692.667,10285.667,23092.667,4142.194,1799.806,235.556,2035.361,2106.833,228.611,-46.80729,,0.04323,39.03,1.687,21.416,23.103,15.927,4.841,188.961
2020-03-22,7777809927,11317,2433893,units unclear,336125,176138,14819,336125,190957,145168,0.0776,37101.5,10414.333,1970.0,12384.333,24717.167,4576.139,1965.083,262.167,2227.25,2348.889,149.035,-121.54688,,0.04409,43.216,1.905,22.646,24.552,18.664,7.241,312.928
