country,country_code,avg_pop_factor,estimated_population
Poland,POL,0.9996,37943338
Portugal,PRT,1.0,10283147
Post-demographic dividend,PST,1.005,1119805582
Pre-demographic dividend,PRE,1.029,973385739
Puerto Rico,PRI,0.9903,3133224
Qatar,QAT,1.09,3303190
Romania,ROU,0.9921,19160783
Russia,RUS,0.9992,144244558
Rwanda,RWA,1.025,12916359
Samoa,WSM,1.007,198699
San Marino,SMR,1.012,34572
Sao Tome and Principe,STP,1.022,220479
Saudi Arabia,SAU,1.028,35582072
Senegal,SEN,1.027,16725284
Serbia,SRB,0.9959,6925690
Seychelles,SYC,1.01,98675
Sierra Leone,SLE,1.029,8098006
Singapore,SGP,1.019,5853430
Sint Maarten (Dutch part),SXM,1.016,41970
Slovakia,SVK,1.001,5453260
Slovenia,SVN,1.002,2083556
Small states,SST,1.018,42056586
Solomon Islands,SLB,1.026,686997
Somalia,SOM,1.03,15910843
South Africa,ZAF,1.014,59411676
South Asia,SAS,1.015,1868765438
South Asia (IDA & IBRD),TSA,1.015,1868765438
South Korea,KOR,1.005,52144578
South Sudan,SSD,1.032,11695174
Spain,ESP,1.008,47545141
Sri Lanka,LKA,1.008,22017708
St. Kitts and Nevis,KNA,1.01,53464
St. Lucia,LCA,1.008,184923
St. Martin (French part),MAF,1.014,38326
St. Vincent and the Grenadines,VCT,1.001,110483
Sub-Saharan Africa,SSF,1.027,1137739866
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.027,1137739866
Sub-Saharan Africa (excluding high income),SSA,1.027,1137641843
Sudan,SDN,1.024,43832398
Suriname,SUR,1.011,589022
Sweden,SWE,1.008,10331337
Switzerland,CHE,1.009,8675300
Syrian Arab Republic,SYR,1.002,16962246
Tajikistan,TJK,1.021,9494572
Tanzania,TZA,1.029,59664818
Thailand,THA,1.005,70187992
Timor-Leste,TLS,1.02,1319763
Togo,TGO,1.027,8313208
Tonga,TON,1.003,103794
Trinidad and Tobago,TTO,1.005,1404205
Tunisia,TUN,1.01,11792303
Turkey,TUR,1.015,84767099
Turkmenistan,TKM,1.014,6021691
Turks and Caicos Islands,TCA,1.035,40373
Tuvalu,TUV,1.011,11770
Uganda,UGA,1.033,45624665
Ukraine,UKR,0.9946,44143362
United Arab Emirates,ARE,1.064,10910461
United Kingdom,GBR,1.007,67359087
United States,USA,1.008,332049547
Upper middle income,UMC,1.008,2696131025
Uruguay,URY,1.002,3464003
Uzbekistan,UZB,1.016,34035959
Vanuatu,VUT,1.026,307990
Venezuela,VEN,1.01,29442841
Vietnam,VNM,1.01,97455744
Virgin Islands (U.S.),VIR,0.9991,106794
West Bank and Gaza,PSE,1.025,4801744
World,WLD,1.012,7777809927
"Yemen, Rep.",YEM,1.028,30102884
Zambia,ZMB,1.029,18364219
Zimbabwe,ZWE,1.011,14755201
