Key,Group Name,M,β,γ,α,μ
Barra do Piraí,Group 1,101378.0,0.1414,0.1434,0.05235,
Barreirinhas,Group 1,63153.0,,,,
Barretos,Group 1,123319.0,0.03682,0.1717,0.04741,
Barueri,Group 1,276924.0,0.09796,0.4442,0.05263,
Bauru,Group 1,380586.0,0.04844,0.08375,0.04223,
Bayeux,Group 1,97849.0,0.175,1.0,0.09738,
Bebedouro,Group 1,78271.0,,,,
Beberibe,Group 1,54109.0,0.1104,0.3478,0.04402,
Bela Cruz,Group 1,32917.0,0.2107,0.2929,0.1414,
Bela Vista de Goiás,Group 1,30275.0,,,,
Belford Roxo,Group 1,516015.0,0.08453,0.1719,0.04948,
Belo Horizonte,Group 1,2.537191e6,0.09889,0.0934,0.02774,
Belo Jardim,Group 1,77203.0,0.07207,0.3952,0.03968,
Belém,Group 1,1.507672e6,0.1315,0.2384,0.08284,
Benevides,Group 1,63364.0,0.1314,0.2636,0.06807,
Benjamin Constant,Group 1,43414.0,0.1,0.07353,0.08272,
Bento Gonçalves,Group 1,121659.0,0.07987,0.02589,0.09438,
Beruri,Group 1,19876.0,0.2281,0.7751,0.128,
Betim,Group 1,443733.0,0.08709,0.2472,0.03333,
Biguaçu,Group 1,69166.0,,,,
Birigui,Group 1,124874.0,,,,
Blumenau,Group 1,360771.0,0.01548,0.07593,0.0339,
Boa Vista,Group 1,403205.0,,0.13,0.0732,
Boca do Acre,Group 1,34651.0,,,,
Bom Jardim,Group 1,42046.0,0.01,0.07121,0.08333,
Bom Jesus,Group 1,2587.0,,,,
Bom Jesus do Itabapoana,Group 1,37467.0,0.1044,1.0,0.05704,
Bom Jesus do Norte,Group 1,10035.0,,,,
Bom Retiro do Sul,Group 1,12451.0,,,,
Bonito,Group 1,22196.0,0.04262,0.0463,0.2222,
Botucatu,Group 1,147962.0,0.01187,0.05294,0.03684,
Bragança,Group 1,128963.0,0.1636,0.1096,0.1491,
Bragança Paulista,Group 1,170355.0,0.03745,0.1101,0.03239,
Brasília,Group 1,3.045421e6,0.08375,0.06584,0.03953,
Braço do Norte,Group 1,33784.0,0.01,0.2247,0.03024,
Brejo,Group 1,36761.0,,,,
Breves,Group 1,103728.0,0.1684,0.03227,0.2738,
Brumado,Group 1,67867.0,,,,
Brusque,Group 1,136070.0,,,,
Buerarema,Group 1,18532.0,0.08525,0.3999,0.1429,
Bujaru,Group 1,29423.0,0.2375,0.1222,0.2328,
Buritama,Group 1,17315.0,,,,
Caapiranga,Group 1,13212.0,,,,
Caaporã,Group 1,22046.0,,,,
Cabedelo,Group 1,68413.0,0.01,0.01,0.09069,
Cabo Frio,Group 1,228790.0,0.1469,0.2381,0.06525,
Cabo de Santo Agostinho,Group 1,209118.0,0.1679,0.3626,0.1148,
Cabreúva,Group 1,50204.0,,,,
Cachoeira Grande,Group 1,9525.0,0.01,0.3678,0.05,
Cachoeira do Arari,Group 1,24005.0,0.1534,0.1236,0.1204,
Cachoeiras de Macacu,Group 1,59526.0,0.1059,0.2728,0.05926,
Cachoeiro de Itapemirim,Group 1,211062.0,,,,
Caieiras,Group 1,102485.0,0.06984,0.1244,0.04883,
Cajamar,Group 1,77569.0,0.1429,0.3222,0.09731,
Cajazeiras,Group 1,62613.0,0.154,0.2691,0.08286,
Camacan,Group 1,32308.0,,,,
Camaragibe,Group 1,159406.0,0.1003,0.5056,0.04563,
Camaçari,Group 1,302123.0,0.07681,0.3398,0.02292,
Camboriú,Group 1,83819.0,0.01845,0.265,0.0,
Cambuí,Group 1,29847.0,,,,
Cambé,Group 1,107598.0,,,,
Cametá,Group 1,139269.0,0.5559,0.4722,0.4712,
Campina Grande,Group 1,413828.0,0.1116,0.1474,0.05009,
Campina Grande do Sul,Group 1,43721.0,0.1563,0.4173,0.05556,
Campinas,Group 1,1.216114e6,0.08805,0.259,0.04017,
Campo Grande,Group 1,9654.0,0.02088,0.2637,0.00425,
Campo Limpo Paulista,Group 1,85496.0,0.03501,0.2808,0.02284,
Campo Maior,Group 1,47301.0,,,,
Campo Mourão,Group 1,95808.0,0.01,0.1272,0.00714,
Campos Sales,Group 1,27700.0,,,,
Campos dos Goytacazes,Group 1,512623.0,0.07781,0.04045,0.08574,
Cananéia,Group 1,12665.0,0.1478,0.3654,0.06444,
Canavieiras,Group 1,31410.0,,,,
Canaã dos Carajás,Group 1,37456.0,0.2165,0.1036,0.2222,
Candeias,Group 1,87947.0,,,,
Canguaretama,Group 1,34619.0,0.1501,0.3081,0.02741,
Canindé,Group 1,77767.0,,,,
Canoas,Group 1,350082.0,0.07451,0.4438,0.03262,
Cantanhede,Group 1,22215.0,,,,
Canutama,Group 1,15785.0,,,,
Capanema,Group 1,69717.0,0.1557,0.2047,0.08438,
Capela do Alto,Group 1,20913.0,,,,
Capitão Poço,Group 1,54846.0,,,,
Capivari de Baixo,Group 1,25120.0,,,,
Caraguatatuba,Group 1,122747.0,0.08595,0.1082,0.07598,
Carapicuíba,Group 1,404936.0,0.08396,0.2321,0.04275,
Carauari,Group 1,28577.0,0.1008,0.6045,0.02545,
Carazinho,Group 1,62731.0,,,,
Caraúbas,Group 1,20698.0,,,,
Careiro,Group 1,38248.0,0.1316,0.2496,0.1067,
Careiro da Várzea,Group 1,30527.0,,,,
Cariacica,Group 1,385098.0,0.07784,0.1376,0.05986,
Cariri do Tocantins,Group 1,4426.0,,,,
Cariré,Group 1,18632.0,,,,
Carlos Barbosa,Group 1,30131.0,0.1306,0.323,0.04386,
Carpina,Group 1,84477.0,0.1037,0.2387,0.09452,
Caruaru,Group 1,364729.0,0.03707,0.0108,0.09484,
Cascavel,Group 1,72460.0,0.01,0.2412,0.00555,
Casimiro de Abreu,Group 1,44626.0,,,,
Castanhal,Group 1,202801.0,0.1373,0.2732,0.1017,
Catanduva,Group 1,123081.0,0.155,0.2677,0.08337,
Catanduvas,Group 1,10970.0,,,,
Catende,Group 1,43321.0,0.08453,0.01159,0.2222,
Catu,Group 1,55251.0,,,,
Caucaia,Group 1,365014.0,0.1341,0.06619,0.06506,
Caxias do Sul,Group 1,516015.0,0.04546,0.2224,0.01351,
Caçapava,Group 1,95206.0,,,,
Ceará-Mirim,Group 1,74232.0,0.04936,0.3977,0.02222,
Centro Novo do Maranhão,Group 1,21838.0,0.233,0.4747,0.1389,
Chapadão do Sul,Group 1,25470.0,,,,
Chapecó,Group 1,222571.0,,,,
Chorozinho,Group 1,20467.0,0.2543,0.3173,0.09614,
Choró,Group 1,13656.0,,,,
Chã de Alegria,Group 1,13653.0,0.1331,0.3809,0.0642,
Coaraci,Group 1,17163.0,0.06336,0.364,0.01515,
Coari,Group 1,85948.0,0.1577,0.2243,0.1292,
Codajás,Group 1,28923.0,,,,
Codó,Group 1,124088.0,,,,
Colatina,Group 1,123724.0,,,,
Colinas,Group 1,41590.0,,,,
Colombo,Group 1,246163.0,,,,
Conceição do Araguaia,Group 1,48343.0,,,,
Concórdia,Group 1,75387.0,0.07708,0.2028,0.03833,
Concórdia do Pará,Group 1,33651.0,,,,
Conde,Group 1,26095.0,0.102,0.4314,0.08531,
Confresa,Group 1,31242.0,,,,
Conselheiro Lafaiete,Group 1,129875.0,,,,
Contagem,Group 1,670494.0,0.05662,0.6408,0.02212,
Coreaú,Group 1,23367.0,,,,
Coronel Fabriciano,Group 1,110954.0,,,,
Corumbá,Group 1,112549.0,,,,
Cotia,Group 1,251702.0,0.06968,0.3053,0.03519,
Crateús,Group 1,75825.0,0.1327,0.1199,0.06926,
Crato,Group 1,133444.0,,,,
Cravinhos,Group 1,35645.0,0.06198,0.6847,0.03333,
Criciúma,Group 1,217338.0,0.02262,0.06758,0.04332,
Cruz do Espírito Santo,Group 1,17492.0,0.01,0.01,0.1513,
Cruzeiro,Group 1,83060.0,0.1581,0.5589,0.04815,
Cruzeiro do Sul,Group 1,89260.0,0.01,0.01,0.1185,
Cubatão,Group 1,132012.0,,,,
Cuiabá,Group 1,618672.0,0.05491,0.1984,0.01713,
Curaçá,Group 1,35047.0,,,,
Curionópolis,Group 1,18108.0,0.6111,0.1468,0.0,
Curitiba,Group 1,1.952436e6,0.01,0.01,0.01351,
Curralinho,Group 1,34792.0,,,,
Curuçá,Group 1,40467.0,,,,
Custódia,Group 1,37482.0,0.1423,0.1166,0.1,
Demerval Lobão,Group 1,13955.0,,,,
Diadema,Group 1,428123.0,0.05388,0.1772,0.04343,
Dias d'Ávila,Group 1,81900.0,,,,
Divinópolis,Group 1,240612.0,0.06018,0.2432,0.02255,
Domingos Martins,Group 1,34188.0,,,,
Dourados,Group 1,225178.0,0.06344,0.4499,0.02282,
Dracena,Group 1,47261.0,0.1045,0.03577,0.1,
Duque de Caxias,Group 1,928792.0,0.1171,0.2236,0.07228,
Embu das Artes,Group 1,276463.0,0.01,0.01,0.06039,
Embu-Guaçu,Group 1,70079.0,0.06685,0.1667,0.06184,
Encantado,Group 1,22933.0,,,,
Erechim,Group 1,106921.0,0.1082,0.1037,0.04762,
Escada,Group 1,69564.0,0.2129,0.4292,0.1166,
Esperantina,Group 1,40134.0,,,,
Espumoso,Group 1,15744.0,,,,
Esteio,Group 1,84034.0,,,,
Estreito,Group 1,42365.0,,,,
Estrela,Group 1,34457.0,0.01,0.01,0.1108,
Eunápolis,Group 1,114514.0,,,,
Eusébio,Group 1,54154.0,0.2417,0.6558,0.09634,
Extrema,Group 1,36587.0,0.1012,0.5329,0.04044,
Extremoz,Group 1,28869.0,,,,
Farroupilha,Group 1,73054.0,,,,
Fazenda Rio Grande,Group 1,101211.0,0.04922,0.3781,0.03333,
Feira Nova,Group 1,22352.0,,,,
Feira de Santana,Group 1,621021.0,0.04576,0.1625,0.01917,
Fernando de Noronha,Group 1,3092.0,,,,
Fernandópolis,Group 1,69807.0,,,,
Ferraz de Vasconcelos,Group 1,196219.0,0.08341,0.2331,0.05174,
Ferreiros,Group 1,12244.0,,,,
Floriano,Group 1,60534.0,,,,
Florianópolis,Group 1,505983.0,0.02213,0.6529,0.00424,
Fortaleza,Group 1,2.696035e6,0.01,0.01,0.06431,
Foz do Iguaçu,Group 1,261117.0,0.05263,0.1931,0.02469,
Franca,Group 1,356719.0,0.07131,0.4739,0.00855,
Francisco Beltrão,Group 1,92004.0,,,,
Francisco Morato,Group 1,177602.0,0.0896,0.5444,0.05873,
Franco da Rocha,Group 1,156034.0,0.05605,0.3282,0.0362,
Fundão,Group 1,21724.0,0.08321,0.1538,0.08626,
Garanhuns,Group 1,141186.0,0.196,0.4151,0.1479,
Garibaldi,Group 1,35421.0,0.1039,0.2773,0.07952,
Garrafão do Norte,Group 1,26327.0,,,,
Garça,Group 1,44834.0,,,,
Gaspar,Group 1,70335.0,0.01,0.1702,0.0288,
Glória do Goitá,Group 1,30910.0,0.08188,0.1449,0.1833,
Goiana,Group 1,80556.0,0.108,0.1037,0.1278,
Goianésia,Group 1,70785.0,0.01,0.5508,0.0,
Goiânia,Group 1,1.531274e6,0.02101,0.1708,0.02099,
Governador Celso Ramos,Group 1,14616.0,,,,
Governador Valadares,Group 1,282684.0,0.07987,0.2061,0.05019,
Granja,Group 1,55295.0,,,,
Gravatal,Group 1,11616.0,,,,
Gravataí,Group 1,284334.0,0.01263,0.02776,0.004,
Gravatá,Group 1,84915.0,0.109,0.2588,0.06349,
Groaíras,Group 1,11179.0,,,,
Guaiúba,Group 1,26325.0,,,,
Guapimirim,Group 1,61122.0,0.05163,0.03302,0.1111,
Guarabira,Group 1,59421.0,,,,
Guaramirim,Group 1,45267.0,,,,
Guaraniaçu,Group 1,12597.0,,,,
Guarapari,Group 1,126108.0,0.05971,0.1179,0.05071,
Guararapes,Group 1,33268.0,,,,
Guararema,Group 1,30096.0,0.3278,0.3911,0.06782,
Guaratuba,Group 1,37438.0,,,,
Guarujá,Group 1,323664.0,0.0695,0.307,0.03802,
Guarulhos,Group 1,1.392974e6,0.04095,0.1525,0.04792,
Guaçuí,Group 1,31176.0,,,,
Guaíba,Group 1,99124.0,,,,
Guaíra,Group 1,33450.0,,,,
Gurupi,Group 1,87513.0,,,,
Horizonte,Group 1,68010.0,0.2061,0.06918,0.07756,
Hortolândia,Group 1,233160.0,0.1429,0.1819,0.0908,
Ibimirim,Group 1,29527.0,0.21,0.2804,0.3333,
Ibiraçu,Group 1,12604.0,,,,
Icapuí,Group 1,20133.0,,,,
Icó,Group 1,68698.0,,,,
Igarapé-Açu,Group 1,39195.0,0.129,0.4075,0.07856,
Igarassu,Group 1,118189.0,0.09762,0.3136,0.07108,
Igaratá,Group 1,9629.0,,,,
Iguaba Grande,Group 1,28593.0,0.1234,0.0953,0.05042,
Iguape,Group 1,31166.0,,,,
Iguatu,Group 1,103523.0,0.1253,0.07743,0.07261,
Ilha Comprida,Group 1,11278.0,0.04698,0.5192,0.00605,
Ilha de Itamaracá,Group 1,26521.0,,,,
Ilhéus,Group 1,163950.0,0.05927,0.3495,0.02659,
Imbituba,Group 1,45302.0,,,,
Imperatriz,Group 1,261269.0,0.1392,0.07686,0.09871,
Indaial,Group 1,70119.0,0.07768,0.2658,0.06922,
Indaiatuba,Group 1,254143.0,0.05274,0.2167,0.06623,
Inhangapi,Group 1,11828.0,,,,
Ipanguaçu,Group 1,15646.0,0.1461,0.3386,0.3194,
Ipatinga,Group 1,266044.0,,,,
Ipojuca,Group 1,97166.0,0.1499,0.2151,0.09113,
Ipueiras,Group 1,38548.0,0.07994,0.4892,0.08333,
Ipumirim,Group 1,7669.0,,,,
Iranduba,Group 1,48779.0,0.08468,0.1975,0.05587,
Irani,Group 1,10523.0,,,,
Irituia,Group 1,32876.0,,,,
Itabira,Group 1,121261.0,0.05391,0.4443,0.02083,
Itaboraí,Group 1,242998.0,0.07462,0.3878,0.07962,
Itabuna,Group 1,215355.0,0.08724,0.2581,0.04155,
Itacaré,Group 1,28579.0,,,,
Itacoatiara,Group 1,102350.0,0.07984,0.1329,0.0663,
Itaguaí,Group 1,134349.0,0.09743,0.2771,0.08533,
Itaitinga,Group 1,38360.0,0.1407,0.1081,0.0718,
Itaituba,Group 1,102259.0,0.06923,1.0,0.01667,
Itajaí,Group 1,221731.0,0.06312,0.2982,0.03066,
Itajubá,Group 1,97838.0,,,,
Itanhandu,Group 1,15484.0,,,,
Itanhaém,Group 1,102834.0,0.03279,0.2584,0.00926,
Itapecerica,Group 1,21980.0,,,,
Itapecerica da Serra,Group 1,177450.0,0.08824,0.5192,0.03928,
Itapema,Group 1,65965.0,0.01,0.2339,0.01543,
Itapemirim,Group 1,34691.0,,,,
Itaperuçu,Group 1,28920.0,,,,
Itapetinga,Group 1,76908.0,0.02241,0.4306,0.02525,
Itapetininga,Group 1,165540.0,0.08932,0.06943,0.07148,
Itapeva,Group 1,9881.0,,,,
Itapevi,Group 1,240077.0,0.09241,0.2625,0.06147,
Itapipoca,Group 1,130652.0,0.2169,0.1701,0.1582,
Itapira,Group 1,75521.0,0.03823,0.3249,0.01786,
Itapiúna,Group 1,20586.0,0.2294,0.717,0.1085,
Itaquaquecetuba,Group 1,374529.0,0.06844,0.06112,0.06398,
Itaquitinga,Group 1,17125.0,0.203,0.638,0.2361,
Itarema,Group 1,42244.0,,,,
Itatiba,Group 1,122067.0,0.104,0.3234,0.06054,
Itaubal,Group 1,5558.0,,,,
Itumbiara,Group 1,105789.0,,,,
Itupeva,Group 1,61865.0,0.0797,0.3264,0.2063,
Itá,Group 1,6231.0,,,,
Ivaiporã,Group 1,32304.0,0.01,0.3987,0.1667,
Jaboatão dos Guararapes,Group 1,709321.0,0.09577,0.1464,0.06495,
Jaborá,Group 1,3975.0,,,,
Jaboticabal,Group 1,78036.0,0.01,0.265,0.04167,
Jacareí,Group 1,235999.0,0.09807,0.3741,0.03141,
Jaci,Group 1,7138.0,,,,
Jaguaquara,Group 1,54967.0,,,,
Jaguaretama,Group 1,18344.0,,,,
Jaguariúna,Group 1,58063.0,,,,
Jaguaruna,Group 1,20224.0,,,,
Jandira,Group 1,126186.0,0.1438,0.2283,0.07038,
Japeri,Group 1,105816.0,0.0933,0.3445,0.0351,
Jaraguá,Group 1,51016.0,,,,
Jaraguá do Sul,Group 1,179474.0,0.0945,0.6419,0.09267,
Jaru,Group 1,52293.0,,,,
Jataí,Group 1,101891.0,,,,
Jaú,Group 1,151755.0,,,,
Jequié,Group 1,157526.0,0.135,0.5808,0.1084,
Ji-Paraná,Group 1,130259.0,0.05915,0.2517,0.03692,
Joaçaba,Group 1,30419.0,,,,
Joinville,Group 1,596371.0,0.05714,0.1994,0.02532,
João Monlevade,Group 1,80709.0,,,,
João Pessoa,Group 1,817105.0,0.1176,0.2569,0.06851,
Juazeiro,Group 1,218874.0,,,,
Juiz de Fora,Group 1,574562.0,0.1229,0.5752,0.05466,
Junco do Maranhão,Group 1,3466.0,,,,
Jundiaí,Group 1,423152.0,0.1134,0.2521,0.05673,
Lago da Pedra,Group 1,50769.0,0.2012,0.05457,0.1949,
Lagoa Santa,Group 1,65172.0,,,,
Lagoa da Prata,Group 1,52687.0,,,,
Lagoa de Itaenga,Group 1,21643.0,0.254,0.4641,0.06944,
Lagoa do Carro,Group 1,18252.0,0.1104,0.3447,0.05979,
Lajeado,Group 1,84854.0,0.1455,0.5504,0.05564,
Laranjal do Jari,Group 1,50914.0,0.1874,0.2012,0.1255,
Lauro de Freitas,Group 1,200424.0,0.115,0.1371,0.05391,
Lavras,Group 1,104811.0,,,,
Lençóis Paulista,Group 1,69116.0,0.2498,0.5554,0.1675,
Leopoldina,Group 1,53113.0,,,,
Limeira,Group 1,309175.0,0.08306,0.1541,0.04786,
Limoeiro,Group 1,56812.0,0.08606,0.2906,0.08049,
Limoeiro do Ajuru,Group 1,29224.0,0.1733,0.2127,0.2306,
Lindóia do Sul,Group 1,4609.0,,,,
Linhares,Group 1,175291.0,0.06445,0.2943,0.01855,
Lins,Group 1,78793.0,0.01662,0.1962,0.02778,
Londrina,Group 1,575430.0,0.01,0.04888,0.00088,
Louveira,Group 1,49374.0,0.01,0.01,0.07093,
Lucas do Rio Verde,Group 1,66189.0,0.1877,0.2319,0.1127,
Lucélia,Group 1,21964.0,0.2924,0.3339,0.08667,
Luziânia,Group 1,210382.0,0.01,0.2872,0.0,
Macapá,Group 1,508360.0,0.1129,0.151,0.0533,
Macaé,Group 1,259239.0,0.184,0.3888,0.1123,
Macaíba,Group 1,81600.0,0.02182,0.03048,0.04233,
Maceió,Group 1,1.029137e6,0.08119,0.1817,0.05959,
Magé,Group 1,247522.0,0.1208,0.2349,0.06596,
Mairiporã,Group 1,101181.0,0.08889,0.208,0.05838,
Manacapuru,Group 1,98351.0,0.122,0.3006,0.06644,
Manaquiri,Group 1,32426.0,0.2039,0.8747,0.1137,
Manaus,Group 1,2.204591e6,0.1328,0.177,0.06389,
Manicoré,Group 1,56309.0,0.1811,0.284,0.1569,
Marabá,Group 1,282142.0,0.2522,0.8019,0.1998,
Maracanaú,Group 1,230165.0,0.01,0.01,0.09547,
Maragogi,Group 1,33031.0,0.1336,0.2641,0.03333,
Maranguape,Group 1,130268.0,0.1193,0.2843,0.07096,
Marapanim,Group 1,28619.0,0.1329,0.27,0.1063,
Maratá,Group 1,2718.0,,,,
Marau,Group 1,44603.0,0.08926,0.2551,0.04128,
Maraã,Group 1,18406.0,,,,
Marechal Deodoro,Group 1,52420.0,0.126,0.3582,0.08042,
Marechal Floriano,Group 1,16861.0,,,,
Mariana,Group 1,61331.0,0.03439,0.2928,0.01708,
Maricá,Group 1,162819.0,0.1377,1.0,0.05914,
Maringá,Group 1,427903.0,0.01942,0.6734,0.0,
Marituba,Group 1,132836.0,0.08373,0.3317,0.04131,
Marília,Group 1,241271.0,0.0983,1.0,0.04233,
Matinha,Group 1,23604.0,,,,
Mauá,Group 1,477641.0,0.08399,0.2451,0.05472,
Maués,Group 1,64544.0,0.1065,0.2839,0.06021,
Mazagão,Group 1,21848.0,0.01,0.01,0.03922,
Mendes,Group 1,18800.0,,,,
Mesquita,Group 1,177864.0,0.07906,1.0,0.04162,
Miguel Alves,Group 1,34098.0,,,,
Miguel Pereira,Group 1,25793.0,0.04785,0.6597,0.0,
Milagres do Maranhão,Group 1,8549.0,,,,
Mineiros,Group 1,67469.0,,,,
Mineiros do Tietê,Group 1,13037.0,0.05822,0.02591,0.03968,
Miracatu,Group 1,19977.0,0.01,0.01,0.1056,
Mirassol d'Oeste,Group 1,28016.0,,,,
Mirinzal,Group 1,15112.0,0.1838,0.3617,0.1667,
Mococa,Group 1,69574.0,0.2062,0.1883,0.2556,
Mogi Guaçu,Group 1,153407.0,0.01888,0.4084,0.02297,
Mogi Mirim,Group 1,94121.0,,,,
Mogi das Cruzes,Group 1,450300.0,0.06801,0.0874,0.05735,
Mongaguá,Group 1,57269.0,0.02864,0.2327,0.01905,
Monte Alto,Group 1,51003.0,0.06203,0.992,0.01653,
Montes Claros,Group 1,413434.0,0.06982,0.1608,0.06656,
Monção,Group 1,33768.0,,,,
Morada Nova,Group 1,62509.0,,,,
Moreno,Group 1,63412.0,0.04854,0.1659,0.04404,
Morro Agudo,Group 1,33298.0,,,,
Morungaba,Group 1,13758.0,,,,
Mossoró,Group 1,300352.0,0.1335,0.1204,0.06078,
Muaná,Group 1,40752.0,,,,
Mulungu,Group 1,10931.0,,,,
Murici,Group 1,28518.0,0.08043,0.1576,0.05986,
Mãe do Rio,Group 1,30378.0,,,,
Natal,Group 1,892963.0,0.132,1.0,0.04212,
Navegantes,Group 1,82290.0,,,,
Nazaré da Mata,Group 1,32796.0,0.1634,0.3683,0.06296,
Nerópolis,Group 1,30148.0,,,,
Nilópolis,Group 1,164110.0,0.1341,0.4151,0.07153,
Niterói,Group 1,518720.0,0.01,0.01,0.05995,
Nova Andradina,Group 1,54918.0,,,,
Nova Friburgo,Group 1,192537.0,0.07288,0.7453,0.04866,
Nova Iguaçu,Group 1,829339.0,0.09197,0.3082,0.05053,
Nova Ipixuna,Group 1,16845.0,,,,
Nova Lima,Group 1,95838.0,,,,
Nova Londrina,Group 1,13345.0,,,,
Nova Mutum,Group 1,45832.0,0.2216,0.2392,0.04444,
Nova Odessa,Group 1,60776.0,0.01,0.163,0.06508,
Nova Olinda do Norte,Group 1,37752.0,,,,
Nova Timboteua,Group 1,15517.0,,,,
Novo Airão,Group 1,19649.0,0.3309,0.3223,0.3279,
Novo Aripuanã,Group 1,25900.0,0.2301,0.4625,0.1154,
Novo Hamburgo,Group 1,249215.0,0.07225,0.5724,0.02488,
Não-Me-Toque,Group 1,17800.0,,,,
Nísia Floresta,Group 1,27878.0,0.05477,0.3931,0.01852,
Ocara,Group 1,25960.0,0.1496,0.2932,0.06576,
Oeiras do Pará,Group 1,32837.0,0.03371,0.1945,0.04747,
Oiapoque,Group 1,27543.0,0.1135,0.1104,0.06678,
Olinda,Group 1,396407.0,0.09314,0.2017,0.06034,
Osasco,Group 1,705402.0,0.07925,0.3047,0.05006,
Ourinhos,Group 1,114677.0,0.02053,0.4573,0.00926,
Pacajus,Group 1,72925.0,0.179,0.1294,0.06083,
Pacaraima,Group 1,17575.0,,,,
Pacatuba,Group 1,84266.0,,,,
Pacoti,Group 1,12384.0,0.2413,0.3369,0.3333,
Palhoça,Group 1,173515.0,0.02132,0.3505,0.01667,
Palmas,Group 1,51496.0,0.01,0.01,0.088,
Palmeira dos Índios,Group 1,73950.0,,,,
Paracatu,Group 1,94090.0,0.01973,0.4782,0.0,
Paragominas,Group 1,114276.0,0.1551,1.0,0.09044,
Paranaguá,Group 1,156485.0,0.01554,0.4492,0.00298,
Paranavaí,Group 1,89258.0,0.07879,0.175,0.08227,
Parauapebas,Group 1,210356.0,0.09753,0.1851,0.07386,
