Country,Country Code,Avg Pop Factor,Estimated Population
Egypt,EGY,1.02,102413231
El Salvador,SLV,1.0,6482845
Equatorial Guinea,GNQ,1.04,1425866
Eritrea,ERI,1.02,3336933
Estonia,EST,0.997,1313895
Eswatini,SWZ,1.01,1151731
Ethiopia,ETH,1.03,115468813
Euro Area,EMU,1.0,344136923
Europe & Central Asia,ECS,1.0,925331384
Europe & Central Asia (IDA & IBRD Countries),TEC,1.0,462710937
Europe & Central Asia (Excluding High Income),ECA,1.0,420730492
European Union,EUU,1.0,448769335
Faroe Islands,FRO,1.0,48697
Fiji,FJI,1.0,891926
Finland,FIN,1.0,5554574
Fragile And Conflict Affected Situations,FCS,1.02,780821673
France,FRA,1.01,67687174
French Polynesia,PYF,1.01,282125
Gabon,GAB,1.03,2251673
Gambia,GMB,1.03,2423338
Georgia,GEO,0.995,3689506
Germany,DEU,1.0,82983285
Ghana,GHA,1.02,31239088
Gibraltar,GIB,1.0,34025
Greece,GRC,1.0,10723526
Greenland,GRL,1.0,56006
Grenada,GRD,1.0,112455
Guam,GUM,1.0,166970
Guatemala,GTM,1.02,18016276
Guinea,GIN,1.02,12992595
Guinea-Bissau,GNB,1.03,1969276
Guyana,GUY,1.0,782677
Haiti,HTI,1.02,11466044
Heavily Indebted Poor Countries (HIPC),HPC,1.03,825109182
High Income,HIC,1.01,1226001745
Honduras,HND,1.02,9997955
"Hong Kong SAR, China",HKG,1.01,7543866
Hungary,HUN,0.998,9728346
IBRD Only,IBD,1.01,4869262686
IDA & IBRD Total,IBT,1.01,6582658021
IDA Blend,IDB,1.02,582206571
IDA Only,IDX,1.02,1135244129
IDA Total,IDA,1.02,1717450123
Iceland,ISL,1.01,361714
India,IND,1.01,1390254545
Indonesia,IDN,1.01,274757901
Iran,IRN,1.01,83827713
Iraq,IRQ,1.03,40593281
Ireland,IRL,1.01,5002283
Isle Of Man,IMN,1.0,84910
Israel,ISR,1.02,9230241
Italy,ITA,1.0,60821283
Jamaica,JAM,1.01,2967754
Japan,JPN,1.0,126494270
Jordan,JOR,1.04,10718956
Kazakhstan,KAZ,1.01,18693685
Kenya,KEN,1.03,54177517
Kiribati,KIR,1.02,119997
Kosovo,XKX,1.0,1862192
Kuwait,KWT,1.04,4474225
Kyrgyzstan,KGZ,1.01,6504691
Laos,LAO,1.02,7286667
Late-Demographic Dividend,LTE,1.01,2317366275
Latin America & Caribbean,LCN,1.01,656345701
Latin America & Caribbean (Excluding High Income),LAC,1.01,623479533
Latin America & The Caribbean (IDA & IBRD Countries),TLA,1.01,640632554
Latvia,LVA,0.989,1883606
Least Developed Countries: UN Classification,LDC,1.02,1058997540
Lebanon,LBN,1.03,7303125
Lesotho,LSO,1.0,2116672
Liberia,LBR,1.03,5108890
Libya,LBY,1.01,6844086
Liechtenstein,LIE,1.01,38475
Lithuania,LTU,0.988,2733144
Low & Middle Income,LMY,1.01,6554246988
Low Income,LIC,1.03,743626769
Lower Middle Income,LMC,1.02,3118961109
Luxembourg,LUX,1.02,630779
"Macao SAR, China",MAC,1.02,659587
Madagascar,MDG,1.03,27794253
Malawi,MWI,1.03,19152062
Malaysia,MYS,1.02,32622577
Maldives,MDV,1.03,552037
Mali,MLI,1.03,20292317
Malta,MLT,1.01,496458
Marshall Islands,MHL,1.01,59332
Mauritania,MRT,1.03,4662786
Mauritius,MUS,1.0,1274331
Mexico,MEX,1.01,129654253
"Micronesia, Fed. Sts.",FSM,1.0,113238
Middle East & North Africa,MEA,1.02,466881450
Middle East & North Africa (IDA & IBRD Countries),TMN,1.02,391762860
Middle East & North Africa (Excluding High Income),MNA,1.02,396559694
Middle Income,MIC,1.01,5813225123
Moldova,MDA,0.996,2682880
Monaco,MCO,1.01,39486
Mongolia,MNG,1.02,3270171
Montenegro,MNE,1.0,624177
Morocco,MAR,1.01,36937822
Mozambique,MOZ,1.03,31215717
Myanmar,MMR,1.01,54546775
Namibia,NAM,1.02,2534225
Nauru,NRU,1.01,12998
Nepal,NPL,1.01,28590852
Netherlands,NLD,1.0,17383205
New Caledonia,NCL,1.02,293258
New Zealand,NZL,1.01,4964681
Nicaragua,NIC,1.01,6642666
Niger,NER,1.04,24213446
Nigeria,NGA,1.03,206401478
North America,NAC,1.01,370496422
North Korea,PRK,1.01,25858909
North Macedonia,MKD,1.0,2088377
Northern Mariana Islands,MNP,0.999,56819
Norway,NOR,1.01,5411934
OECD Members,OED,1.01,1320884476
Oman,OMN,1.04,5252599
Other Small States,OSS,1.02,32105535
Pacific Island Small States,PSS,1.01,2519546
Pakistan,PAK,1.02,221843678
Palau,PLW,0.996,17779
Panama,PAN,1.02,4328485
Papua New Guinea,PNG,1.02,8983928
Paraguay,PRY,1.01,7165956
Peru,PER,1.01,32670922
Philippines,PHL,1.02,110425890
Poland,POL,1.0,37943338
Portugal,PRT,1.0,10283147
Post-Demographic Dividend,PST,1.0,1120413300
Pre-Demographic Dividend,PRE,1.03,973385739
Puerto Rico,PRI,0.99,3133224
Qatar,QAT,1.09,3303190
Romania,ROU,0.992,19160783
Russia,RUS,0.999,144244558
Rwanda,RWA,1.02,12916359
Samoa,WSM,1.01,198699
San Marino,SMR,1.01,34572
Sao Tome And Principe,STP,1.02,220479
Saudi Arabia,SAU,1.03,35582072
Senegal,SEN,1.03,16725284
Serbia,SRB,0.996,6925690
Seychelles,SYC,1.01,98675
Sierra Leone,SLE,1.03,8098006
Singapore,SGP,1.02,5853430
Sint Maarten (Dutch Part),SXM,1.02,41970
Slovakia,SVK,1.0,5453260
Slovenia,SVN,1.0,2083556
Small States,SST,1.02,42055178
Solomon Islands,SLB,1.03,686997
Somalia,SOM,1.03,15910843
South Africa,ZAF,1.01,59411676
South Asia,SAS,1.01,1868765438
South Asia (IDA & IBRD),TSA,1.01,1868765438
South Korea,KOR,1.01,52144578
South Sudan,SSD,1.03,11695174
Spain,ESP,1.01,47545141
Sri Lanka,LKA,1.01,22017708
St. Kitts And Nevis,KNA,1.01,53464
St. Lucia,LCA,1.01,184923
St. Martin (French Part),MAF,1.01,38326
St. Vincent And The Grenadines,VCT,1.0,110483
Sub-Saharan Africa,SSF,1.03,1137739866
Sub-Saharan Africa (IDA & IBRD Countries),TSS,1.03,1137739866
Sub-Saharan Africa (Excluding High Income),SSA,1.03,1137641843
Sudan,SDN,1.02,43832398
Suriname,SUR,1.01,589022
Sweden,SWE,1.01,10331337
Switzerland,CHE,1.01,8675300
Syrian Arab Republic,SYR,1.0,16962246
Tajikistan,TJK,1.02,9494572
Tanzania,TZA,1.03,59664818
Thailand,THA,1.01,70187992
Timor-Leste,TLS,1.02,1319763
Togo,TGO,1.03,8313208
Tonga,TON,1.0,103794
Trinidad And Tobago,TTO,1.01,1404205
Tunisia,TUN,1.01,11792303
Turkey,TUR,1.01,84767099
Turkmenistan,TKM,1.01,6021691
Turks And Caicos Islands,TCA,1.04,40373
Tuvalu,TUV,1.01,11770
Uganda,UGA,1.03,45624665
Ukraine,UKR,0.995,44143362
United Arab Emirates,ARE,1.06,10910461
United Kingdom,GBR,1.01,67359087
United States,USA,1.01,332049547
Upper Middle Income,UMC,1.01,2696153032
Uruguay,URY,1.0,3464003
Uzbekistan,UZB,1.02,34035959
Vanuatu,VUT,1.03,307990
Venezuela,VEN,1.01,29442841
Vietnam,VNM,1.01,97455744
Virgin Islands (U.S.),VIR,0.999,106794
West Bank And Gaza,PSE,1.03,4801744
World,WLD,1.01,7779283487
"Yemen, Rep.",YEM,1.03,30102884
Zambia,ZMB,1.03,18364219
Zimbabwe,ZWE,1.01,14755201
