income_group,date,estimated_population,total_tests,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
High income,2020-02-01,1152317758,841,93,21,0,93,21,72,12.333333333333334,5.166666666666667,,,,-0.6666666666666665,0.5555555555555556,,,,-0.3125,,,0.0,0.0,0.0807069051521117,0.0,0.01822413987305748,0.01822413987305748,0.06248276527905422,9.043010752688172,0.7298334111067305
High income,2020-02-02,1152317758,998,101,25,0,101,25,76,11.833333333333334,5.666666666666667,,,,-0.7222222222222223,0.638888888888889,,,,,,,0.0,0.0,0.08764943462756217,0.0,0.021695404610782714,0.021695404610782714,0.06595403001677945,9.881188118811881,0.8660805520624459
High income,2020-02-03,1152317758,656,106,33,0,106,33,73,9.0,6.5,,,,-0.44444444444444436,0.47222222222222215,,,,,,,0.0,0.0,0.09198851554971871,0.0,0.028637934086233184,0.028637934086233184,0.06335058146348553,6.188679245283019,0.5692874169869384
High income,2020-02-04,1152317758,1387,117,40,0,117,40,77,7.666666666666667,6.666666666666667,,,,-0.5,0.361111111111111,,,,,,,0.0,0.0,0.1015344935784631,0.0,0.03471264737725234,0.03471264737725234,0.06682184620121076,11.854700854700855,1.203661047806225
High income,2020-02-05,1152317758,1494,124,46,0,124,46,78,8.0,7.166666666666667,,,,-0.44444444444444464,0.361111111111111,,,,,,,0.0,0.0,0.10760920686948226,0.0,0.03991954448384019,0.03991954448384019,0.06768966238564207,12.048387096774194,1.296517379540375
High income,2020-02-06,1152317758,1833,129,55,0,129,55,74,9.0,7.333333333333333,,,,0.05555555555555566,0.1944444444444445,,,,,,,0.0,0.0,0.1119482877916388,0.0,0.04772989014372197,0.04772989014372197,0.06421839764791683,14.209302325581396,1.5907070660625886
High income,2020-02-07,1152317758,2154,139,61,0,139,61,78,9.333333333333334,7.333333333333333,,,,0.24999999999999986,0.19444444444444434,,,,,,,0.0,0.0,0.12062644963595189,0.0,0.05293678725030982,0.05293678725030982,0.06768966238564207,15.496402877697841,1.8692760612650388
High income,2020-02-08,1152317758,2730,149,68,0,149,68,81,9.166666666666666,7.833333333333333,,,,0.19444444444444434,0.13888888888888884,,,,0.09722222222222218,,,0.0,0.0,0.12930461148026498,0.0,0.05901150054132898,0.05901150054132898,0.07029311093893599,18.322147651006713,2.3691381834974723
High income,2020-02-09,1152317758,3622,160,77,0,160,77,83,9.333333333333334,7.666666666666667,,,,0.2777777777777777,0.0,,,,0.08333333333333337,,,0.0,0.0,0.13885058950900936,0.0,0.06682184620121076,0.06682184620121076,0.07202874330779861,22.6375,3.1432302200102
High income,2020-02-10,1152317758,5364,173,84,0,173,84,89,9.166666666666666,7.833333333333333,,,,0.44444444444444436,0.08333333333333333,,,,0.13888888888888892,0.13020833333333334,,0.0,0.0,0.1501321999066164,0.0,0.07289655949222992,0.07289655949222992,0.07723564041438646,31.00578034682081,4.654966013289539
High income,2020-02-11,1152317758,5597,179,93,0,179,93,86,9.166666666666666,8.0,,,,0.5833333333333334,0.02777777777777783,,,,0.15277777777777782,0.30381944444444453,,0.0,0.0,0.15533909701320422,0.0,0.0807069051521117,0.0807069051521117,0.07463219186109253,31.268156424581004,4.857167184262034
High income,2020-02-12,1152317758,8460,185,101,0,185,101,84,10.666666666666666,7.333333333333333,,,,0.75,0.08333333333333319,,,,0.6180555555555556,0.7361111111111112,0.3402777777777778,0.0,0.0,0.1605459941197921,0.0,0.08764943462756217,0.08764943462756217,0.07289655949222992,45.729729729729726,7.34172492028887
High income,2020-02-13,1152317758,10000,194,108,1,194,109,85,12.0,7.833333333333333,,,,0.888888888888889,0.16666666666666682,,,,1.2986111111111114,1.2048611111111112,0.32942708333333326,0.009174311926605505,0.005154639175257732,0.16835633977967387,0.0008678161844313085,0.09372414791858133,0.09459196410301264,0.07376437567666123,51.54639175257732,8.678161844313086
High income,2020-02-14,1152317758,11478,204,116,1,204,117,87,12.666666666666666,8.0,,,,2.9166666666666665,0.22222222222222232,,,,3.0833333333333335,1.4913194444444444,0.14105902777777768,0.008547008547008548,0.004901960784313725,0.17703450162398696,0.0008678161844313085,0.10066667739403179,0.1015344935784631,0.07550000804552384,56.26470588235294,9.960794164902559
High income,2020-02-15,1152317758,11268,224,121,2,224,123,101,13.833333333333334,8.166666666666666,,,,5.777777777777779,0.6111111111111112,,,,4.972222222222222,1.6215277777777775,0.032552083333333315,0.016260162601626018,0.008928571428571428,0.19439082531261312,0.001735632368862617,0.10500575831618834,0.10674139068505095,0.08764943462756217,50.30357142857143,9.778552766171986
High income,2020-02-16,1152317758,11814,245,131,2,245,133,112,14.5,8.833333333333334,0.16666666666666666,9.0,5.5,13.083333333333334,0.9722222222222222,,,,6.583333333333333,1.3003472222222219,-0.1328125,0.015037593984962405,0.00816326530612245,0.2126149651856706,0.001735632368862617,0.11368392016050143,0.11541955252936403,0.09719541265630656,48.220408163265304,10.252380402871479
High income,2020-02-17,1152317758,14403,255,141,2,255,143,112,26.666666666666668,9.333333333333334,0.3333333333333333,9.666666666666668,17.0,20.77777777777778,2.0,,,,7.784722222222221,1.3350694444444444,-0.07118055555555541,0.013986013986013986,0.00784313725490196,0.2212931270299837,0.001735632368862617,0.1223620820048145,0.12409771437367713,0.09719541265630656,56.48235294117647,12.499156504364137
High income,2020-02-18,1152317758,16285,268,150,2,268,152,116,45.333333333333336,11.0,0.5,11.5,33.833333333333336,29.25,3.5833333333333335,,,,8.284722222222221,0.9600694444444444,0.14670138888888884,0.013157894736842105,0.007462686567164179,0.2325747374275907,0.001735632368862617,0.13017242766469628,0.1319080600335589,0.10066667739403179,60.764925373134325,14.13238656346386
High income,2020-02-19,1152317758,17864,281,161,2,281,163,118,90.5,13.666666666666666,0.6666666666666666,14.333333333333332,76.16666666666667,36.916666666666664,5.722222222222221,0.5277777777777778,6.249999999999999,30.666666666666664,10.3125,1.3368055555555558,0.029947916666666574,0.012269938650306749,0.0071174377224199285,0.24385634782519772,0.001735632368862617,0.13971840569344068,0.1414540380623033,0.10240230976289441,63.5729537366548,15.502668318680897
High income,2020-02-20,1152317758,20051,364,172,3,364,175,189,137.33333333333334,20.0,1.5,21.5,115.83333333333334,46.22222222222222,8.277777777777777,0.638888888888889,8.916666666666666,37.30555555555556,10.42361111111111,1.8871527777777772,0.25911458333333354,0.017142857142857144,0.008241758241758242,0.31588509113299634,0.002603448553293926,0.14926438372218506,0.151867832275479,0.16401725885751733,55.08516483516483,17.400582314032167
High income,2020-02-21,1152317758,23165,496,187,5,496,192,304,189.33333333333334,29.666666666666668,2.5,32.16666666666667,157.16666666666669,62.02777777777778,11.472222222222221,0.7777777777777778,12.25,49.77777777777778,13.131944444444445,1.4548611111111107,-0.2886284722222223,0.026041666666666668,0.010080645161290322,0.43043682747792905,0.0043390809221565425,0.1622816264886547,0.16662070741081125,0.2638161200671178,46.703629032258064,20.10296191235126
High income,2020-02-22,1152317758,28439,788,213,6,788,219,569,236.0,43.166666666666664,3.3333333333333335,46.5,189.5,70.94444444444444,16.083333333333332,0.8333333333333334,16.916666666666664,54.02777777777778,15.83333333333333,1.9965277777777786,-0.6853298611111105,0.0273972602739726,0.007614213197969543,0.6838391533318712,0.005206897106587852,0.1848448472838687,0.19005174439045658,0.4937874089414146,36.09010152284264,24.679824469041986
High income,2020-02-23,1152317758,31944,1079,261,11,1079,272,807,304.0,59.0,4.166666666666667,63.166666666666664,240.83333333333334,89.44444444444444,20.777777777777775,0.9166666666666666,21.694444444444443,67.75,16.131944444444443,0.18229166666666652,-0.7625868055555556,0.04044117647058824,0.010194624652455977,0.9363736630013819,0.009545978028744394,0.22650002413657153,0.23604600216531593,0.700327660836066,29.60518999073216,27.721520195473722
High income,2020-02-24,1152317758,42520,1404,328,17,1404,345,1059,417.5,79.83333333333333,5.166666666666667,85.0,332.5,109.55555555555554,27.0,0.8055555555555555,27.805555555555557,81.74999999999999,18.409722222222225,-0.8541666666666647,-1.1432291666666672,0.04927536231884058,0.012108262108262107,1.2184139229415571,0.014752875135332246,0.2846437084934692,0.29939658362880145,0.9190173393127558,30.284900284900285,36.89954416201924
High income,2020-02-25,1152317758,55985,1697,420,22,1697,442,1255,516.1666666666666,110.16666666666667,5.666666666666667,115.83333333333334,400.33333333333326,126.55555555555556,33.69444444444445,1.5,35.19444444444445,91.36111111111111,13.86111111111111,-1.5954861111111116,-0.0008680555555556912,0.049773755656108594,0.01296405421331762,1.4726840649799307,0.019091956057488788,0.3644827974611496,0.3835747535186384,1.0891093114612922,32.990571596935766,48.58468908538681
High income,2020-02-26,1152317758,67749,2188,526,28,2188,554,1634,674.0,144.66666666666666,7.0,151.66666666666666,522.3333333333334,144.58333333333334,41.55555555555555,2.0555555555555554,43.61111111111111,100.97222222222223,12.416666666666671,-2.57638888888889,,0.05054151624548736,0.012797074954296161,1.8987818115357031,0.02429885316407664,0.4564713130108683,0.48077016617494495,1.4180116453607583,30.963893967093234,58.793678679036724
High income,2020-02-27,1152317758,84216,3001,666,36,3001,702,2299,846.6666666666666,191.66666666666666,7.333333333333333,199.0,647.6666666666666,144.88888888888889,50.055555555555564,2.8055555555555554,52.86111111111112,92.02777777777777,9.749999999999996,0.17881944444444375,,0.05128205128205128,0.011996001332889037,2.604316369478357,0.03124138263952711,0.5779655788312515,0.6092069614707786,1.9951094080075784,28.06264578473842,73.08400778806708
High income,2020-02-28,1152317758,104478,3885,874,40,3885,914,2971,995.3333333333334,245.33333333333334,12.333333333333334,257.6666666666667,737.6666666666667,159.22222222222223,57.166666666666664,3.888888888888889,61.05555555555555,98.16666666666669,8.104166666666664,0.4270833333333339,,0.0437636761487965,0.010296010296010296,3.371465876515634,0.03471264737725234,0.7584713451929637,0.793183992570216,2.578281883945418,26.89266409266409,90.66769931701425
High income,2020-02-29,1152317758,123759,5123,1129,53,5123,1182,3941,1171.5,308.3333333333333,16.5,324.8333333333333,846.6666666666667,165.55555555555554,64.94444444444446,5.111111111111111,70.05555555555557,95.49999999999997,14.576388888888886,3.437500000000001,1.409288194444444,0.04483925549915398,0.010345500683193442,4.445822312841594,0.045994257774859354,0.9797644722229474,1.0257587299978068,3.4200635828437873,24.157524887761078,107.40006316903431
High income,2020-03-01,1152317758,142136,6484,1478,61,6484,1539,4945,1286.8333333333333,380.1666666666667,22.0,402.1666666666667,884.6666666666665,177.0,72.66666666666667,6.194444444444444,78.86111111111111,98.13888888888889,14.125000000000007,8.385416666666666,4.714843749999998,0.0396361273554256,0.009407772979642195,5.626920139852605,0.05293678725030982,1.282632320589474,1.335569107839784,4.2913510320128205,21.921036397285626,123.34792119032848
High income,2020-03-02,1152317758,159952,7669,1892,96,7669,1988,5681,1471.5,453.1666666666667,29.0,482.1666666666667,989.3333333333333,203.19444444444443,78.97222222222221,8.88888888888889,87.8611111111111,115.33333333333333,23.5,5.81597222222222,4.581163194444445,0.0482897384305835,0.012517929325857349,6.655282318403706,0.08331035370540563,1.6419082209440359,1.7252185746494415,4.930063743754264,20.85695657843265,138.80893433215667
High income,2020-03-03,1152317758,185558,9217,2376,127,9217,2503,6714,1667.3333333333333,534.3333333333334,37.666666666666664,572.0,1095.3333333333333,215.72222222222226,87.75,10.638888888888888,98.38888888888889,117.33333333333337,41.64583333333333,19.28645833333333,2.7482638888888906,0.05073911306432281,0.013778886839535641,7.998661771903371,0.1102126554227762,2.061931254208789,2.1721439096315653,5.826517862271806,20.132147119453183,161.03023555070476
High income,2020-03-04,1152317758,210679,10722,2947,168,10722,3115,7607,1908.6666666666667,627.6666666666666,44.5,672.1666666666666,1236.5,259.55555555555554,94.83333333333333,14.222222222222221,109.05555555555554,150.5,37.840277777777764,21.76215277777778,6.234375000000002,0.05393258426966292,0.01566871852266368,9.30472512947249,0.14579311898445985,2.5574542955190664,2.7032474145035263,6.601477714968964,19.649225890692033,182.83064591980366
High income,2020-03-05,1152317758,233746,12714,3593,214,12714,3807,8907,2214.5,719.1666666666666,65.66666666666667,784.8333333333333,1429.6666666666667,343.5833333333333,103.80555555555554,18.86111111111111,122.66666666666666,220.91666666666666,91.27083333333331,19.37847222222223,-2.7096354166666625,0.05621224060940373,0.01683183891772849,11.033414968859658,0.18571266346830004,3.1180635506616916,3.3037762141299916,7.729638754729666,18.38492999842693,202.84856184608066
High income,2020-03-06,1152317758,259860,15127,4335,279,15127,4614,10513,2465.8333333333335,834.8333333333334,80.33333333333333,915.1666666666667,1550.6666666666667,354.5555555555555,121.33333333333331,21.527777777777782,142.8611111111111,211.6944444444444,110.54861111111111,30.75347222222223,-1.5642361111111072,0.06046814044213264,0.01844384213657698,13.127455421892405,0.2421207154563351,3.7619831595097226,4.004103874966058,9.123351546926347,17.178554901831163,225.51071368631983
High income,2020-03-07,1152317758,294824,17936,5244,328,17936,5572,12364,2844.1666666666665,949.1666666666666,107.33333333333333,1056.5,1787.6666666666665,580.8055555555555,132.11111111111111,29.88888888888889,162.0,418.80555555555554,119.15972222222224,8.447916666666679,-2.41102430555556,0.05886575735821967,0.018287243532560213,15.56515108395995,0.2846437084934692,4.550828071157782,4.835471779651251,10.7296793043087,16.43755575379126,255.8530387587761
High income,2020-03-08,1152317758,445129,20956,6207,490,20956,6697,14259,3533.0,1076.0,142.16666666666666,1218.1666666666667,2314.833333333333,701.75,169.72222222222223,30.222222222222218,199.94444444444446,501.80555555555554,160.85416666666669,15.50520833333335,-5.897135416666666,0.07316708974167538,0.023382324871158617,18.185955960942504,0.4252299303713412,5.3865350567651324,5.811764987136473,12.374190973806028,21.24112426035503,386.29015035972395
High income,2020-03-09,1152317758,347715,24012,7385,609,24012,7994,16018,3794.6666666666665,1262.3333333333333,166.83333333333334,1429.1666666666665,2365.5,820.2222222222223,206.75,38.72222222222223,245.47222222222223,574.75,125.06250000000003,9.73437499999999,6.715711805555543,0.07618213660245184,0.025362318840579712,20.838002220564583,0.5285000563186669,6.408822522025214,6.93732257834388,13.9006796422207,14.48088455772114,301.75270456953245
High income,2020-03-10,1152317758,382331,27787,8642,812,27787,9454,18333,5393.5,1420.3333333333333,223.83333333333334,1644.1666666666665,3749.3333333333335,997.9722222222223,254.16666666666666,43.361111111111114,297.52777777777777,700.4444444444446,172.5694444444445,7.164930555555564,0.18185763888887685,0.08588957055214724,0.029222298196998595,24.11400831679277,0.7046667417582225,7.499667465855369,8.204334207613591,15.90967410917918,13.759347896498362,331.79302960980664
High income,2020-03-11,1152317758,406910,33912,10049,1067,33912,11116,22796,6425.0,1737.5,247.0,1984.5,4440.5,1081.0555555555557,313.1944444444444,48.416666666666664,361.6111111111111,719.4444444444446,158.0972222222222,35.31076388888885,8.35720486111111,0.09598776538323138,0.031463788629393724,29.429382446434538,0.9259598687882062,8.72068483735022,9.646644706138426,19.78273774029611,11.99899740504836,353.1230836069438
High income,2020-03-12,1152317758,225414,37895,11909,1280,37895,13189,24706,7387.166666666667,2075.3333333333335,312.6666666666667,2388.0,4999.166666666667,1392.027777777778,369.0,57.77777777777777,426.77777777777777,965.2500000000002,189.51388888888894,16.232638888888857,4.585069444444432,0.09705057244673591,0.03377754321150547,32.88589430902444,1.1108047160720749,10.334822940392455,11.445627656464529,21.44026665255991,5.948383691779918,195.617917397399
High income,2020-03-13,1152317758,492243,50297,13766,1671,50297,15437,34860,8832.0,2474.1666666666665,367.5,2841.6666666666665,5990.333333333334,1452.611111111111,451.4444444444445,63.083333333333336,514.5277777777778,938.0833333333333,266.30555555555543,43.163194444444436,-10.040364583333306,0.1082464209367105,0.03322265741495516,43.648550628341525,1.4501208441847167,11.946357594881395,13.39647843906611,30.252072189275417,9.786726842555222,427.1764420730206
High income,2020-03-14,1152317758,309121,59506,16632,1972,59506,18604,40902,10019.333333333334,2955.1666666666665,432.6666666666667,3387.833333333333,6631.500000000001,1756.027777777778,513.3611111111112,86.6111111111111,599.9722222222223,1156.0555555555557,237.49999999999994,25.505208333333293,-1.8932291666666679,0.10599870995484842,0.03313951534299062,51.64026987076945,1.7113335156985405,14.433518779461524,16.144852295160064,35.49541757560938,5.194787080294424,268.26020674759053
High income,2020-03-15,1152317758,674438,68335,19837,2485,68335,22322,46013,12146.833333333334,3476.3333333333335,513.5,3989.8333333333335,8157.0,2146.2777777777774,601.0555555555555,103.94444444444446,705.0,1441.2777777777774,330.74999999999994,-4.850694444444372,-18.527777777777764,0.11132515007615805,0.03636496670812907,59.30221896311347,2.156523218311802,17.21486965056387,19.37139286887567,39.9308260942378,9.869583668691007,585.2882117954829
High income,2020-03-16,1152317758,672027,80779,23487,3017,80779,26504,54275,14109.166666666666,4129.0,602.3333333333334,4731.333333333333,9377.833333333332,2342.027777777778,715.638888888889,120.69444444444446,836.3333333333335,1505.6944444444443,291.5347222222221,8.659722222222186,-7.83506944444442,0.11383187443404769,0.03734881590512386,70.10132356217667,2.618201428429258,20.382398723738145,23.0006001521674,47.10072341000927,8.319328043179539,583.195906974819
High income,2020-03-17,1152317758,489968,94028,27780,3663,94028,31443,62585,16961.166666666668,4817.666666666667,766.6666666666666,5584.333333333334,11376.833333333334,2775.611111111111,832.8055555555557,139.83333333333334,972.638888888889,1802.9722222222217,246.90277777777794,-30.947916666666615,,0.11649651750787139,0.03895648104819841,81.59902018970708,3.1788106835718835,24.107933603501753,27.286744287073635,54.312275902633445,5.210873356872421,425.2021602534394
High income,2020-03-18,1152317758,572021,110776,32767,4361,110776,37128,73648,20264.833333333332,5681.666666666667,936.3333333333334,6618.0,13646.833333333332,2922.1666666666665,972.5555555555553,164.36111111111111,1136.9166666666665,1785.25,272.1388888888887,-5.835069444444386,-14.066840277777732,0.11745852187028658,0.039367733082978265,96.13320564656264,3.7845463803049366,28.435732915260687,32.220279295565625,63.91292635099701,5.163762908933343,496.4090816345816
High income,2020-03-19,1152317758,947189,134952,38540,5285,134952,43825,91127,22884.166666666668,6768.0,1091.6666666666667,7859.666666666667,15024.5,3133.888888888889,1104.6666666666667,194.47222222222226,1299.138888888889,1834.7500000000002,206.95833333333348,-23.6059027777778,,0.12059326868225899,0.03916207244057146,117.11352972137395,4.586408534719466,33.445635747982635,38.032044282702095,79.08148543867186,7.018710356274823,821.9859439153067
High income,2020-03-20,1152317758,1068013,161273,45538,6572,161273,52110,109163,26673.0,7952.0,1271.6666666666667,9223.666666666666,17449.333333333336,3430.5833333333326,1259.3055555555554,206.52777777777774,1465.8333333333333,1964.7499999999993,268.19444444444457,-47.607638888888744,,0.1261178276722318,0.04075077663341043,139.95531951179044,5.70328796408256,39.51861340663293,45.22190137071549,94.73341814107494,6.622391844884141,926.8389665830351
High income,2020-03-21,1152317758,1185578,189924,53927,8103,189924,62030,127894,29679.833333333332,9311.666666666666,1499.6666666666667,10811.333333333332,18868.5,3603.444444444445,1419.3333333333333,225.27777777777774,1644.611111111111,1958.8333333333337,152.47916666666674,-43.42708333333343,,0.13063034015798808,0.042664434194730524,164.81912101193186,7.031914542446893,46.79872337782718,53.83063792027407,110.98848309165778,6.242381162991513,1028.863776305702
High income,2020-03-22,1152317758,2094544,218084,64095,9567,218084,73662,144422,32912.5,10757.0,1769.1666666666667,12526.166666666666,20386.333333333336,3994.944444444445,1570.1666666666667,252.30555555555554,1822.4722222222222,2172.4722222222226,81.70833333333371,-115.67534722222229,,0.1298770057831718,0.04386841767392381,189.2568247655175,8.30239743645433,55.622678341124725,63.92507577757905,125.33174898793844,9.604299260835274,1817.6791822034909
High income,2020-03-23,1152317758,1453145,254066,75492,11293,254066,86785,167281,37544.666666666664,12373.5,2005.8333333333333,14379.333333333334,23165.33333333333,3743.805555555556,1757.9166666666667,262.55555555555554,2020.4722222222222,1723.333333333334,33.24999999999977,-94.67013888888894,,0.13012617387797432,0.04444908016027332,220.48258671372486,9.800248170782767,65.51317939508834,75.31342756587111,145.16915914785372,5.7195571229523035,1261.062749325434
High income,2020-03-24,1152317758,1657962,288855,88637,13359,288855,101996,186859,41885.5,14197.666666666666,2288.0,16485.666666666664,25399.833333333336,3757.4166666666674,1903.4722222222224,273.27777777777777,2176.75,1580.6666666666674,-194.50694444444457,-109.39756944444463,,0.13097572453821718,0.04624811756763774,250.67304395390565,11.593156407817851,76.9206231394379,88.51377954725575,162.1592644066499,5.7397725502414705,1438.8062567721013
High income,2020-03-25,1152317758,1752834,332427,103082,15900,332427,118982,213445,46853.833333333336,16189.0,2605.5,18794.5,28059.333333333336,3736.444444444444,2039.777777777778,280.77777777777777,2320.5555555555557,1415.8888888888882,-226.20138888888903,-88.26736111111103,,0.13363365887277068,0.04783004990569358,288.4855307419466,13.798277332457806,89.45622792354816,103.25450525600596,185.23102548594065,5.272838848829969,1521.1377138214684
High income,2020-03-26,1152317758,1981561,386541,119779,18607,386541,138386,248155,49135.833333333336,18499.5,2847.0,21346.5,27789.333333333336,3216.9166666666665,2142.1666666666665,307.22222222222223,2449.3888888888887,767.5277777777778,-355.8819444444448,,,0.13445724278467475,0.04813719631293964,335.44653574626244,16.14745574371336,103.9461547549977,120.09361049871107,215.35292524755138,5.126392801798516,1719.6307062378883
High income,2020-03-27,1152317758,2179279,441237,139113,21831,441237,160944,280293,52224.333333333336,20732.5,3139.3333333333335,23871.833333333332,28352.500000000004,2839.0,2189.472222222222,329.63888888888886,2519.111111111111,319.88888888888914,-319.81944444444434,,,0.13564345362362062,0.04947681178142359,382.9126097699173,18.945295122319898,120.72451286479263,139.66980798711253,243.24280178280478,4.9390214329260695,1891.2135865912778
High income,2020-03-28,1152317758,2399191,499207,161229,25200,499207,186429,312778,55331.166666666664,22995.666666666668,3453.8333333333335,26449.5,28881.666666666664,2333.8888888888882,2212.75,335.25,2548.0,-214.11111111111177,-283.1111111111113,,,0.13517210305263666,0.05048006137734447,433.2199139814003,21.868967847668976,139.91713559967545,161.78610344734443,271.43381053405585,4.80600432285605,2082.0567793419355
High income,2020-03-29,1152317758,3488739,548881,186489,28375,548881,214864,334017,56846.166666666664,25226.5,3849.1666666666665,29075.666666666668,27770.499999999996,2457.1666666666665,2176.0,352.4444444444445,2528.4444444444443,-71.27777777777783,-348.88194444444434,,,0.13206027999106412,0.05169608712999721,476.3278151268411,24.62428423323838,161.8381724184103,186.4624566516487,289.8653584751924,6.35609357948262,3027.584167456699
High income,2020-03-30,1152317758,2800213,602201,213032,32195,602201,245227,356974,58919.5,27334.5,4265.833333333333,31600.333333333332,27319.166666666668,2084.4722222222213,2200.25,321.8611111111111,2522.1111111111113,-437.63888888889005,-309.77777777777743,,,0.13128652228343535,0.05346221610392543,522.5997740807185,27.93934205776598,184.87261740177053,212.8119594595365,309.78781462118195,4.649964048548575,2430.070161254948
High income,2020-03-31,1152317758,3240489,664414,241056,36623,664414,277679,386735,60857.166666666664,29465.5,4617.0,34082.5,26774.666666666664,1443.4722222222226,2191.4999999999995,290.8611111111111,2482.3611111111104,-1038.8888888888878,-433.86805555555566,,,0.13188969997731192,0.055120753024469685,576.5892223627435,31.782032122427815,209.19229815427352,240.97433027670132,335.6148920860421,4.877213604770519,2812.148799671627
High income,2020-04-01,1152317758,3285207,727618,271138,41702,727618,312840,414778,63878.833333333336,31555.5,4961.666666666667,36517.166666666664,27361.66666666667,1094.7777777777785,2100.5277777777774,287.0555555555556,2387.583333333333,-1292.8055555555545,-430.1111111111107,,,0.1333013681114947,0.05731304063395903,631.4386764835399,36.18967052315443,235.29794461433613,271.4876151374906,359.9510613460493,4.51501612109651,2850.955803807026
High income,2020-04-02,1152317758,3567384,794754,303120,47426,794754,350546,444208,64731.166666666664,33934.0,5070.5,39004.5,25726.666666666664,721.694444444444,2044.3055555555559,225.9722222222223,2270.2777777777783,-1548.5833333333344,-365.09722222222234,,,0.13529180193184348,0.059673811015735684,689.7003838415202,41.15705036283924,263.05244182481823,304.2094921876575,385.4908916538627,4.488664416913913,3095.833571281299
High income,2020-04-03,1152317758,3912135,864350,338022,52902,864350,390924,473426,63992.0,36144.666666666664,5199.0,41343.666666666664,22648.333333333336,364.02777777777857,1925.3888888888894,204.38888888888883,2129.7777777777783,-1765.7499999999998,-299.7569444444446,,,0.1353255364214016,0.06120437322843755,750.0969190132016,45.909211788785086,293.34096229383977,339.2501740826249,410.8467449305767,4.5261005379765145,3395.0140686801774
High income,2020-04-04,1152317758,3820961,932154,375822,58145,932154,433967,498187,63414.833333333336,37829.666666666664,5571.5,43401.166666666664,20013.66666666667,-16.916666666666668,1787.3333333333333,181.80555555555551,1969.1388888888887,-1986.0555555555554,-14.666666666666345,,,0.13398484216541812,0.06237703212130184,808.938327582382,50.459172043758436,326.14441406534326,376.6035861091017,432.3347414732803,4.099066248709977,3315.8917958808374
High income,2020-04-05,1152317758,6302885,990588,416636,62618,990588,479254,511334,63249.666666666664,39600.333333333336,5621.666666666667,45222.0,18027.666666666664,-104.25,1601.3611111111106,187.22222222222217,1788.5833333333328,-1892.8333333333328,34.74305555555506,,,0.13065722977794655,0.06321296038312599,859.6482985034411,54.34091383671968,361.5634638167227,415.90437765344234,443.74392084999874,6.3627714044587655,5469.745611609328
