Income Group,Date,Estimated Population,Total Tests,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
High income,2020-02-05,1112137511,313,113,41,0,113,41,72,7.57,7.57,6.14,0.0,6.14,1.43,-0.5429,0.371,0.0,0.371,-0.9143,0.04,0.0983,,0.0,0.102,0.0,0.0369,0.0369,0.0647,2.77,0.281
High income,2020-02-06,1112137511,384,114,49,0,114,49,65,8.29,8.29,6.57,0.0,6.57,1.71,-0.3714,0.286,0.0,0.286,-0.6571,0.189,0.096,,0.0,0.103,0.0,0.0441,0.0441,0.0584,3.37,0.345
High income,2020-02-07,1112137511,405,119,55,0,119,55,64,7.86,7.86,6.57,0.0,6.57,1.29,-0.1143,0.229,0.0,0.229,-0.3429,0.223,0.0571,-0.0249,0.0,0.107,0.0,0.0495,0.0495,0.0575,3.4,0.364
High income,2020-02-08,1112137511,1175,134,61,0,134,61,73,7.43,7.43,6.86,0.0,6.86,0.571,0.343,0.143,0.0286,0.171,0.171,0.263,0.0343,-0.0295,0.0,0.12,0.0,0.0548,0.0548,0.0656,8.77,1.06
High income,2020-02-09,1112137511,2783,144,68,0,144,68,76,7.29,7.29,7.0,0.0,7.0,0.286,0.629,0.0571,0.0286,0.0857,0.543,0.246,-0.0194,-0.0329,0.0,0.129,0.0,0.0611,0.0611,0.0683,19.33,2.5
High income,2020-02-10,1112137511,4207,152,75,0,152,75,77,9.29,9.29,6.86,0.143,7.0,2.29,0.771,0.0571,0.0571,0.114,0.657,0.211,-0.0491,-0.0208,0.0,0.137,0.0,0.0674,0.0674,0.0692,27.68,3.78
High income,2020-02-11,1112137511,714,159,83,0,159,83,76,11.43,11.43,6.86,0.143,7.0,4.43,0.857,0.0857,0.0571,0.143,0.714,0.0914,-0.0686,-0.0037,0.0,0.143,0.0,0.0746,0.0746,0.0683,4.49,0.642
High income,2020-02-12,1112137511,1733,164,90,0,164,90,74,11.71,11.71,6.86,0.286,7.14,4.57,0.943,0.171,0.0571,0.229,0.714,-0.0229,-0.0469,0.0347,0.0,0.147,0.0,0.0809,0.0809,0.0665,10.57,1.56
High income,2020-02-13,1112137511,1787,179,97,1,179,98,81,11.71,11.71,7.29,0.286,7.57,4.14,0.8,0.171,0.0571,0.229,0.571,-0.08,0.016,0.0645,0.0102,0.161,0.0009,0.0872,0.0881,0.0728,9.98,1.61
High income,2020-02-14,1112137511,4700,199,103,1,199,104,95,12.0,12.0,7.86,0.286,8.14,3.86,0.514,0.229,0.0571,0.286,0.229,0.0114,0.154,0.104,0.0096,0.179,0.0009,0.0926,0.0935,0.0854,23.62,4.23
High income,2020-02-15,1112137511,861,216,109,2,216,111,105,13.29,13.29,7.71,0.429,8.14,5.14,0.371,0.371,0.0,0.371,0.0,0.291,0.273,0.133,0.018,0.194,0.0018,0.098,0.0998,0.0944,3.99,0.774
High income,2020-02-16,1112137511,5932,226,119,2,226,121,105,14.0,14.0,8.0,0.429,8.43,5.57,0.914,0.4,0.0286,0.429,0.486,0.863,0.453,0.154,0.0165,0.203,0.0018,0.107,0.109,0.0944,26.25,5.33
High income,2020-02-17,1112137511,1836,236,130,2,236,132,104,13.57,13.57,8.71,0.286,9.0,4.57,2.4,0.429,0.0286,0.457,1.94,1.34,0.618,0.124,0.0152,0.212,0.0018,0.117,0.119,0.0935,7.78,1.65
High income,2020-02-18,1112137511,8902,252,137,3,252,140,112,16.29,16.29,9.29,0.429,9.71,6.57,5.11,0.686,0.0286,0.714,4.4,2.18,0.786,0.126,0.0214,0.227,0.0027,0.123,0.126,0.101,35.33,8.0
High income,2020-02-19,1112137511,2351,262,146,3,262,149,113,24.0,24.0,10.0,0.429,10.43,13.57,7.23,0.971,0.143,1.11,6.11,3.1,0.773,0.147,0.0201,0.236,0.0027,0.131,0.134,0.102,8.97,2.11
High income,2020-02-20,1112137511,2446,274,158,3,274,161,113,38.86,38.86,11.14,0.571,11.71,27.14,11.29,1.46,0.257,1.71,9.57,4.22,0.902,0.113,0.0186,0.246,0.0027,0.142,0.145,0.102,8.93,2.2
High income,2020-02-21,1112137511,11462,313,168,4,313,172,141,50.14,50.14,12.86,1.14,14.0,36.14,16.43,2.17,0.314,2.49,13.94,4.73,1.19,0.0416,0.0233,0.281,0.0036,0.151,0.155,0.127,36.62,10.31
High income,2020-02-22,1112137511,19422,384,179,5,384,184,200,70.0,70.0,16.0,1.57,17.57,52.43,23.51,3.17,0.486,3.66,19.86,5.85,1.18,0.117,0.0272,0.345,0.0045,0.161,0.165,0.18,50.58,17.46
High income,2020-02-23,1112137511,1388,498,197,6,498,203,295,98.43,98.43,20.14,2.0,22.14,76.29,28.74,4.94,0.571,5.51,23.23,8.13,0.994,0.187,0.0296,0.448,0.0054,0.177,0.183,0.265,2.79,1.25
High income,2020-02-24,1112137511,5778,587,220,10,587,230,357,141.57,141.57,25.86,2.86,28.71,112.86,36.49,6.91,0.714,7.63,28.86,9.02,1.36,0.127,0.0435,0.528,0.009,0.198,0.207,0.321,9.84,5.2
High income,2020-02-25,1112137511,10803,742,249,14,742,263,479,182.57,182.57,35.86,3.43,39.29,143.29,51.94,9.37,0.771,10.14,41.8,9.19,1.84,0.342,0.0532,0.667,0.0126,0.224,0.236,0.431,14.56,9.71
High income,2020-02-26,1112137511,12830,951,287,17,951,304,647,232.57,232.57,47.43,4.71,52.14,180.43,61.51,12.74,1.26,14.0,47.51,11.53,1.83,0.619,0.0559,0.855,0.0153,0.258,0.273,0.582,13.49,11.54
High income,2020-02-27,1112137511,31037,1265,339,23,1265,362,903,329.71,329.71,62.86,5.43,68.29,261.43,69.49,16.46,1.86,18.31,51.17,15.03,2.89,0.662,0.0635,1.14,0.0207,0.305,0.325,0.812,24.54,27.91
High income,2020-02-28,1112137511,45518,1591,419,28,1591,447,1144,406.0,406.0,83.86,8.29,92.14,313.86,86.37,20.34,2.66,23.0,63.37,17.26,4.09,0.674,0.0626,1.43,0.0252,0.377,0.402,1.03,28.61,40.93
High income,2020-02-29,1112137511,40768,2012,511,38,2012,549,1463,489.0,489.0,108.14,12.14,120.29,368.71,111.63,25.29,3.54,28.83,82.8,23.47,4.67,1.18,0.0692,1.81,0.0342,0.459,0.494,1.32,20.26,36.66
High income,2020-03-01,1112137511,31153,2806,637,44,2806,681,2125,614.43,614.43,137.57,16.71,154.29,460.14,138.23,31.37,4.91,36.29,101.94,29.63,5.2,0.604,0.0646,2.52,0.0396,0.573,0.612,1.91,11.1,28.01
High income,2020-03-02,1112137511,34497,3429,807,68,3429,875,2554,790.71,790.71,173.86,22.43,196.29,594.43,178.89,40.26,5.4,45.66,133.23,34.88,7.74,1.77,0.0777,3.08,0.0611,0.726,0.787,2.3,10.06,31.02
High income,2020-03-03,1112137511,68442,4165,1006,99,4165,1105,3060,1020.86,1020.86,219.71,30.0,249.71,771.14,217.66,48.94,8.94,57.89,159.77,41.05,5.91,2.1,0.0896,3.75,0.089,0.905,0.994,2.75,16.43,61.54
High income,2020-03-04,1112137511,88888,5252,1250,134,5252,1384,3868,1300.43,1300.43,285.14,35.29,320.43,980.0,260.77,61.71,10.6,72.31,188.46,55.95,12.92,2.03,0.0968,4.72,0.12,1.12,1.24,3.48,16.92,79.93
High income,2020-03-05,1112137511,62710,6800,1556,180,6800,1736,5064,1577.29,1577.29,352.86,56.86,409.71,1167.57,316.86,75.11,14.43,89.54,227.31,53.03,15.16,1.14,0.104,6.11,0.162,1.4,1.56,4.55,9.22,56.39
High income,2020-03-06,1112137511,116242,8737,1957,238,8737,2195,6542,1918.29,1918.29,446.14,69.71,515.86,1402.43,417.97,91.23,18.97,110.2,307.77,94.24,15.38,2.96,0.108,7.86,0.214,1.76,1.97,5.88,13.3,104.52
High income,2020-03-07,1112137511,164212,11115,2507,285,11115,2792,8323,2375.0,2375.0,549.43,94.57,644.0,1731.0,444.06,115.51,22.57,138.09,305.97,110.66,13.45,-1.973,0.102,9.99,0.256,2.25,2.51,7.48,14.77,147.65
High income,2020-03-08,1112137511,225598,13847,3107,442,13847,3549,10298,3110.71,3110.71,675.86,124.86,800.71,2310.0,688.86,138.2,27.74,165.94,522.91,117.94,20.72,-0.915,0.125,12.45,0.397,2.79,3.19,9.26,16.29,202.85
High income,2020-03-09,1112137511,176781,16857,3930,556,16857,4486,12371,3520.71,3520.71,862.71,148.14,1010.86,2509.86,814.09,181.2,32.17,213.37,600.71,123.22,3.06,-0.3056,0.124,15.16,0.5,3.53,4.03,11.12,10.49,158.96
High income,2020-03-10,1112137511,200716,20790,4852,761,20790,5613,15177,5021.57,5021.57,1043.86,195.57,1239.43,3782.14,906.54,230.51,37.31,267.83,638.71,156.62,10.58,1.13,0.136,18.69,0.684,4.36,5.05,13.65,9.65,180.48
High income,2020-03-11,1112137511,148001,27027,5981,1008,27027,6989,20038,5988.71,5988.71,1352.14,230.57,1582.71,4406.0,1034.06,282.77,43.2,325.97,708.09,109.52,13.85,-0.9358,0.144,24.3,0.906,5.38,6.28,18.02,5.48,133.08
High income,2020-03-12,1112137511,262106,31445,7595,1217,31445,8812,22633,6907.71,6907.71,1702.0,281.14,1983.14,4924.57,1227.14,339.46,50.91,390.37,836.77,163.57,19.08,7.62,0.138,28.27,1.09,6.83,7.92,20.35,8.34,235.68
High income,2020-03-13,1112137511,220588,43888,9264,1607,43888,10871,33017,8281.0,8281.0,2089.71,340.86,2430.57,5850.43,1236.46,412.06,54.29,466.34,770.11,187.19,16.04,1.17,0.148,39.46,1.44,8.33,9.77,29.69,5.03,198.35
High income,2020-03-14,1112137511,380676,53036,11972,1899,53036,13871,39165,9656.43,9656.43,2560.0,402.71,2962.71,6693.71,1631.94,468.91,67.51,536.43,1095.51,218.61,41.14,1.08,0.137,47.69,1.71,10.76,12.47,35.22,7.18,342.29
High income,2020-03-15,1112137511,716125,62201,15021,2410,62201,17431,44770,11203.86,11203.86,3104.14,467.0,3571.14,7632.71,1842.49,553.2,82.86,636.06,1206.43,236.81,16.45,-1.0974,0.138,55.93,2.17,13.51,15.67,40.26,11.51,643.92
High income,2020-03-16,1112137511,360813,74824,18558,2942,74824,21500,53324,14148.43,14148.43,3696.71,568.14,4264.86,9883.57,2127.11,639.51,106.23,745.74,1381.37,315.22,19.23,-1.3399,0.137,67.28,2.65,16.69,19.33,47.95,4.82,324.43
High income,2020-03-17,1112137511,524598,88385,22772,3580,88385,26352,62033,16120.14,16120.14,4468.0,695.43,5163.43,10956.71,2411.17,750.49,120.91,871.4,1539.77,245.82,13.59,-11.6549,0.136,79.47,3.22,20.48,23.69,55.78,5.94,471.7
High income,2020-03-18,1112137511,513835,105454,27710,4277,105454,31987,73467,18916.57,18916.57,5287.29,872.0,6159.29,12757.29,2812.54,869.06,142.26,1011.31,1801.23,283.34,9.34,-4.4878,0.134,94.82,3.85,24.92,28.76,66.06,4.87,462.02
High income,2020-03-19,1112137511,706156,130484,33472,5194,130484,38666,91818,21712.29,21712.29,6312.43,1007.29,7319.71,14392.57,2861.03,1012.31,162.74,1175.06,1685.97,286.57,-17.1349,-12.0023,0.134,117.33,4.67,30.1,34.77,82.56,5.41,634.95
High income,2020-03-20,1112137511,708351,156729,40540,6475,156729,47015,109714,25266.57,25266.57,7449.43,1178.29,8627.71,16638.86,3259.17,1138.29,190.09,1328.37,1930.8,283.5,-5.9897,-13.8832,0.138,140.93,5.82,36.45,42.27,98.65,4.52,636.93
High income,2020-03-21,1112137511,975365,185452,48983,8003,185452,56986,128466,28453.57,28453.57,8758.29,1381.86,10140.14,18313.43,3559.97,1297.74,206.11,1503.86,2056.11,229.54,-40.7817,-17.3058,0.14,166.75,7.2,44.04,51.24,115.51,5.26,877.02
High income,2020-03-22,1112137511,1711948,214187,59208,9461,214187,68669,145518,32416.0,32416.0,10159.43,1645.86,11805.29,20610.71,3828.66,1455.91,234.71,1690.63,2138.03,215.87,-55.824,-14.7259,0.138,192.59,8.51,53.24,61.75,130.85,7.99,1539.33
High income,2020-03-23,1112137511,1188418,251690,70704,11190,251690,81894,169796,36716.43,36716.43,11776.0,1902.57,13678.57,23037.86,3960.26,1632.03,253.2,1885.23,2075.03,79.43,-77.1909,-17.6674,0.137,226.31,10.06,63.57,73.64,152.68,4.72,1068.59
High income,2020-03-24,1112137511,1405058,287560,84080,13253,287560,97333,190227,40855.57,40855.57,13592.0,2180.86,15772.86,25082.71,3940.37,1812.11,261.71,2073.83,1866.54,7.45,-90.7646,-4.7522,0.136,258.57,11.92,75.6,87.52,171.05,4.89,1263.39
High income,2020-03-25,1112137511,1488876,332366,98826,15798,332366,114624,217742,45067.86,45067.86,15609.57,2444.29,18053.86,27014.0,3656.31,1973.91,269.57,2243.49,1412.83,-102.4571,-94.3269,-3.3582,0.138,298.85,14.21,88.86,103.07,195.79,4.48,1338.75
High income,2020-03-26,1112137511,1543543,387499,115904,18512,387499,134416,253083,48155.43,48155.43,17818.86,2690.43,20509.29,27646.14,3597.23,2085.46,286.43,2371.89,1225.34,-224.28,-64.5429,4.05,0.138,348.43,16.65,104.22,120.86,227.56,3.98,1387.91
High income,2020-03-27,1112137511,1904934,442718,135684,21741,442718,157425,285293,50697.57,50697.57,20029.0,2993.71,23022.71,27674.86,3316.37,2179.37,304.14,2483.51,832.86,-255.7657,-72.6149,12.1,0.138,398.08,19.55,122.0,141.55,256.53,4.3,1712.86
High income,2020-03-28,1112137511,2177045,500927,158250,25113,500927,183363,317564,54702.57,54702.57,22203.29,3334.71,25538.0,29164.57,2838.86,2220.46,338.66,2559.11,279.74,-243.2857,-56.9303,12.49,0.137,450.42,22.58,142.29,164.87,285.54,4.35,1957.53
High income,2020-03-29,1112137511,3586866,551275,183940,28294,551275,212234,339041,57437.43,57437.43,24488.86,3701.57,28190.43,29247.0,2661.54,2229.83,354.66,2584.49,77.06,-355.6229,-30.272,5.86,0.133,495.69,25.44,165.39,190.83,304.86,6.51,3225.2
High income,2020-03-30,1112137511,2520350,606573,210907,32146,606573,243053,363520,59262.14,59262.14,26711.86,4137.57,30849.43,28412.71,2439.89,2243.49,348.0,2591.49,-151.6,-387.1086,-31.9017,14.86,0.132,545.41,28.9,189.64,218.55,326.87,4.16,2266.22
High income,2020-03-31,1112137511,3079337,670478,239503,36596,670478,276099,394379,61463.14,61463.14,28968.0,4463.71,33431.71,28031.43,1819.11,2260.11,317.63,2577.74,-758.6286,-375.64,-35.2457,13.6,0.133,602.87,32.91,215.35,248.26,354.61,4.59,2768.85
High income,2020-04-01,1112137511,3168574,734428,270248,41709,734428,311957,422471,62897.0,62897.0,31246.43,4733.71,35980.14,26916.86,1380.83,2225.29,283.4,2508.69,-1127.8571,-415.2743,1.66,16.76,0.134,660.38,37.5,243.0,280.5,379.87,4.31,2849.08
High income,2020-04-02,1112137511,3473417,802334,302887,47475,802334,350362,451972,63798.14,63798.14,33503.86,4922.86,38426.71,25371.43,960.66,2127.57,278.43,2406.0,-1445.3429,-419.5143,11.05,19.12,0.136,721.43,42.69,272.35,315.03,406.4,4.33,3123.19
High income,2020-04-03,1112137511,3870411,872960,338460,52987,872960,391447,481513,64341.57,64341.57,35615.29,5118.57,40733.86,23607.71,585.17,2033.89,240.91,2274.8,-1689.6286,-347.3143,53.51,19.07,0.135,784.94,47.64,304.33,351.98,432.96,4.43,3480.16
High income,2020-04-04,1112137511,4364031,941206,376975,58249,941206,435224,505982,64065.43,64065.43,37349.71,5529.71,42879.43,21186.0,342.31,1902.6,218.51,2121.11,-1778.8,-331.8457,63.71,9.95,0.134,846.3,52.38,338.96,391.34,454.96,4.64,3924.0
High income,2020-04-05,1112137511,6357080,997862,418467,62754,997862,481221,516641,64389.0,64389.0,39137.43,5668.29,44805.71,19583.29,82.54,1749.46,210.26,1959.71,-1877.1714,-108.0914,60.1,13.4,0.13,897.25,56.43,376.27,432.7,464.55,6.37,5716.09
High income,2020-04-06,1112137511,5186636,1056964,460214,67976,1056964,528190,528774,64608.57,64608.57,40759.43,5826.29,46585.71,18022.86,-278.4,1614.06,174.69,1788.74,-2067.1429,-96.7314,51.42,-15.8245,0.129,950.39,61.12,413.81,474.93,475.46,4.91,4663.66
High income,2020-04-07,1112137511,5902943,1118936,500951,75304,1118936,576255,542681,64210.86,64210.86,42251.14,5974.14,48225.29,15985.57,420.2,1494.83,106.23,1601.06,-1180.8571,-119.0057,78.03,-15.9202,0.131,1006.11,67.71,450.44,518.15,487.96,5.28,5307.75
High income,2020-04-08,1112137511,5839551,1185151,544210,81387,1185151,625597,559554,62949.57,62949.57,43685.57,5992.0,49677.57,13272.0,101.51,1419.23,74.34,1493.57,-1392.0571,-90.2114,-25.6126,-14.1435,0.13,1065.65,73.18,489.34,562.52,503.13,4.93,5250.75
High income,2020-04-09,1112137511,6325623,1254594,588203,88259,1254594,676462,578132,66166.43,66166.43,44823.86,6060.86,50884.71,15281.71,-252.7143,1362.8,4.37,1367.17,-1619.8857,58.31,-15.8926,-11.0642,0.13,1128.09,79.36,528.89,608.25,519.84,5.04,5687.81
High income,2020-04-10,1112137511,6712592,1322436,634218,94806,1322436,729024,593412,64896.57,64896.57,46233.57,6040.0,52273.57,12623.0,-368.5143,1203.89,15.66,1219.54,-1588.0571,-236.1543,-10.616,-26.5422,0.13,1189.09,85.25,570.27,655.52,533.58,5.08,6035.76
High income,2020-04-11,1112137511,7178686,1381853,682774,100193,1381853,782967,598886,63345.0,63345.0,47573.43,5848.14,53421.57,9923.43,13.14,1080.17,-4.7429,1075.43,-1062.2857,-176.1943,-3.9006,11.49,0.128,1242.52,90.09,613.93,704.02,538.5,5.19,6454.85
High income,2020-04-12,1112137511,9266820,1461027,732234,105180,1461027,837414,623613,62368.29,62368.29,48270.57,6052.43,54323.0,8045.29,-760.5714,993.03,-14.4286,978.6,-1739.1714,-172.0857,-54.68,6.85,0.126,1313.71,94.57,658.4,752.98,560.73,6.34,8332.44
High income,2020-04-13,1112137511,8546610,1511240,783849,110256,1511240,894105,617135,63015.29,63015.29,49086.43,5968.29,55054.71,7960.57,-779.4571,825.43,-4.7143,820.71,-1600.1714,-109.7143,31.82,10.15,0.123,1358.86,99.14,704.81,803.95,554.91,5.66,7684.85
High income,2020-04-14,1112137511,8443533,1562351,833965,116241,1562351,950206,612145,62363.57,62363.57,49789.0,5988.71,55777.71,6585.86,-1113.1429,678.54,-3.4857,675.06,-1788.2,-215.0914,18.37,5.87,0.122,1404.82,104.52,749.88,854.4,550.42,5.4,7592.17
High income,2020-04-15,1112137511,8316882,1621729,882104,123754,1621729,1005858,615871,60999.29,60999.29,50360.71,6016.43,56377.14,4622.14,-917.0857,570.69,-58.0857,512.6,-1429.6857,-77.0686,40.13,19.23,0.123,1458.21,111.28,793.16,904.44,553.77,5.13,7478.29
High income,2020-04-16,1112137511,8718151,1695701,931808,130037,1695701,1061845,633856,57779.29,57779.29,50966.14,5830.71,56796.86,982.43,-1062.3143,419.0,-36.4286,382.57,-1444.8857,-84.3429,25.44,-2.7778,0.122,1524.72,116.93,837.85,954.78,569.94,5.14,7839.09
High income,2020-04-17,1112137511,9122007,1758981,982741,136727,1758981,1119468,639513,57782.86,57782.86,51124.0,5762.0,56886.0,896.86,-1145.9143,342.34,-90.9143,251.43,-1397.3429,28.54,41.48,1.87,0.122,1581.62,122.94,883.65,1006.59,575.03,5.19,8202.23
High income,2020-04-18,1112137511,9691000,1808848,1035299,142308,1808848,1177607,631241,57703.71,57703.71,51181.43,5786.14,56967.57,736.14,-1201.1714,239.6,-115.4,124.2,-1325.3714,17.5,17.93,-7.1282,0.121,1626.46,127.96,930.91,1058.87,567.59,5.36,8713.85
High income,2020-04-19,1112137511,11726047,1865482,1088997,145995,1865482,1234992,630490,56634.0,56634.0,51500.71,5534.14,57034.86,-400.8571,-970.4286,119.09,-115.1714,3.91,-974.3429,-7.68,27.71,-9.1694,0.118,1677.38,131.27,979.19,1110.47,566.92,6.29,10543.7
High income,2020-04-20,1112137511,9829271,1915720,1141717,150590,1915720,1292307,623413,54993.43,54993.43,51558.71,5439.43,56998.14,-2004.7143,-829.6,49.71,-134.5714,-84.8571,-744.7429,12.57,4.48,-6.0528,0.117,1722.56,135.41,1026.6,1162.0,560.55,5.13,8838.18
High income,2020-04-21,1112137511,10683669,1966277,1192235,156744,1966277,1348979,617298,52927.14,52927.14,51561.57,5254.86,56816.43,-3889.2857,-1100.7143,6.0,-158.4286,-152.4286,-948.2857,54.19,-20.4046,-2.704,0.116,1768.02,140.94,1072.02,1212.96,555.06,5.43,9606.43
High income,2020-04-22,1112137511,10637092,2018167,1242609,162493,2018167,1405102,613065,53634.86,53634.86,51372.57,5089.14,56461.71,-2826.8571,-1083.0571,-98.9429,-139.6286,-238.5714,-844.4857,50.97,11.22,-7.659,0.116,1814.67,146.11,1117.32,1263.42,551.25,5.27,9564.55
High income,2020-04-23,1112137511,12168154,2080655,1292719,168113,2080655,1460832,619823,52200.14,52200.14,51211.43,4994.0,56205.43,-4005.2857,-930.2286,-159.2286,-156.2,-315.4286,-614.8,-84.5257,4.41,-4.5605,0.115,1870.86,151.16,1162.37,1313.54,557.33,5.85,10941.23
High income,2020-04-24,1112137511,11692315,2129471,1343672,173511,2129471,1517183,612288,51218.71,51218.71,51006.0,4836.0,55842.0,-4623.2857,-715.6,-240.0286,-131.4286,-371.4571,-344.1429,48.41,-10.5886,12.56,0.114,1914.76,156.02,1208.19,1364.2,550.55,5.49,10513.37
High income,2020-04-25,1112137511,12462925,2184292,1394907,177932,2184292,1572839,611453,50342.29,50342.29,50762.57,4658.43,55421.0,-5078.7143,-1252.2286,-272.6571,-129.7429,-402.4,-849.8286,34.61,-18.3177,-3.0018,0.113,1964.05,159.99,1254.26,1414.25,549.8,5.71,11206.28
High income,2020-04-26,1112137511,15408485,2230883,1447477,180953,2230883,1628430,602453,49349.14,49349.14,50361.43,4597.71,54959.14,-5610.0,-858.6571,-320.5143,-159.3143,-479.8286,-378.8286,1.25,42.38,0.76,0.111,2005.94,162.71,1301.53,1464.23,541.71,6.91,13854.84
High income,2020-04-27,1112137511,13152249,2274251,1498759,184442,2274251,1683201,591050,47373.71,47373.71,50009.29,4440.43,54449.71,-7076.0,-910.0,-369.5714,-144.6286,-514.2,-395.8,-40.6229,-3.7909,5.18,0.11,2044.94,165.84,1347.64,1513.48,531.45,5.78,11826.1
High income,2020-04-28,1112137511,14228448,2318673,1547573,189353,2318673,1736926,581747,47906.86,47906.86,49608.86,4197.43,53806.29,-5899.4286,-924.0,-419.7429,-130.5429,-550.2857,-373.7143,127.38,8.21,8.63,0.109,2084.88,170.26,1391.53,1561.79,523.09,6.14,12793.78
High income,2020-04-29,1112137511,14065651,2363611,1595139,194677,2363611,1789816,573795,46668.71,46668.71,49158.14,4112.86,53271.0,-6602.2857,-918.7143,-446.0,-138.2857,-584.2857,-334.4286,29.46,15.29,-13.059,0.109,2125.29,175.05,1434.3,1609.35,515.94,5.95,12647.4
High income,2020-04-30,1112137511,16000186,2412271,1642784,199196,2412271,1841980,570291,45722.29,45722.29,48663.86,4005.71,52669.57,-6947.2857,-615.3143,-487.4,-127.2286,-614.6286,-0.6857,75.65,24.82,0.641,0.108,2169.04,179.11,1477.14,1656.25,512.79,6.63,14386.88
High income,2020-05-01,1112137511,15239700,2464819,1690934,202893,2464819,1893827,570992,44755.57,44755.57,48131.43,3906.29,52037.71,-7282.1429,-711.3714,-524.3143,-90.3714,-614.6857,-96.6857,77.7,-22.9131,-4.7934,0.107,2216.29,182.44,1520.44,1702.87,513.42,6.18,13703.07
High income,2020-05-02,1112137511,16100376,2510973,1739014,206722,2510973,1945736,565237,44297.14,44297.14,47572.29,3804.29,51376.57,-7079.4286,-531.7429,-526.3429,-97.4286,-623.7714,92.03,83.48,-0.5851,-6.4987,0.106,2257.79,185.88,1563.67,1749.55,508.24,6.41,14476.97
High income,2020-05-03,1112137511,19442028,2550939,1788124,208993,2550939,1997117,553822,44350.0,44350.0,46987.29,3745.57,50732.86,-6382.8571,-535.5143,-539.3429,-75.9714,-615.3143,79.8,12.82,-15.7589,-7.744,0.105,2293.73,187.92,1607.83,1795.75,497.98,7.62,17481.68
