key,group_name,M,β,γ,α,μ,σ(β),σ(γ),σ(α),σ(μ),σ(E),R0,σ(R0),loss_7_days,loss_14_days
Contagem_MG,All,670494.0,0.09724,0.1724,0.1578,0.00319,0.00878,0.4584,0.022,0.00023,3857.963,0.6161,0.1023,1.986,1.986
Coroatá_MA,All,65949.0,0.001,0.2222,0.09091,,0.01442,0.5118,0.07453,,158.924,0.011,0.1588,,
Coronel Fabriciano_MG,All,110954.0,,,,,,,,,,,,,
Coruripe_AL,All,57502.0,0.1169,0.2222,0.1592,0.00538,0.05637,1.965,0.06152,0.00075,444.37,0.7344,0.4538,2.451,2.451
Cotia_SP,All,251702.0,0.03318,0.2222,0.09091,0.01561,5.0e-5,0.7084,0.02905,0.00073,2163.71,0.365,0.1166,4.435,4.435
Criciúma_SC,All,217338.0,0.05665,0.2222,0.09091,0.00122,0.01411,,0.0403,8.0e-5,,0.6231,0.3168,7.726,7.726
Cubatão_SP,All,132012.0,0.1227,0.2222,0.1667,0.01222,0.0525,0.8182,0.03137,0.00203,2054.52,0.7363,0.3441,2.001,2.001
Cuiabá_MT,All,618672.0,0.134,0.2222,0.1564,0.00346,0.00031,0.3668,0.01262,0.00089,2859.649,0.8565,0.06914,2.007,2.007
Curitiba_PR,All,1.952436e6,0.08202,0.2222,0.1038,0.00772,0.00351,1.014,0.01125,0.00026,5368.335,0.79,0.092,2.43,2.43
Demerval Lobão_PI,All,13955.0,0.05324,0.2222,0.1304,,0.01172,0.149,0.01584,,724.139,0.4083,0.1027,,
Diadema_SP,All,428123.0,0.07681,0.2222,0.1021,0.01262,0.00611,0.7912,0.00576,0.00045,5340.437,0.7522,0.07333,2.193,2.193
Divinópolis_MG,All,240612.0,0.001,0.2222,0.09091,0.00109,0.00763,0.9176,0.0437,0.00012,1786.834,0.011,0.08415,6.185,6.185
Domingos Martins_ES,All,34188.0,,,,0.00137,,,,0.00068,,,,,
Dourados_MS,All,225178.0,0.2016,0.2222,0.1667,,0.01095,2.196,0.08081,,7754.158,1.21,0.5902,,
Duque de Caxias_RJ,All,928792.0,0.06763,0.2222,0.09091,0.02298,0.01086,1.284,0.01271,0.00127,10408.709,0.7439,0.1583,3.332,3.332
Embu das Artes_SP,All,276463.0,0.06788,0.2222,0.09091,0.01676,0.00371,1.51,0.00986,0.00051,4984.267,0.7466,0.09068,1.968,1.968
Entre Rios_SC,All,3235.0,0.1288,0.2222,0.09091,0.00104,0.01784,0.1226,0.03283,0.00018,475.872,1.417,0.548,1.697,1.697
Erechim_RS,All,106921.0,0.08429,0.2222,0.1561,0.00114,0.01714,0.1418,0.01817,0.00017,325.536,0.5399,0.1265,1.736,1.736
Esperantina_PI,All,40134.0,0.09236,0.2222,0.09813,,0.01892,,0.01684,,,0.9411,0.2515,,
Esperantinópolis_MA,All,17413.0,0.1017,0.2222,0.1366,0.00341,0.06442,0.3429,0.02338,0.00049,452.478,0.7443,0.4884,2.244,2.244
Estreito_MA,All,42365.0,0.08299,0.2222,0.09542,,0.02751,0.2575,0.0126,,772.531,0.8698,0.3104,,
Estrela_RS,All,34457.0,0.001,0.2188,0.09091,,0.00574,,0.04701,,,0.011,0.06342,,
Estância_SE,All,69876.0,0.08815,0.2222,0.0967,0.00431,0.0189,0.5243,0.01276,0.00019,674.19,0.9116,0.2295,1.213,1.213
Extrema_MG,All,36587.0,0.2369,0.2222,0.1667,0.00197,0.01868,0.1898,0.0905,0.00031,95.451,1.422,0.78,1.546,1.546
Farroupilha_RS,All,73054.0,0.08634,0.2222,0.09091,0.00227,0.01219,0.6019,0.02487,0.00021,1450.362,0.9497,0.2924,2.968,2.968
Feira de Santana_BA,All,621021.0,0.08332,0.2222,0.1359,0.00172,0.01696,0.3829,0.01138,0.00027,1179.994,0.6129,0.1349,2.435,2.435
Ferraz de Vasconcelos_SP,All,196219.0,0.09004,0.2222,0.09515,0.01936,0.00301,0.3355,0.01122,0.00111,486.836,0.9463,0.116,2.49,2.49
Floriano_PI,All,60534.0,0.06994,0.2222,0.09091,0.00157,0.01352,0.4557,0.02784,0.00011,609.108,0.7694,0.2786,6.771,6.771
Florianópolis_SC,All,505983.0,0.0666,0.2222,0.09091,,0.00307,0.1121,0.01769,,614.869,0.7326,0.1465,,
Fonte Boa_AM,All,17785.0,0.1174,0.2222,0.09091,0.00278,0.0349,0.3684,0.01386,0.00016,2075.179,1.292,0.4315,1.685,1.685
Francisco Morato_SP,All,177602.0,0.04057,0.2222,0.09091,0.00949,0.00399,1.159,0.01105,0.00112,3883.516,0.4463,0.06972,2.183,2.183
Franco da Rocha_SP,All,156034.0,0.06874,0.2222,0.09091,0.01834,0.00345,0.9029,0.0114,0.00044,1313.452,0.7561,0.1021,3.151,3.151
Fundão_ES,All,21724.0,0.08202,0.2222,0.09091,0.00624,0.01475,0.274,0.01581,0.00035,120.227,0.9022,0.2257,4.143,4.143
Garanhuns_PE,All,141186.0,0.0332,0.2222,0.09091,0.01025,0.02821,0.5403,0.0256,0.0012,818.782,0.3652,0.3269,2.784,2.784
Garibaldi_RS,All,35421.0,0.001,0.2222,0.09091,0.00176,0.01717,0.6058,0.04782,0.00015,1889.291,0.011,0.1889,5.022,5.022
Gaspar_SC,All,70335.0,0.1027,0.2222,0.1041,0.00194,0.02896,0.2714,0.0175,0.00024,206.131,0.9866,0.3239,1.827,1.827
Goiana_PE,All,80556.0,0.07285,0.2222,0.09091,0.01303,0.01795,0.2916,0.00843,0.00101,1119.148,0.8014,0.2109,1.192,1.192
Goiânia_GO,All,1.531274e6,0.07495,0.2222,0.1176,0.00533,0.01143,0.5682,0.01717,0.00028,6733.427,0.6375,0.1346,2.414,2.414
Governador Valadares_MG,All,282684.0,0.1045,0.2222,0.1364,0.00212,0.00836,0.5419,0.01155,0.00026,1357.131,0.7657,0.0892,2.271,2.271
Grajaú_MA,All,70222.0,0.1699,0.2222,0.1667,0.0016,0.02396,0.1787,0.02809,0.00027,275.609,1.019,0.224,1.81,1.81
Guapimirim_RJ,All,61122.0,0.2049,0.2222,0.1667,0.0093,0.03127,0.6173,0.04025,0.00164,1020.901,1.23,0.3513,1.616,1.616
Guarabira_PB,All,59421.0,0.09735,0.2222,0.1278,0.00117,0.01166,0.7307,0.01358,0.00038,3356.18,0.7617,0.122,2.124,2.124
Guarapari_ES,All,126108.0,0.09303,0.2222,0.1292,0.00531,0.01789,0.199,0.00882,0.00036,752.899,0.7203,0.147,1.878,1.878
Guarujá_SP,All,323664.0,0.05149,0.2222,0.1475,0.00789,0.01141,0.2058,0.01283,0.00048,2261.921,0.3492,0.08311,1.98,1.98
Guarulhos_SP,All,1.392974e6,0.06011,0.2222,0.09091,0.02156,0.00852,0.4932,0.00854,0.00048,7533.174,0.6612,0.1125,2.414,2.414
Hortolândia_SP,All,233160.0,0.1028,0.2222,0.1316,0.01252,0.01394,1.368,0.00728,0.00089,572.698,0.7809,0.1144,2.858,2.858
Igarapé Grande_MA,All,11433.0,,,,,,,,,,,,,
Igarassu_PE,All,118189.0,0.03948,0.2222,0.09091,0.02659,0.00714,1.307,0.03231,0.00094,1464.675,0.4342,0.1732,5.568,5.568
Ilhéus_BA,All,163950.0,0.001,0.2222,0.09091,0.00817,0.0445,1.947,0.04542,0.00038,5888.934,0.011,0.4895,4.607,4.607
Imperatriz_MA,All,261269.0,0.05379,0.2222,0.09091,0.0081,7.0e-5,0.5337,0.01545,0.00024,7280.821,0.5917,0.1006,2.824,2.824
Indaial_SC,All,70119.0,0.0614,0.2222,0.107,0.00146,0.00535,2.877,0.01569,0.00013,1456.573,0.5738,0.09784,3.228,3.228
Ipatinga_MG,All,266044.0,0.1473,0.2222,0.1667,0.00146,0.01973,0.2109,0.03952,0.00029,1562.004,0.8838,0.2407,1.316,1.316
Ipiaú_BA,All,46332.0,0.06674,0.2222,0.1341,0.00338,0.00129,0.4865,0.03137,0.00036,123.156,0.4976,0.1168,3.003,3.003
Ipojuca_PE,All,97166.0,0.05136,0.2222,0.09091,0.02664,0.00997,0.4542,0.01618,0.00106,749.587,0.5649,0.1488,2.498,2.498
Iranduba_AM,All,48779.0,0.1178,0.2222,0.1162,0.00225,0.00054,0.8807,0.01492,0.00013,8245.763,1.014,0.1302,2.473,2.473
Itabaiana_PB,All,24722.0,0.1183,0.2222,0.143,0.00193,0.02711,0.1918,0.01367,0.00018,483.657,0.8269,0.2053,1.525,1.525
Itabaiana_SE,All,96381.0,0.09611,0.2222,0.1216,0.003,0.03639,1.048,0.01812,0.00052,1760.993,0.7904,0.3216,2.537,2.537
Itabaianinha_SE,All,42347.0,0.001,0.2222,0.09091,0.00339,0.06174,0.7263,0.04325,0.0002,426.526,0.011,0.6792,10.097,10.097
Itabira_MG,All,121261.0,0.001,0.2222,0.09399,,0.04988,0.2204,0.04906,,1669.32,0.01064,0.5308,,
Itaboraí_RJ,All,242998.0,0.08161,0.2222,0.09259,0.00895,0.00201,0.7717,0.00883,0.00037,5360.327,0.8814,0.08684,2.433,2.433
Itabuna_BA,All,215355.0,0.05299,0.2222,0.09091,0.00486,0.01026,0.8814,0.01453,0.00029,2814.046,0.5828,0.1464,4.016,4.016
Itacoatiara_AM,All,102350.0,0.08953,0.2222,0.09091,0.00364,0.00144,0.4324,0.00951,0.00032,3340.144,0.9849,0.1043,3.223,3.223
Itaguaí_RJ,All,134349.0,0.1819,0.2222,0.1667,0.0132,0.03099,5.85,0.03462,0.00258,39089.555,1.091,0.2932,0.9607,0.9607
Itajaí_SC,All,221731.0,0.1803,0.2222,0.1667,0.00106,0.02031,0.2944,0.01838,7.0e-5,4148.52,1.082,0.1705,1.473,1.473
Itapecerica da Serra_SP,All,177450.0,0.06197,0.2222,0.09091,0.0141,0.00859,1.075,0.01189,0.00058,3099.845,0.6817,0.13,2.189,2.189
Itapecuru Mirim_MA,All,68885.0,0.04895,0.2222,0.09091,0.0011,0.02174,0.2572,0.03194,7.0e-5,957.51,0.5384,0.3049,5.441,5.441
Itapema_SC,All,65965.0,0.001,0.2222,0.09091,,0.04409,0.5946,0.04952,,200.682,0.011,0.485,,
Itapemirim_ES,All,34691.0,0.09119,0.2222,0.1513,0.00538,0.00842,0.1889,0.01675,0.00083,436.044,0.6027,0.08687,1.877,1.877
Itapevi_SP,All,240077.0,0.06061,0.2222,0.09091,0.02455,0.00975,0.4088,0.01146,0.00029,1119.001,0.6668,0.1362,2.696,2.696
Itapiranga_AM,All,9239.0,0.3501,0.2222,0.09091,,0.02721,0.2626,0.02333,,739.042,3.851,1.033,,
Itaquaquecetuba_SP,All,374529.0,0.03806,0.2222,0.09091,0.02281,0.01176,0.5371,0.01932,0.00086,1852.554,0.4186,0.157,3.252,3.252
Itinga do Maranhão_MA,All,26260.0,0.05993,0.2222,0.1068,0.00358,0.00999,0.272,0.02971,0.00041,471.926,0.5612,0.1821,2.143,2.143
Jaboatão dos Guararapes_PE,All,709321.0,0.04168,0.2222,0.09091,0.01738,0.0027,,0.03653,0.00045,,0.4585,0.1866,7.18,7.18
Jacareí_SP,All,235999.0,0.09493,0.2222,0.1166,0.00855,0.00999,1.298,0.01015,0.00076,1633.917,0.8138,0.1111,2.225,2.225
Jandira_SP,All,126186.0,0.07031,0.2222,0.09091,0.01136,0.00769,0.5957,0.00971,0.00031,542.843,0.7734,0.1182,3.147,3.147
Japeri_RJ,All,105816.0,0.05167,0.1724,0.09091,0.01432,0.0138,0.4767,0.05469,0.0016,497.134,0.5684,0.3741,2.345,2.345
Jaraguá do Sul_SC,All,179474.0,0.02722,0.2222,0.09091,0.00106,0.01544,0.9512,0.0223,0.00011,2728.678,0.2994,0.1851,2.798,2.798
Jaú_SP,All,151755.0,0.07085,0.2222,0.09091,0.0059,0.00447,0.3241,0.01124,0.00035,176.134,0.7793,0.1082,3.575,3.575
Jequié_BA,All,157526.0,0.06601,0.2222,0.0914,0.00492,0.01,1.128,0.01524,0.00031,3952.829,0.7222,0.1627,1.659,1.659
Joinville_SC,All,596371.0,0.07707,0.2222,0.09091,0.00262,0.00333,0.2911,0.02118,0.00027,1154.232,0.8478,0.2009,4.065,4.065
João Pessoa_PB,All,817105.0,0.08673,0.2222,0.12,0.00498,0.01397,0.5398,0.00694,0.00011,18233.414,0.7227,0.1237,2.116,2.116
Juiz de Fora_MG,All,574562.0,0.08161,0.2222,0.09091,0.00419,0.01733,0.2447,0.01797,0.00024,981.178,0.8977,0.2605,3.171,3.171
Jundiaí_SP,All,423152.0,0.08362,0.2222,0.1193,0.01066,0.00379,1.174,0.01198,0.00042,8738.21,0.701,0.07726,2.102,2.102
Jutaí_AM,All,14460.0,0.04279,0.2222,0.09091,0.00548,0.04142,,0.0252,0.00023,,0.4707,0.474,2.277,2.277
Lagarto_SE,All,105452.0,0.1072,0.2222,0.1161,0.00474,0.0153,0.2173,0.02145,0.00061,212.652,0.9237,0.2156,1.996,1.996
Lago da Pedra_MA,All,50769.0,0.06144,0.2222,0.1075,0.00952,0.02116,0.7896,0.02322,0.00061,796.828,0.5715,0.2324,2.756,2.756
Lajeado_RS,All,84854.0,0.03545,0.2222,0.09091,0.00231,0.00506,0.1361,0.05079,8.0e-5,1366.435,0.3899,0.2248,4.332,4.332
Lauro de Freitas_BA,All,200424.0,0.05362,0.2222,0.09513,0.00245,0.00688,1.5,0.00932,0.00015,4666.256,0.5637,0.09101,2.542,2.542
Lençóis Paulista_SP,All,69116.0,0.1356,0.2222,0.1502,0.00506,0.00844,4.395,0.04118,0.00063,10072.303,0.9028,0.2539,1.55,1.55
Lima Campos_MA,All,12012.0,0.001,0.2222,0.09091,0.0013,0.00734,0.2714,0.03716,8.0e-5,1019.47,0.011,0.08087,1.947,1.947
Limeira_SP,All,309175.0,0.09643,0.2222,0.1317,0.01009,0.02043,0.7719,0.01085,0.00089,1237.372,0.7324,0.1665,1.541,1.541
Limoeiro_PE,All,56812.0,0.06305,0.1724,0.09349,0.01406,0.00795,,0.02502,0.00103,,0.6744,0.1995,1.053,1.053
Linhares_ES,All,175291.0,0.1608,0.1724,0.1667,0.00294,0.01016,0.1573,0.08827,0.00046,696.586,0.9646,0.5145,1.52,1.52
Londrina_PR,All,575430.0,0.09797,0.2222,0.1299,0.00845,0.00219,0.7176,0.01278,0.00087,2271.635,0.7543,0.07609,2.244,2.244
Luís Correia_PI,All,30614.0,0.05033,0.2222,0.1129,0.00204,0.00133,0.1527,0.03772,0.00034,612.38,0.446,0.1495,1.075,1.075
Macapá_AP,All,508360.0,0.05398,0.2222,0.09091,0.00498,0.01478,1.363,0.03911,0.00015,53653.923,0.5938,0.3028,2.887,2.887
