Key,Group Name,M,β,γ,α,μ,σ(β),σ(γ),σ(α),σ(μ),σ(E),R0,σ(R0),Loss 7 Days,Loss 14 Days
aguaí__sp,All,36668.0,0.0825,0.196,0.0909,0.0066,0.0103,0.7,1.0,0.0002,426.56,0.907,9.98,0.935,0.935
agudos__sp,All,37586.0,0.0862,0.196,0.0909,0.003,0.0183,0.7,1.0,0.0002,933.76,0.948,10.43,0.531,0.531
aguiarnópolis__to,All,6800.0,0.183,0.196,0.0909,0.0038,0.0188,0.7,1.0,0.0004,410.96,2.01,22.09,0.51,0.51
aiquara__ba,All,4490.0,0.235,0.196,0.0909,0.0071,0.0919,0.7,1.0,0.0015,0.0,2.59,28.51,0.569,0.569
aiuaba__ce,All,17573.0,0.0518,0.196,0.0909,0.0074,0.0778,0.7,1.0,0.0002,101.44,0.57,6.33,0.576,0.576
alagoa_grande__pb,All,28781.0,0.0862,0.196,0.0909,0.0028,0.25,0.7,1.0,0.0004,2569.79,0.948,10.79,0.824,0.824
alagoa_nova__pb,All,21057.0,0.12,0.196,0.0909,0.0049,0.25,0.7,1.0,0.0004,561.82,1.32,14.8,0.936,0.936
alagoinha__pb,All,14634.0,0.172,0.196,0.0909,,0.25,0.7,1.0,,1857.11,1.89,20.99,0.245,0.245
alagoinha__pe,All,14782.0,0.19,0.196,0.0909,0.0024,0.0277,0.7,1.0,0.0003,130.05,2.09,23.0,0.537,0.537
alagoinhas__ba,All,153112.0,0.105,0.196,0.0909,0.0031,0.0186,0.7,1.0,0.0005,3344.89,1.16,12.76,0.432,0.432
alcobaça__ba,All,22695.0,0.0985,0.196,0.0909,0.0018,0.0091,0.7,1.0,0.0002,647.65,1.08,11.92,0.53,0.53
alcântara__ma,All,22318.0,0.134,0.196,0.0909,0.0243,0.018,0.7,1.0,0.0009,20.81,1.48,16.24,2.63,2.63
alcântaras__ce,All,11831.0,0.0689,0.196,0.0909,,0.0273,0.7,1.0,,4970.51,0.758,8.34,3.43,3.43
alegre__es,All,30385.0,0.224,0.196,0.0909,0.0058,0.25,0.7,1.0,0.0004,0.0,2.46,27.18,1.15,1.15
alegrete__rs,All,74325.0,0.114,0.196,0.0909,0.0103,0.0177,0.7,1.0,0.0007,457.78,1.26,13.83,0.468,0.468
alenquer__pa,All,57357.0,0.159,0.196,0.0909,0.0048,0.0195,0.7,1.0,0.0006,582.62,1.75,19.25,0.587,0.587
alexandria__rn,All,13713.0,0.231,0.196,0.0909,0.0182,0.25,0.7,1.0,0.0006,0.0,2.54,28.03,1.11,1.11
alexânia__go,All,27930.0,0.111,0.196,0.0909,0.0061,0.0588,0.7,1.0,0.0006,408.36,1.22,13.47,0.529,0.529
alfredo_chaves__es,All,14747.0,0.227,0.196,0.0909,0.0019,0.25,0.7,1.0,0.0002,0.0,2.5,27.62,1.5,1.5
alfredo_vasconcelos__mg,All,6976.0,0.33,0.196,0.0909,0.0097,0.0936,0.7,1.0,0.0001,0.0,3.63,39.91,0.835,0.835
alhandra__pb,All,19784.0,0.155,0.196,0.0909,0.0048,0.25,0.7,1.0,0.0004,712.67,1.7,18.9,1.2,1.2
aliança__pe,All,38770.0,0.114,0.196,0.0909,0.0119,0.0156,0.7,1.0,0.0008,691.87,1.26,13.83,0.701,0.701
almadina__ba,All,5519.0,0.182,0.196,0.0909,0.0045,0.0494,0.7,1.0,0.0019,257.5,2.0,22.06,0.475,0.475
almeirim__pa,All,34450.0,0.0012,0.196,0.0909,0.016,0.0368,0.7,1.0,0.0006,1274.49,0.013,0.429,3.8,3.8
almenara__mg,All,42315.0,0.468,0.196,0.0909,,0.0614,0.7,1.0,,0.0,5.14,56.59,0.689,0.689
almirante_tamandaré__pr,All,119809.0,0.193,0.196,0.0909,0.0017,0.018,0.7,1.0,0.0002,733.48,2.12,23.35,0.225,0.225
alpinópolis__mg,All,20052.0,0.495,0.196,0.0909,0.0192,0.0735,0.7,1.0,,0.0,5.45,59.9,0.757,0.757
alta_floresta__mt,All,52300.0,0.13,0.196,0.0909,0.0036,0.0192,0.7,1.0,0.0004,702.27,1.43,15.72,0.471,0.471
altamira__pa,All,115740.0,0.107,0.196,0.0909,0.0048,0.0034,0.7,1.0,0.0003,8549.49,1.18,13.0,0.76,0.76
altamira_do_maranhão__ma,All,8209.0,0.141,0.196,0.0909,0.0061,0.0264,0.7,1.0,0.0008,1014.39,1.55,17.03,0.411,0.411
altinho__pe,All,23202.0,0.14,0.196,0.0909,0.0032,0.0357,0.7,1.0,0.0003,754.29,1.54,16.92,0.445,0.445
altinópolis__sp,All,16346.0,0.114,0.196,0.0909,0.0098,0.0272,0.7,1.0,0.0015,124.85,1.26,13.84,0.799,0.799
alto_alegre__rr,All,15665.0,0.188,0.196,0.0909,0.0044,0.0305,0.7,1.0,0.0003,0.0,2.07,22.75,2.32,2.32
alto_alegre_do_maranhão__ma,All,27324.0,0.121,0.196,0.0909,0.0045,0.0129,0.7,1.0,0.0002,754.29,1.33,14.6,1.77,1.77
alto_alegre_do_pindaré__ma,All,32238.0,0.259,0.196,0.0909,,0.0839,0.7,1.0,,4036.75,2.85,31.41,0.479,0.479
alto_alegre_dos_parecis__ro,All,13373.0,0.212,0.196,0.0909,0.0036,0.25,0.7,1.0,0.0005,0.0,2.33,25.78,1.3,1.3
alto_araguaia__mt,All,19234.0,0.141,0.196,0.0909,0.0074,0.0367,0.7,1.0,0.0006,260.1,1.55,17.1,0.514,0.514
alto_boa_vista__mt,All,6890.0,0.137,0.196,0.0909,0.0083,0.0176,0.7,1.0,0.0008,104.04,1.51,16.64,0.422,0.422
alto_do_rodrigues__rn,All,14674.0,0.274,0.196,0.0909,0.0062,0.25,0.7,1.0,0.0007,0.0,3.01,33.22,1.23,1.23
alto_jequitibá__mg,All,8400.0,0.193,0.196,0.0909,0.0034,0.0387,0.7,1.0,0.0002,0.0,2.13,23.38,1.27,1.27
alto_longá__pi,All,14447.0,0.145,0.196,0.0909,,0.0169,0.7,1.0,,561.82,1.6,17.58,0.318,0.318
alto_paraíso__ro,All,21642.0,0.267,0.196,0.0909,0.0085,0.25,0.7,1.0,0.0009,0.0,2.93,32.38,1.42,1.42
alto_parnaíba__ma,All,11302.0,0.116,0.196,0.0909,0.0022,0.0324,0.7,1.0,0.0001,171.67,1.27,14.01,1.81,1.81
alto_piquiri__pr,All,9934.0,0.182,0.196,0.0909,0.0082,0.0484,0.7,1.0,0.0006,62.42,2.0,21.97,0.398,0.398
alto_rio_doce__mg,All,11110.0,0.051,0.196,0.0909,0.0014,0.0123,0.7,1.0,0.0,559.21,0.561,6.17,1.44,1.44
alto_rio_novo__es,All,7914.0,0.4,0.196,0.0909,0.0121,0.25,0.7,1.0,0.0019,0.0,4.4,48.48,0.681,0.681
alto_santo__ce,All,17317.0,0.124,0.196,0.0909,0.0028,0.03,0.7,1.0,0.0003,702.27,1.36,14.95,0.703,0.703
altos__pi,All,40929.0,0.193,0.196,0.0909,,0.0015,0.7,1.0,,7303.61,2.12,23.35,0.401,0.401
alumínio__sp,All,18814.0,0.041,0.196,0.0909,0.0084,0.0214,0.7,1.0,0.0016,377.14,0.451,4.96,2.6,2.6
alvarenga__mg,All,3946.0,0.126,0.196,0.0909,,0.0063,0.7,1.0,,858.33,1.38,15.19,1.48,1.48
alvarães__am,All,16201.0,0.0011,0.196,0.0909,,0.142,0.7,1.0,,21242.37,0.0116,1.57,2.05,2.05
alvorada__rs,All,212408.0,0.115,0.196,0.0909,0.0038,0.0129,0.7,1.0,0.0003,2491.76,1.26,13.89,0.584,0.584
alvorada_d'oeste__ro,All,14555.0,0.295,0.196,0.0909,0.0069,0.25,0.7,1.0,0.0016,0.0,3.24,35.74,0.684,0.684
alvorada_de_minas__mg,All,3642.0,0.0863,0.196,0.0909,0.0044,0.0226,0.7,1.0,0.0005,343.33,0.95,10.45,0.432,0.432
além_paraíba__mg,All,35716.0,0.0559,0.196,0.0909,0.0013,0.0181,0.7,1.0,0.0011,2275.87,0.615,6.76,1.9,1.9
amajari__rr,All,12924.0,0.245,0.196,0.0909,0.0027,0.0512,0.7,1.0,0.0001,0.0,2.69,29.63,1.6,1.6
amambai__ms,All,39790.0,0.0216,0.196,0.0909,0.0135,0.25,0.7,1.0,0.0008,215.88,0.238,3.79,1.22,1.22
amapá__ap,All,9200.0,0.116,0.196,0.0909,0.0018,0.0079,0.7,1.0,0.0,1274.49,1.28,14.08,0.781,0.781
amaraji__pe,All,23057.0,0.127,0.196,0.0909,0.0245,0.0094,0.7,1.0,0.0006,150.86,1.4,15.38,2.41,2.41
amarante__pi,All,17774.0,0.199,0.196,0.0909,0.0018,0.0139,0.7,1.0,0.0001,93.64,2.18,24.02,0.303,0.303
amarante_do_maranhão__ma,All,41849.0,0.132,0.196,0.0909,0.0035,0.0135,0.7,1.0,0.0002,842.72,1.45,15.95,1.73,1.73
amargosa__ba,All,37613.0,0.177,0.196,0.0909,0.004,0.0099,0.7,1.0,0.0016,195.07,1.94,21.37,0.247,0.247
amaturá__am,All,11651.0,0.499,0.196,0.0909,0.0012,0.0307,0.7,1.0,0.0,2322.69,5.49,60.42,1.06,1.06
americana__sp,All,241993.0,0.116,0.196,0.0909,0.0059,0.013,0.7,1.0,0.0003,4265.64,1.28,14.09,0.486,0.486
americano_do_brasil__go,All,6172.0,0.0436,0.196,0.0909,0.0035,0.0123,0.7,1.0,0.0005,431.77,0.479,5.27,1.16,1.16
amontada__ce,All,43887.0,0.156,0.196,0.0909,0.0015,0.0069,0.7,1.0,0.0,3513.95,1.72,18.91,1.53,1.53
amparo__sp,All,72917.0,0.12,0.196,0.0909,0.0057,0.0095,0.7,1.0,0.0002,733.48,1.32,14.51,0.372,0.372
américo_brasiliense__sp,All,40909.0,0.111,0.196,0.0909,0.0018,0.0066,0.7,1.0,0.0001,632.04,1.22,13.42,0.506,0.506
anadia__al,All,17720.0,0.156,0.196,0.0909,0.0013,0.0143,0.7,1.0,0.0001,541.01,1.71,18.82,0.525,0.525
anagé__ba,All,22225.0,0.127,0.196,0.0909,0.0068,0.12,0.7,1.0,0.0008,85.83,1.39,15.38,0.783,0.783
anajatuba__ma,All,27071.0,0.172,0.196,0.0909,0.0042,0.0186,0.7,1.0,0.0003,496.79,1.89,20.84,0.639,0.639
anajás__pa,All,29570.0,0.168,0.196,0.0909,0.0046,0.0118,0.7,1.0,0.0003,582.62,1.85,20.32,0.627,0.627
ananindeua__pa,All,535904.0,0.13,0.196,0.0909,0.0113,0.0101,0.7,1.0,0.0003,6606.54,1.43,15.76,2.49,2.49
ananás__to,All,9644.0,0.128,0.196,0.0909,0.0033,0.024,0.7,1.0,,171.67,1.41,15.5,0.451,0.451
anapu__pa,All,28169.0,0.147,0.196,0.0909,0.002,0.0338,0.7,1.0,0.0001,756.89,1.62,17.85,1.87,1.87
anapurus__ma,All,15889.0,0.0961,0.196,0.0909,0.0012,0.0491,0.7,1.0,0.0,2158.83,1.06,11.64,0.333,0.333
anchieta__es,All,29556.0,0.211,0.196,0.0909,0.0032,0.25,0.7,1.0,0.0001,0.0,2.32,25.64,2.72,2.72
andirá__pr,All,20231.0,0.15,0.196,0.0909,0.0032,0.022,0.7,1.0,0.0001,20.81,1.64,18.09,3.11,3.11
andorinha__ba,All,14741.0,0.247,0.196,0.0909,0.0086,0.0122,0.7,1.0,0.0012,44.22,2.71,29.86,0.409,0.409
andradas__mg,All,41488.0,0.0182,0.196,0.0909,0.0033,0.0279,0.7,1.0,0.0002,426.56,0.2,2.22,2.83,2.83
andradina__sp,All,57729.0,0.103,0.196,0.0909,0.0101,0.0231,0.7,1.0,0.0004,252.3,1.13,12.47,1.48,1.48
angatuba__sp,All,25480.0,0.116,0.196,0.0909,0.0038,0.023,0.7,1.0,0.0005,403.15,1.28,14.07,0.447,0.447
angelim__pe,All,11262.0,0.0988,0.196,0.0909,0.0065,0.0069,0.7,1.0,,174.27,1.09,11.95,0.424,0.424
angical_do_piauí__pi,All,6856.0,0.235,0.196,0.0909,0.0015,0.0372,0.7,1.0,0.0004,280.91,2.58,28.4,0.404,0.404
angicos__rn,All,11831.0,0.42,0.196,0.0909,0.004,0.25,0.7,1.0,0.0001,0.0,4.62,50.88,1.03,1.03
angra_dos_reis__rj,All,205823.0,0.11,0.196,0.0909,0.005,0.0228,0.7,1.0,0.0001,8614.51,1.21,13.3,1.43,1.43
anori__am,All,21220.0,0.34,0.196,0.0909,0.0012,0.0497,0.7,1.0,0.0,0.0,3.75,41.2,1.36,1.36
antonina__pr,All,19170.0,0.228,0.196,0.0909,0.0034,0.0512,0.7,1.0,0.0003,85.83,2.51,27.63,0.237,0.237
antônio_carlos__sc,All,8598.0,0.227,0.196,0.0909,0.0035,0.0268,0.7,1.0,0.0005,195.07,2.49,27.44,0.452,0.452
antônio_dias__mg,All,9411.0,0.0801,0.196,0.0909,0.0025,0.0105,0.7,1.0,0.0,213.28,0.881,9.69,0.606,0.606
anápolis__go,All,390792.0,0.11,0.196,0.0909,0.0026,0.0161,0.7,1.0,0.0001,5462.1,1.21,13.35,0.401,0.401
aparecida__pb,All,8430.0,0.137,0.196,0.0909,0.0048,0.25,0.7,1.0,0.0005,106.64,1.5,16.77,0.372,0.372
aparecida_de_goiânia__go,All,583961.0,0.0832,0.196,0.0909,0.003,0.0093,0.7,1.0,0.0001,20334.62,0.916,10.07,0.755,0.755
aparecida_do_rio_doce__go,All,2499.0,0.115,0.196,0.0909,0.0063,0.0083,0.7,1.0,0.0003,44.22,1.27,13.92,0.685,0.685
aperibé__rj,All,11877.0,0.0943,0.196,0.0909,0.0029,0.023,0.7,1.0,0.0001,483.79,1.04,11.42,0.629,0.629
apiacá__es,All,7643.0,0.223,0.196,0.0909,0.0048,0.25,0.7,1.0,0.0006,0.0,2.45,27.11,1.17,1.17
apiaí__sp,All,24618.0,0.0426,0.196,0.0909,0.0043,0.008,0.7,1.0,0.0012,429.16,0.469,5.16,0.954,0.954
apicum-açu__ma,All,17411.0,0.146,0.196,0.0909,0.0022,0.0012,0.7,1.0,0.0004,0.0,1.6,17.64,1.55,1.55
apodi__rn,All,36203.0,0.227,0.196,0.0909,0.0022,0.25,0.7,1.0,0.0002,0.0,2.5,27.62,2.43,2.43
aporá__ba,All,17908.0,0.119,0.196,0.0909,0.0079,0.0098,0.7,1.0,0.0006,65.02,1.31,14.38,1.39,1.39
apucarana__pr,All,136346.0,0.116,0.196,0.0909,0.0103,0.0202,0.7,1.0,0.0008,712.67,1.28,14.06,0.513,0.513
apuiarés__ce,All,14746.0,0.167,0.196,0.0909,0.0053,0.0312,0.7,1.0,0.0001,98.84,1.84,20.2,2.17,2.17
aquidabã__se,All,21779.0,0.141,0.196,0.0909,0.0063,0.0136,0.7,1.0,0.0011,777.7,1.55,17.1,0.405,0.405
aquiraz__ce,All,81074.0,0.134,0.196,0.0909,0.0024,0.0194,0.7,1.0,0.0001,3766.25,1.47,16.2,1.89,1.89
aracaju__se,All,663583.0,0.134,0.196,0.0909,0.0032,0.0025,0.7,1.0,0.0,64353.94,1.48,16.23,0.381,0.381
aracati__ce,All,75292.0,0.149,0.196,0.0909,0.0032,0.0083,0.7,1.0,0.0001,4216.22,1.64,18.09,1.99,1.99
araci__ba,All,54923.0,0.144,0.196,0.0909,0.0012,0.0083,0.7,1.0,0.0003,1381.13,1.59,17.47,0.169,0.169
aracoiaba__ce,All,26734.0,0.176,0.196,0.0909,0.0013,0.0156,0.7,1.0,0.0,2611.4,1.94,21.32,1.26,1.26
aracruz__es,All,102232.0,0.3,0.196,0.0909,0.0031,0.25,0.7,1.0,0.0002,0.0,3.3,36.37,0.818,0.818
aragarças__go,All,20319.0,0.0829,0.196,0.0909,0.0064,0.134,0.7,1.0,0.0012,280.91,0.912,10.14,1.0,1.0
aragoiânia__go,All,10411.0,0.119,0.196,0.0909,0.0063,0.014,0.7,1.0,0.0018,106.64,1.31,14.42,0.818,0.818
araguanã__ma,All,15580.0,0.148,0.196,0.0909,,0.0056,0.7,1.0,,671.06,1.63,17.91,1.64,1.64
araguanã__to,All,5786.0,0.106,0.196,0.0909,0.0045,0.0391,0.7,1.0,0.0004,130.05,1.17,12.85,0.679,0.679
araguari__mg,All,118440.0,0.0268,0.196,0.0909,0.001,0.0192,0.7,1.0,0.0001,13132.45,0.295,3.25,1.35,1.35
araguatins__to,All,36119.0,0.103,0.196,0.0909,0.011,0.0135,0.7,1.0,0.0004,842.72,1.13,12.41,0.747,0.747
araguaçu__to,All,8602.0,0.0971,0.196,0.0909,0.0023,0.102,0.7,1.0,0.0006,624.24,1.07,11.8,0.695,0.695
araguaína__to,All,182275.0,0.147,0.196,0.0909,0.0023,0.0209,0.7,1.0,0.0001,11743.51,1.61,17.73,0.89,0.89
araioses__ma,All,46904.0,0.117,0.196,0.0909,0.0019,0.0096,0.7,1.0,0.0001,1360.32,1.28,14.13,0.831,0.831
arame__ma,All,33028.0,0.133,0.196,0.0909,0.0042,0.0078,0.7,1.0,0.0001,44.22,1.46,16.09,1.61,1.61
arapiraca__al,All,234064.0,0.134,0.196,0.0909,0.0022,0.0077,0.7,1.0,0.0002,12521.21,1.47,16.22,0.332,0.332
arapoema__to,All,6709.0,0.314,0.196,0.0909,0.0169,0.0408,0.7,1.0,0.0006,23.41,3.45,37.95,0.345,0.345
arapongas__pr,All,124257.0,0.0933,0.196,0.0909,0.0054,0.0491,0.7,1.0,0.0008,1446.16,1.03,11.3,0.845,0.845
araporã__mg,All,6938.0,0.0014,0.196,0.0909,0.0027,0.0644,0.7,1.0,0.0006,1201.66,0.015,0.728,3.11,3.11
arapoti__pr,All,28396.0,0.171,0.196,0.0909,0.0019,0.024,0.7,1.0,0.0001,85.83,1.88,20.67,0.824,0.824
araputanga__mt,All,16990.0,0.244,0.196,0.0909,0.0042,0.001,0.7,1.0,0.0006,130.05,2.68,29.48,0.35,0.35
araquari__sc,All,38510.0,0.157,0.196,0.0909,,0.0609,0.7,1.0,,780.3,1.72,18.97,0.479,0.479
arara__pb,All,13605.0,0.135,0.196,0.0909,0.0017,0.25,0.7,1.0,0.0006,390.15,1.48,16.55,0.375,0.375
araranguá__sc,All,68910.0,0.137,0.196,0.0909,0.0012,0.0072,0.7,1.0,0.0001,780.3,1.51,16.6,0.538,0.538
araraquara__sp,All,238433.0,0.105,0.196,0.0909,0.0016,0.0005,0.7,1.0,0.0001,4993.92,1.15,12.7,0.47,0.47
araras__sp,All,135578.0,0.11,0.196,0.0909,0.0041,0.0094,0.7,1.0,0.0006,2850.7,1.21,13.34,0.379,0.379
ararendá__ce,All,11044.0,0.17,0.196,0.0909,0.0053,0.0033,0.7,1.0,0.0013,200.28,1.87,20.55,0.166,0.166
arari__ma,All,30146.0,0.124,0.196,0.0909,0.004,0.0059,0.7,1.0,0.0002,195.07,1.37,15.02,1.67,1.67
araricá__rs,All,5755.0,0.0864,0.196,0.0909,0.0098,0.0717,0.7,1.0,0.0003,65.02,0.951,10.49,1.03,1.03
araripe__ce,All,21816.0,0.0298,0.196,0.0909,,0.0145,0.7,1.0,,1758.28,0.328,3.61,2.16,2.16
araripina__pe,All,85262.0,0.0977,0.196,0.0909,0.0036,0.0123,0.7,1.0,0.0004,949.36,1.07,11.82,0.49,0.49
araruama__rj,All,133724.0,0.112,0.196,0.0909,0.0128,0.0071,0.7,1.0,0.0006,1071.61,1.23,13.51,1.64,1.64
araruna__pb,All,20515.0,0.0956,0.196,0.0909,0.006,0.25,0.7,1.0,0.0012,777.7,1.05,11.88,0.629,0.629
araruna__pr,All,14110.0,0.15,0.196,0.0909,0.011,0.0347,0.7,1.0,0.0014,130.05,1.65,18.17,0.374,0.374
aratuba__ce,All,11965.0,0.127,0.196,0.0909,,0.0366,0.7,1.0,,1053.4,1.4,15.41,0.704,0.704
araucária__pr,All,145281.0,0.196,0.196,0.0909,0.0023,0.0229,0.7,1.0,0.0002,1662.04,2.16,23.72,0.196,0.196
arauá__se,All,10157.0,0.0797,0.196,0.0909,0.0145,0.027,0.7,1.0,0.0014,431.77,0.877,9.65,0.618,0.618
araxá__mg,All,107291.0,0.09,0.196,0.0909,0.0017,0.0031,0.7,1.0,0.0001,1799.89,0.99,10.89,1.04,1.04
araçagi__pb,All,17157.0,0.0896,0.196,0.0909,0.001,0.25,0.7,1.0,0.0001,1812.9,0.986,11.19,0.698,0.698
araçariguama__sp,All,22588.0,0.135,0.196,0.0909,0.0033,0.0188,0.7,1.0,0.0004,327.73,1.49,16.4,0.229,0.229
araçatuba__sp,All,198986.0,0.116,0.196,0.0909,0.0037,0.0197,0.7,1.0,0.0003,6536.31,1.28,14.03,0.54,0.54
araçoiaba__pe,All,20729.0,0.125,0.196,0.0909,0.0196,0.009,0.7,1.0,0.0005,85.83,1.37,15.12,2.57,2.57
araçoiaba_da_serra__sp,All,34487.0,0.107,0.196,0.0909,0.0042,0.0264,0.7,1.0,0.0003,429.16,1.17,12.91,0.55,0.55
arcos__mg,All,40493.0,0.108,0.196,0.0909,0.0013,0.0177,0.7,1.0,0.0001,559.21,1.18,13.02,0.597,0.597
arcoverde__pe,All,75081.0,0.112,0.196,0.0909,0.0106,0.0138,0.7,1.0,0.0007,1425.35,1.23,13.53,0.566,0.566
areal__rj,All,12698.0,0.108,0.196,0.0909,0.0014,0.0126,0.7,1.0,0.0,304.32,1.19,13.1,1.24,1.24
areia__pb,All,23047.0,0.11,0.196,0.0909,,0.25,0.7,1.0,,647.65,1.21,13.56,0.717,0.717
areia_branca__rn,All,28052.0,0.229,0.196,0.0909,0.0112,0.25,0.7,1.0,0.0003,0.0,2.52,27.88,1.81,1.81
areia_branca__se,All,18727.0,0.121,0.196,0.0909,0.0063,0.0336,0.7,1.0,0.0007,1014.39,1.33,14.63,0.571,0.571
areial__pb,All,7068.0,0.0703,0.196,0.0909,0.0052,0.25,0.7,1.0,0.0004,150.86,0.773,8.94,1.88,1.88
areiópolis__sp,All,11240.0,0.0659,0.196,0.0909,0.0189,0.0292,0.7,1.0,0.0005,101.44,0.725,7.98,0.594,0.594
arenápolis__mt,All,9703.0,0.158,0.196,0.0909,0.0034,0.0131,0.7,1.0,0.0005,182.07,1.73,19.08,0.385,0.385
aripuanã__mt,All,22578.0,0.167,0.196,0.0909,0.0032,0.0455,0.7,1.0,0.0005,208.08,1.84,20.27,0.678,0.678
ariquemes__ro,All,108942.0,0.241,0.196,0.0909,0.0024,0.25,0.7,1.0,0.0001,0.0,2.65,29.25,1.81,1.81
armação_dos_búzios__rj,All,34209.0,0.115,0.196,0.0909,0.0059,0.0536,0.7,1.0,0.0005,52.02,1.26,13.87,0.668,0.668
arneiroz__ce,All,7918.0,0.158,0.196,0.0909,0.003,0.0091,0.7,1.0,0.0006,52.02,1.74,19.13,0.708,0.708
aroazes__pi,All,5893.0,0.0152,0.196,0.0909,0.0027,0.0226,0.7,1.0,0.0002,655.45,0.167,1.85,0.954,0.954
arraial_do_cabo__rj,All,30652.0,0.105,0.196,0.0909,0.008,0.0111,0.7,1.0,0.0004,306.92,1.15,12.67,1.35,1.35
arroio_dos_ratos__rs,All,14293.0,0.199,0.196,0.0909,0.014,0.043,0.7,1.0,0.0029,20.81,2.18,24.03,0.335,0.335
artur_nogueira__sp,All,54952.0,0.128,0.196,0.0909,0.0031,0.0089,0.7,1.0,0.0004,379.75,1.41,15.46,0.404,0.404
arujá__sp,All,90722.0,0.11,0.196,0.0909,0.0094,0.0131,0.7,1.0,0.0003,2294.08,1.21,13.37,0.82,0.82
