Country,Date,Latitude,Longitude,Estimated Population,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff3 Recovered,Diff3 Deaths,Diff3 Closed,Diff3 Active,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Azerbaijan,2020-04-12,40.14,47.58,10175641,,,1098,250,11,261,837,,,,,,,,,,,,,,,,0.0421,0.01,0.034,107.9,1.08,24.57,25.65,82.26,,
Bahamas,2020-04-12,25.03,-77.3963,396839,,,46,5,8,13,33,,,,,,,,,,,,,,,,0.615,0.174,0.034,115.92,20.16,12.6,32.76,83.16,,
Bahrain,2020-04-12,26.03,50.55,1726667,63973,Units Unclear,1136,558,6,564,572,,,,,,,,,,,,,,,,0.0106,0.0053,0.034,657.91,3.47,323.17,326.64,331.27,56.31,37049.99
Bangladesh,2020-04-12,23.68,90.36,165611088,9653,Samples Tested,621,39,34,73,548,,,,,,,,,,,,,,,,0.466,0.0548,0.034,3.75,0.205,0.235,0.441,3.31,15.54,58.29
Barbados,2020-04-12,13.19,-59.5432,288373,,,71,11,4,15,56,,,,,,,,,,,,,,,,0.267,0.0563,0.034,246.21,13.87,38.15,52.02,194.19,,
Belarus,2020-04-12,53.71,27.95,9429921,64000,Samples Tested,2578,203,26,229,2349,,,,,,,,,,,,,,,,0.114,0.0101,0.034,273.39,2.76,21.53,24.28,249.1,24.83,6786.91
Belgium,2020-04-12,50.83,4.0,11572730,115800,Units Unclear,29647,6463,3600,10063,19584,,,,,,,,,,,,,,,,0.358,0.121,0.034,2561.8,311.08,558.47,869.54,1692.25,3.91,10006.28
Belize,2020-04-12,13.19,-59.5432,402155,,,14,0,2,2,12,,,,,,,,,,,,,,,,1.0,0.143,0.034,34.81,4.97,0.0,4.97,29.84,,
Benin,2020-04-12,9.31,2.32,12160701,,,35,5,1,6,29,,,,,,,,,,,,,,,,0.167,0.0286,0.034,2.88,0.0822,0.411,0.493,2.38,,
Bhutan,2020-04-12,27.51,90.43,775132,,,5,2,0,2,3,,,,,,,,,,,,,,,,0.0,0.0,0.034,6.45,0.0,2.58,2.58,3.87,,
Bolivia,2020-04-12,-16.2902,-63.5887,11736772,2528,People Tested,300,2,24,26,274,,,,,,,,,,,,,,,,0.923,0.08,0.034,25.56,2.04,0.17,2.22,23.35,8.43,215.39
Bosnia And Herzegovina,2020-04-12,43.92,17.68,3279568,,,1009,193,39,232,777,,,,,,,,,,,,,,,,0.168,0.0387,0.034,307.66,11.89,58.85,70.74,236.92,,
Botswana,2020-04-12,-22.3285,24.68,2334686,,,13,0,1,1,12,,,,,,,,,,,,,,,,1.0,0.0769,0.034,5.57,0.428,0.0,0.428,5.14,,
Brazil,2020-04-12,-14.235,-51.9253,213724406,,,22192,173,1223,1396,20796,,,,,,,,,,,,,,,,0.876,0.0551,0.034,103.83,5.72,0.809,6.53,97.3,,
Brunei,2020-04-12,4.54,114.73,441178,,,136,106,1,107,29,,,,,,,,,,,,,,,,0.0093,0.0074,0.034,308.27,2.27,240.27,242.53,65.73,,
Bulgaria,2020-04-12,42.73,25.49,6908148,18502,Samples Tested,675,68,29,97,578,,,,,,,,,,,,,,,,0.299,0.043,0.034,97.71,4.2,9.84,14.04,83.67,27.41,2678.29
Burkina Faso,2020-04-12,12.24,-1.5616,20953200,,,497,161,27,188,309,,,,,,,,,,,,,,,,0.144,0.0543,0.034,23.72,1.29,7.68,8.97,14.75,,
Burma,2020-04-12,21.92,95.96,,,,41,2,4,6,35,,,,,,,,,,,,,,,,0.667,0.0976,0.034,,,,,,,
Burundi,2020-04-12,-3.3731,29.92,11893778,,,5,0,0,0,5,,,,,,,,,,,,,,,,NaN,0.0,0.034,0.42,0.0,0.0,0.0,0.42,,
Cabo Verde,2020-04-12,16.54,-23.0418,558398,,,8,1,1,2,6,,,,,,,,,,,,,,,,0.5,0.125,0.034,14.33,1.79,1.79,3.58,10.75,,
Cambodia,2020-04-12,11.55,104.92,16782527,,,122,77,0,77,45,,,,,,,,,,,,,,,,0.0,0.0,0.034,7.27,0.0,4.59,4.59,2.68,,
Central African Republic,2020-04-12,6.61,20.94,4796900,,,8,0,0,0,8,,,,,,,,,,,,,,,,NaN,0.0,0.034,1.67,0.0,0.0,0.0,1.67,,
Chad,2020-04-12,15.45,18.73,16575069,,,18,2,0,2,16,,,,,,,,,,,,,,,,0.0,0.0,0.034,1.09,0.0,0.121,0.121,0.965,,
Chile,2020-04-12,-35.6751,-71.543,19148883,82271,Samples Tested,7213,2059,80,2139,5074,,,,,,,,,,,,,,,,0.0374,0.0111,0.034,376.68,4.18,107.53,111.7,264.98,11.41,4296.39
China,2020-04-12,32.6,111.04,1407987086,,,80383,75613,3299,78912,1471,,,,,,,,,,,,,,,,0.0418,0.041,0.034,57.09,2.34,53.7,56.05,1.04,,
Colombia,2020-04-12,4.57,-74.2973,50907732,41780,Samples Tested,2776,270,109,379,2397,,,,,,,,,,,,,,,,0.288,0.0393,0.034,54.53,2.14,5.3,7.44,47.09,15.05,820.7
Comoros,2020-04-12,-11.6455,43.33,872888,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Congo-Brazzaville,2020-04-12,-4.0383,21.76,5554412,,,60,5,5,10,50,,,,,,,,,,,,,,,,0.5,0.0833,0.034,10.8,0.9,0.9,1.8,9.0,,
Congo-Kinshasa,2020-04-12,-4.0383,21.76,89656528,,,234,16,20,36,198,,,,,,,,,,,,,,,,0.556,0.0855,0.034,2.61,0.223,0.178,0.402,2.21,,
Costa Rica,2020-04-12,9.75,-83.7534,5130266,6690,People Tested,595,56,3,59,536,,,,,,,,,,,,,,,,0.0508,0.005,0.034,115.98,0.585,10.92,11.5,104.48,11.24,1304.03
Cote D'Ivoire,2020-04-12,7.54,-5.5471,26269866,,,574,85,5,90,484,,,,,,,,,,,,,,,,0.0556,0.0087,0.034,21.85,0.19,3.24,3.43,18.42,,
Croatia,2020-04-12,45.1,15.2,4047622,16381,Units Unclear,1600,373,23,396,1204,,,,,,,,,,,,,,,,0.0581,0.0144,0.034,395.29,5.68,92.15,97.84,297.46,10.24,4047.07
Cuba,2020-04-12,22.0,-80.0,11361908,17133,Samples Tested,669,92,18,110,559,,,,,,,,,,,,,,,,0.164,0.0269,0.034,58.88,1.58,8.1,9.68,49.2,25.61,1507.93
Cyprus,2020-04-12,35.13,33.43,1220282,,,633,65,11,76,557,,,,,,,,,,,,,,,,0.145,0.0174,0.034,518.73,9.01,53.27,62.28,456.45,,
Denmark,2020-04-12,63.29,-13.3381,5846408,70125,People Tested,6369,2291,273,2564,3805,,,,,,,,,,,,,,,,0.106,0.0429,0.034,1089.39,46.7,391.86,438.56,650.83,11.01,11994.54
Diamond Princess,2020-04-12,0.0,0.0,,,,712,619,11,630,82,,,,,,,,,,,,,,,,0.0175,0.0154,0.034,,,,,,,
Djibouti,2020-04-12,11.83,42.59,990313,,,214,36,2,38,176,,,,,,,,,,,,,,,,0.0526,0.0093,0.034,216.09,2.02,36.35,38.37,177.72,,
Dominica,2020-04-12,15.42,-61.371,71848,,,16,8,0,8,8,,,,,,,,,,,,,,,,0.0,0.0,0.034,222.69,0.0,111.35,111.35,111.35,,
Dominican Republic,2020-04-12,18.74,-70.1627,10898284,,,2967,131,173,304,2663,,,,,,,,,,,,,,,,0.569,0.0583,0.034,272.24,15.87,12.02,27.89,244.35,,
Ecuador,2020-04-12,-1.8312,-78.1834,17659604,14584,Samples Tested,7466,501,333,834,6632,,,,,,,,,,,,,,,,0.399,0.0446,0.034,422.77,18.86,28.37,47.23,375.55,1.95,825.84
Egypt,2020-04-12,26.0,30.0,102413231,,,2065,589,159,748,1317,,,,,,,,,,,,,,,,0.213,0.077,0.034,20.16,1.55,5.75,7.3,12.86,,
El Salvador,2020-04-12,13.79,-88.8965,6482845,6729,Samples Tested,125,21,6,27,98,,,,,,,,,,,,,,,,0.222,0.048,0.034,19.28,0.926,3.24,4.16,15.12,53.83,1037.97
Equatorial Guinea,2020-04-12,1.5,10.0,1425866,,,21,3,0,3,18,,,,,,,,,,,,,,,,0.0,0.0,0.034,14.73,0.0,2.1,2.1,12.62,,
Eritrea,2020-04-12,15.18,39.78,3336933,,,34,0,0,0,34,,,,,,,,,,,,,,,,NaN,0.0,0.034,10.19,0.0,0.0,0.0,10.19,,
Estonia,2020-04-12,58.6,25.01,1313895,30742,Samples Tested,1309,98,25,123,1186,,,,,,,,,,,,,,,,0.203,0.0191,0.034,996.27,19.03,74.59,93.61,902.66,23.49,23397.61
Eswatini,2020-04-12,-26.5225,31.47,1151731,,,14,7,0,7,7,,,,,,,,,,,,,,,,0.0,0.0,0.034,12.16,0.0,6.08,6.08,6.08,,
Ethiopia,2020-04-12,9.14,40.49,115468813,3863,Samples Tested,71,10,3,13,58,,,,,,,,,,,,,,,,0.231,0.0423,0.034,0.615,0.026,0.0866,0.113,0.502,54.41,33.45
Fiji,2020-04-12,-17.7134,178.06,891926,,,16,0,0,0,16,,,,,,,,,,,,,,,,NaN,0.0,0.034,17.94,0.0,0.0,0.0,17.94,,
Finland,2020-04-12,64.0,26.0,5554574,49416,Samples Tested,2974,300,56,356,2618,,,,,,,,,,,,,,,,0.157,0.0188,0.034,535.41,10.08,54.01,64.09,471.32,16.62,8896.45
France,2020-04-12,8.31,5.43,67687174,333807,Samples Tested,121712,27469,14412,41881,79831,,,,,,,,,,,,,,,,0.344,0.118,0.034,1798.15,212.92,405.82,618.74,1179.41,2.74,4931.61
Gabon,2020-04-12,-0.8037,11.61,2251673,,,49,1,1,2,47,,,,,,,,,,,,,,,,0.5,0.0204,0.034,21.76,0.444,0.444,0.888,20.87,,
Gambia,2020-04-12,13.44,-15.3101,2423338,,,9,2,1,3,6,,,,,,,,,,,,,,,,0.333,0.111,0.034,3.71,0.413,0.825,1.24,2.48,,
Georgia,2020-04-12,42.32,43.36,3689506,,,257,67,3,70,187,,,,,,,,,,,,,,,,0.0429,0.0117,0.034,69.66,0.813,18.16,18.97,50.68,,
Germany,2020-04-12,51.0,9.0,82983285,1749888,Samples Tested,127854,60300,3022,63322,64532,,,,,,,,,,,,,,,,0.0477,0.0236,0.034,1540.72,36.42,726.65,763.07,777.65,13.69,21087.23
Ghana,2020-04-12,7.95,-1.0232,31239088,37954,Units Unclear,566,4,8,12,554,,,,,,,,,,,,,,,,0.667,0.0141,0.034,18.12,0.256,0.128,0.384,17.73,67.06,1214.95
Greece,2020-04-12,39.07,21.82,10723526,42261,Samples Tested,2114,269,98,367,1747,,,,,,,,,,,,,,,,0.267,0.0464,0.034,197.14,9.14,25.09,34.22,162.91,19.99,3940.96
Guatemala,2020-04-12,15.78,-90.2308,18016276,,,155,19,5,24,131,,,,,,,,,,,,,,,,0.208,0.0323,0.034,8.6,0.278,1.05,1.33,7.27,,
Guinea,2020-04-12,9.95,-9.6966,12992595,,,250,17,0,17,233,,,,,,,,,,,,,,,,0.0,0.0,0.034,19.24,0.0,1.31,1.31,17.93,,
Guinea-Bissau,2020-04-12,11.8,-15.1804,1969276,,,38,0,0,0,38,,,,,,,,,,,,,,,,NaN,0.0,0.034,19.3,0.0,0.0,0.0,19.3,,
Guyana,2020-04-12,5.0,-58.75,782677,,,45,8,6,14,31,,,,,,,,,,,,,,,,0.429,0.133,0.034,57.49,7.67,10.22,17.89,39.61,,
Haiti,2020-04-12,18.97,-72.2852,11466044,,,33,0,3,3,30,,,,,,,,,,,,,,,,1.0,0.0909,0.034,2.88,0.262,0.0,0.262,2.62,,
Holy See,2020-04-12,41.9,12.45,,,,8,2,0,2,6,,,,,,,,,,,,,,,,0.0,0.0,0.034,,,,,,,
Honduras,2020-04-12,15.2,-86.2419,9997955,,,393,7,25,32,361,,,,,,,,,,,,,,,,0.781,0.0636,0.034,39.31,2.5,0.7,3.2,36.11,,
Hungary,2020-04-12,47.16,19.5,9728346,33532,Samples Tested,1410,118,99,217,1193,,,,,,,,,,,,,,,,0.456,0.0702,0.034,144.94,10.18,12.13,22.31,122.63,23.78,3446.83
Iceland,2020-04-12,64.96,-19.0208,361714,35447,Samples,1701,889,8,897,804,,,,,,,,,,,,,,,,0.0089,0.0047,0.034,4702.61,22.12,2457.74,2479.86,2222.75,20.84,97997.31
India,2020-04-12,21.0,78.0,1390254545,181028,People Tested,9205,1080,331,1411,7794,,,,,,,,,,,,,,,,0.235,0.036,0.034,6.62,0.238,0.777,1.01,5.61,19.67,130.21
India,2020-04-12,21.0,78.0,1390254545,195748,Samples Tested,9205,1080,331,1411,7794,,,,,,,,,,,,,,,,0.235,0.036,0.034,6.62,0.238,0.777,1.01,5.61,21.27,140.8
Indonesia,2020-04-12,-0.7893,113.92,274757901,27075,People Tested,4241,359,373,732,3509,,,,,,,,,,,,,,,,0.51,0.088,0.034,15.44,1.36,1.31,2.66,12.77,6.38,98.54
Iran,2020-04-12,32.0,53.0,83827713,263388,Samples Tested,71686,43894,4474,48368,23318,,,,,,,,,,,,,,,,0.0925,0.0624,0.034,855.16,53.37,523.62,576.99,278.17,3.67,3142.02
Iraq,2020-04-12,33.0,44.0,40593281,,,1352,640,76,716,636,,,,,,,,,,,,,,,,0.106,0.0562,0.034,33.31,1.87,15.77,17.64,15.67,,
Ireland,2020-04-12,53.14,-7.6921,5002283,42484,Units Unclear,9655,25,334,359,9296,,,,,,,,,,,,,,,,0.93,0.0346,0.034,1930.12,66.77,5.0,71.77,1858.35,4.4,8492.92
Israel,2020-04-12,31.0,35.0,9230241,165116,Samples Tested,11145,1627,103,1730,9415,,,,,,,,,,,,,,,,0.0595,0.0092,0.034,1207.44,11.16,176.27,187.43,1020.02,14.82,17888.59
Italy,2020-04-12,43.0,12.0,60821283,1010193,Samples Tested,156363,34211,19899,54110,102253,,,,,,,,,,,,,,,,0.368,0.127,0.034,2570.86,327.17,562.48,889.66,1681.2,6.46,16609.2
Jamaica,2020-04-12,18.11,-77.2975,2967754,,,69,13,4,17,52,,,,,,,,,,,,,,,,0.235,0.058,0.034,23.25,1.35,4.38,5.73,17.52,,
Japan,2020-04-12,36.0,138.0,126494270,77381,People Tested,6748,762,108,870,5878,,,,,,,,,,,,,,,,0.124,0.016,0.034,53.35,0.854,6.02,6.88,46.47,11.47,611.74
Japan,2020-04-12,36.0,138.0,126494270,138537,Samples Tested,6748,762,108,870,5878,,,,,,,,,,,,,,,,0.124,0.016,0.034,53.35,0.854,6.02,6.88,46.47,20.53,1095.2
Jordan,2020-04-12,31.24,36.51,10718956,,,389,201,7,208,181,,,,,,,,,,,,,,,,0.0337,0.018,0.034,36.29,0.653,18.75,19.4,16.89,,
Kazakhstan,2020-04-12,48.02,66.92,18693685,69304,Samples Tested,951,99,10,109,842,,,,,,,,,,,,,,,,0.0917,0.0105,0.034,50.87,0.535,5.3,5.83,45.04,72.87,3707.35
Kenya,2020-04-12,-0.0236,37.91,54177517,7449,Units Unclear,197,25,8,33,164,,,,,,,,,,,,,,,,0.242,0.0406,0.034,3.64,0.148,0.461,0.609,3.03,37.81,137.49
Kosovo,2020-04-12,42.6,20.9,1862192,,,283,58,7,65,218,,,,,,,,,,,,,,,,0.108,0.0247,0.034,151.97,3.76,31.15,34.91,117.07,,
Kuwait,2020-04-12,29.5,47.75,4474225,,,1234,142,1,143,1091,,,,,,,,,,,,,,,,0.007,0.0008,0.034,275.8,0.224,31.74,31.96,243.84,,
Kyrgyzstan,2020-04-12,41.2,74.77,6504691,,,377,54,5,59,318,,,,,,,,,,,,,,,,0.0847,0.0133,0.034,57.96,0.769,8.3,9.07,48.89,,
Latvia,2020-04-12,56.88,24.6,1883606,28214,Samples Tested,651,16,5,21,630,,,,,,,,,,,,,,,,0.238,0.0077,0.034,345.61,2.65,8.49,11.15,334.46,43.34,14978.72
Lebanon,2020-04-12,33.85,35.86,7303125,,,630,80,20,100,530,,,,,,,,,,,,,,,,0.2,0.0317,0.034,86.26,2.74,10.95,13.69,72.57,,
Liberia,2020-04-12,6.43,-9.4295,5108890,,,50,3,5,8,42,,,,,,,,,,,,,,,,0.625,0.1,0.034,9.79,0.979,0.587,1.57,8.22,,
Libya,2020-04-12,26.34,17.23,6844086,,,25,9,1,10,15,,,,,,,,,,,,,,,,0.1,0.04,0.034,3.65,0.146,1.32,1.46,2.19,,
Liechtenstein,2020-04-12,47.14,9.55,38475,,,79,55,1,56,23,,,,,,,,,,,,,,,,0.0179,0.0127,0.034,2053.28,25.99,1429.5,1455.49,597.79,,
Lithuania,2020-04-12,55.17,23.88,2733144,38472,Samples Tested,1053,97,23,120,933,,,,,,,,,,,,,,,,0.192,0.0218,0.034,385.27,8.42,35.49,43.91,341.37,36.54,14076.1
Luxembourg,2020-04-12,49.82,6.13,630779,29315,People Tested,3281,500,66,566,2715,,,,,,,,,,,,,,,,0.117,0.0201,0.034,5201.5,104.63,792.67,897.3,4304.2,8.93,46474.28
MS Zaandam,2020-04-12,0.0,0.0,,,,9,0,2,2,7,,,,,,,,,,,,,,,,1.0,0.222,0.034,,,,,,,
Madagascar,2020-04-12,-18.7669,46.87,27794253,,,106,20,0,20,86,,,,,,,,,,,,,,,,0.0,0.0,0.034,3.81,0.0,0.72,0.72,3.09,,
Malawi,2020-04-12,-13.2543,34.3,19152062,,,13,0,2,2,11,,,,,,,,,,,,,,,,1.0,0.154,0.034,0.679,0.104,0.0,0.104,0.574,,
Malaysia,2020-04-12,2.5,112.5,32622577,77491,People Tested,4683,2108,76,2184,2499,,,,,,,,,,,,,,,,0.0348,0.0162,0.034,143.55,2.33,64.62,66.95,76.6,16.55,2375.38
Maldives,2020-04-12,3.2,73.22,552037,,,20,14,0,14,6,,,,,,,,,,,,,,,,0.0,0.0,0.034,36.23,0.0,25.36,25.36,10.87,,
Mali,2020-04-12,17.57,-3.9962,20292317,,,105,22,9,31,74,,,,,,,,,,,,,,,,0.29,0.0857,0.034,5.17,0.444,1.08,1.53,3.65,,
Malta,2020-04-12,35.94,14.38,496458,,,378,44,3,47,331,,,,,,,,,,,,,,,,0.0638,0.0079,0.034,761.39,6.04,88.63,94.67,666.72,,
Mauritania,2020-04-12,21.01,10.94,4662786,,,7,2,1,3,4,,,,,,,,,,,,,,,,0.333,0.143,0.034,1.5,0.214,0.429,0.643,0.858,,
Mauritius,2020-04-12,-20.2,57.5,1274331,,,324,42,9,51,273,,,,,,,,,,,,,,,,0.176,0.0278,0.034,254.25,7.06,32.96,40.02,214.23,,
Mexico,2020-04-12,23.63,-102.5528,129654253,35675,People Tested,4661,1772,296,2068,2593,,,,,,,,,,,,,,,,0.143,0.0635,0.034,35.95,2.28,13.67,15.95,20.0,7.65,275.15
Moldova,2020-04-12,47.41,28.37,2682880,,,1662,94,31,125,1537,,,,,,,,,,,,,,,,0.248,0.0187,0.034,619.48,11.55,35.04,46.59,572.89,,
Monaco,2020-04-12,43.73,7.42,39486,,,93,6,1,7,86,,,,,,,,,,,,,,,,0.143,0.0108,0.034,2355.27,25.33,151.95,177.28,2177.99,,
Mongolia,2020-04-12,46.86,103.85,3270171,,,16,4,0,4,12,,,,,,,,,,,,,,,,0.0,0.0,0.034,4.89,0.0,1.22,1.22,3.67,,
Montenegro,2020-04-12,42.5,19.3,624177,,,272,5,3,8,264,,,,,,,,,,,,,,,,0.375,0.011,0.034,435.77,4.81,8.01,12.82,422.96,,
Morocco,2020-04-12,31.79,-7.0926,36937822,8604,People Tested,1661,177,118,295,1366,,,,,,,,,,,,,,,,0.4,0.071,0.034,44.97,3.19,4.79,7.99,36.98,5.18,232.93
Namibia,2020-04-12,-22.9576,18.49,2534225,,,16,3,0,3,13,,,,,,,,,,,,,,,,0.0,0.0,0.034,6.31,0.0,1.18,1.18,5.13,,
Nepal,2020-04-12,28.17,84.25,28590852,5184,People Tested,12,1,0,1,11,,,,,,,,,,,,,,,,0.0,0.0,0.034,0.42,0.0,0.035,0.035,0.385,432.0,181.32
Netherlands,2020-04-12,21.41,-53.0056,17383205,131221,People Tested,25746,295,2747,3042,22704,,,,,,,,,,,,,,,,0.903,0.107,0.034,1481.08,158.03,16.97,175.0,1306.09,5.1,7548.72
New Zealand,2020-04-12,-40.9006,174.89,4964681,62827,Samples Tested,1330,471,4,475,855,,,,,,,,,,,,,,,,0.0084,0.003,0.034,267.89,0.806,94.87,95.68,172.22,47.24,12654.79
Nicaragua,2020-04-12,12.87,-85.2072,6642666,,,9,4,1,5,4,,,,,,,,,,,,,,,,0.2,0.111,0.034,1.35,0.151,0.602,0.753,0.602,,
Niger,2020-04-12,17.61,8.08,24213446,,,529,75,12,87,442,,,,,,,,,,,,,,,,0.138,0.0227,0.034,21.85,0.496,3.1,3.59,18.25,,
Nigeria,2020-04-12,9.08,8.68,206401478,5000,Samples Tested,323,85,10,95,228,,,,,,,,,,,,,,,,0.105,0.031,0.034,1.56,0.0484,0.412,0.46,1.1,15.48,24.22
North Macedonia,2020-04-12,41.61,21.75,2088377,,,828,41,34,75,753,,,,,,,,,,,,,,,,0.453,0.0411,0.034,396.48,16.28,19.63,35.91,360.57,,
Norway,2020-04-12,60.47,8.47,5411934,126486,People Tested,6525,32,128,160,6365,,,,,,,,,,,,,,,,0.8,0.0196,0.034,1205.67,23.65,5.91,29.56,1176.1,19.38,23371.68
Oman,2020-04-12,21.0,57.0,5252599,,,599,109,4,113,486,,,,,,,,,,,,,,,,0.0354,0.0067,0.034,114.04,0.762,20.75,21.51,92.53,,
Pakistan,2020-04-12,30.38,69.35,221843678,65114,Samples Tested,5230,1028,91,1119,4111,,,,,,,,,,,,,,,,0.0813,0.0174,0.034,23.58,0.41,4.63,5.04,18.53,12.45,293.51
Panama,2020-04-12,8.54,-80.7821,4328485,15147,Units Unclear,3234,23,79,102,3132,,,,,,,,,,,,,,,,0.775,0.0244,0.034,747.14,18.25,5.31,23.56,723.58,4.68,3499.38
Papua New Guinea,2020-04-12,-6.315,143.96,8983928,,,2,0,0,0,2,,,,,,,,,,,,,,,,NaN,0.0,0.034,0.223,0.0,0.0,0.0,0.223,,
Paraguay,2020-04-12,-23.4425,-58.4438,7165956,3379,Samples Tested,134,22,6,28,106,,,,,,,,,,,,,,,,0.214,0.0448,0.034,18.7,0.837,3.07,3.91,14.79,25.22,471.54
Peru,2020-04-12,-9.19,-75.0152,32670922,76506,Units Unclear,7519,1798,193,1991,5528,,,,,,,,,,,,,,,,0.0969,0.0257,0.034,230.14,5.91,55.03,60.94,169.2,10.18,2341.72
Philippines,2020-04-12,13.0,122.0,110425890,33783,People Tested,4648,197,297,494,4154,,,,,,,,,,,,,,,,0.601,0.0639,0.034,42.09,2.69,1.78,4.47,37.62,7.27,305.93
Poland,2020-04-12,51.92,19.15,37943338,138007,Samples Tested,6674,439,232,671,6003,,,,,,,,,,,,,,,,0.346,0.0348,0.034,175.89,6.11,11.57,17.68,158.21,20.68,3637.19
Portugal,2020-04-12,39.4,-8.2245,10283147,190857,Samples Tested,16585,277,504,781,15804,,,,,,,,,,,,,,,,0.645,0.0304,0.034,1612.83,49.01,26.94,75.95,1536.88,11.51,18560.17
Qatar,2020-04-12,25.35,51.18,3303190,49102,People Tested,2979,275,7,282,2697,,,,,,,,,,,,,,,,0.0248,0.0023,0.034,901.86,2.12,83.25,85.37,816.48,16.48,14865.02
Romania,2020-04-12,45.94,24.97,19160783,62328,Samples Tested,6300,852,316,1168,5132,,,,,,,,,,,,,,,,0.271,0.0502,0.034,328.8,16.49,44.47,60.96,267.84,9.89,3252.89
Russia,2020-04-12,60.0,90.0,144244558,1278747,Samples Tested,15770,1291,130,1421,14349,,,,,,,,,,,,,,,,0.0915,0.0082,0.034,109.33,0.901,8.95,9.85,99.48,81.09,8865.13
Rwanda,2020-04-12,-1.9403,29.87,12916359,5441,Units Unclear,126,25,0,25,101,,,,,,,,,,,,,,,,0.0,0.0,0.034,9.76,0.0,1.94,1.94,7.82,43.18,421.25
Saint Kitts And Nevis,2020-04-12,17.36,-62.783,,,,12,0,0,0,12,,,,,,,,,,,,,,,,NaN,0.0,0.034,,,,,,,
Saint Lucia,2020-04-12,13.91,-60.9789,,,,15,4,0,4,11,,,,,,,,,,,,,,,,0.0,0.0,0.034,,,,,,,
Saint Vincent And The Grenadines,2020-04-12,12.98,-61.2872,,,,12,1,0,1,11,,,,,,,,,,,,,,,,0.0,0.0,0.034,,,,,,,
San Marino,2020-04-12,43.94,12.46,34572,,,356,53,35,88,268,,,,,,,,,,,,,,,,0.398,0.0983,0.034,10297.35,1012.38,1533.03,2545.41,7751.94,,
Sao Tome And Principe,2020-04-12,0.186,6.61,220479,,,4,0,0,0,4,,,,,,,,,,,,,,,,NaN,0.0,0.034,18.14,0.0,0.0,0.0,18.14,,
Saudi Arabia,2020-04-12,24.0,45.0,35582072,,,4462,761,59,820,3642,,,,,,,,,,,,,,,,0.072,0.0132,0.034,125.4,1.66,21.39,23.05,102.35,,
