Key,Group Name,M,β,γ,α,μ,σ(β),σ(γ),σ(α),σ(μ),σ(E),R0,σ(R0),Loss 7 Days,Loss 14 Days
Dominican Republic,All,1.0898284e7,0.05133,0.99,0.06612,0.05889,0.00547,1.621,0.03078,0.0133,492.492,0.7764,0.3708,1.754,1.754
Ecuador,All,1.7659604e7,0.0178,0.6094,0.08239,0.3319,0.00434,0.2645,0.07273,0.1537,296.838,0.2161,0.1979,1.158,1.158
Egypt,All,1.02413231e8,0.06889,0.608,0.02484,0.1445,0.0032,0.379,0.00625,0.01162,773.69,2.773,0.7095,0.7008,0.7008
El Salvador,All,6.482845e6,0.06764,0.4052,0.03927,0.05033,0.01035,0.2816,0.01881,0.00786,134.679,1.722,0.8658,1.166,1.166
Equatorial Guinea,All,1.425866e6,0.05701,0.8504,0.01555,0.06354,0.02489,0.1525,0.01472,0.00464,5.377,3.667,3.823,0.7976,0.7976
Estonia,All,1.313895e6,0.01561,0.1688,0.1411,0.04801,0.00862,0.08628,0.1656,0.01122,20.184,0.1106,0.1434,2.208,2.208
Eswatini,All,1.151731e6,0.05426,0.7836,0.07714,0.01349,0.0197,0.8621,0.01623,0.00237,10.297,0.7034,0.2952,1.156,1.156
Finland,All,5.554574e6,0.02975,0.7929,0.05138,0.05732,0.01072,0.3946,0.06118,0.00222,19.353,0.579,0.7203,0.8515,0.8515
France,All,6.7687174e7,,,,0.305,,,,0.00569,,,,,
Gabon,All,2.251673e6,0.06877,0.5529,0.02777,0.02899,0.01265,0.5081,0.00188,0.00766,185.883,2.476,0.4854,0.2558,0.2558
Georgia,All,3.689506e6,0.02129,0.99,0.05819,0.02345,0.00835,1.027,0.00688,0.00265,3.317,0.3659,0.1499,0.3556,0.3556
Germany,All,8.2983285e7,0.03744,0.5649,0.07536,0.04922,0.00537,0.2762,0.00486,0.00011,393.303,0.4969,0.07813,0.2102,0.2102
Ghana,All,3.1239088e7,0.03016,0.7817,0.01861,0.01533,0.00507,0.7034,0.00013,0.00112,162.694,1.62,0.2726,0.4323,0.4323
Greece,All,1.0723526e7,,,,0.1098,,,,0.00258,,,,,
Guatemala,All,1.8016276e7,0.09266,0.7685,0.01125,0.1738,0.01161,0.3212,0.00388,0.03405,153.086,8.237,3.026,0.8112,0.8112
Guinea,All,1.2992595e7,0.04604,0.99,0.05053,0.01197,0.01208,0.6296,0.03096,0.00089,44.111,0.9112,0.6074,1.203,1.203
Honduras,All,9.997955e6,0.06469,0.7378,0.01026,0.2864,0.00962,0.375,0.00141,0.0169,166.03,6.307,1.277,0.6142,0.6142
Hungary,All,9.728346e6,0.01879,0.7734,0.03094,0.2269,0.00238,0.2951,0.00657,0.01784,14.228,0.6074,0.1501,0.8685,0.8685
India,All,1.390254545e9,0.0873,0.99,0.05367,0.06691,0.00331,6.255,0.00442,0.00638,41230.876,1.627,0.1473,0.3172,0.3172
Indonesia,All,2.74757901e8,0.04486,0.7057,0.01657,0.2038,0.00504,0.3516,0.00161,0.01107,467.918,2.708,0.4017,0.5319,0.5319
Iran,All,8.3827713e7,0.09161,0.7306,0.08054,0.06592,0.00699,0.4162,0.00245,0.00241,1632.592,1.137,0.0935,0.1968,0.1968
Iraq,All,4.0593281e7,0.112,0.7543,0.0574,0.05485,0.01612,0.1919,0.00979,0.00211,63.165,1.951,0.4354,0.6746,0.6746
Ireland,All,5.002283e6,0.02886,0.5901,0.08704,0.07096,0.00995,,0.05717,0.00179,,0.3315,0.2459,0.63,0.63
Israel,All,9.230241e6,0.00623,0.642,0.05877,0.01961,0.00282,,0.00699,0.00064,,0.1059,0.04954,0.4648,0.4648
Italy,All,6.0821283e7,0.00845,0.3493,0.04057,0.191,0.00063,0.02901,0.00305,0.00903,126.457,0.2083,0.02214,0.4703,0.4703
Jamaica,All,2.967754e6,0.01404,0.5608,0.03852,0.04505,0.00365,0.3955,0.01501,0.01389,7.337,0.3644,0.1708,0.7247,0.7247
Japan,All,1.2649427e8,0.00996,0.4098,0.09825,0.05957,0.00285,,0.01027,0.00251,,0.1014,0.03092,0.2991,0.2991
Jordan,All,1.0718956e7,0.04911,0.7641,0.05201,0.01886,0.0204,0.3673,0.02408,0.0021,4.822,0.9443,0.5873,1.06,1.06
Kazakhstan,All,1.8693685e7,0.08579,0.99,0.04475,0.00864,0.00887,1.419,0.01829,0.00123,482.671,1.917,0.8081,0.5795,0.5795
Kenya,All,5.4177517e7,0.08227,0.9722,0.01916,0.1221,0.00986,0.8246,0.00802,0.00835,46.386,4.294,1.869,0.5786,0.5786
Kosovo,All,1.862192e6,0.04226,0.99,0.04763,0.03693,0.0116,2.333,0.02514,0.00179,19.44,0.8873,0.5279,1.708,1.708
Kuwait,All,4.474225e6,0.05949,0.3674,0.02826,0.02391,0.01315,0.05107,0.00649,0.0023,315.64,2.105,0.6713,0.9537,0.9537
Kyrgyzstan,All,6.504691e6,0.08684,0.5889,0.05683,0.01533,0.01138,0.4945,0.01545,0.00106,47.06,1.528,0.4612,0.5583,0.5583
Latvia,All,1.883606e6,0.01977,0.7219,0.02639,0.02972,0.00468,0.1492,0.00638,0.00118,1.766,0.749,0.2536,0.8075,0.8075
Lebanon,All,7.303125e6,0.04731,0.7383,0.07779,0.05582,0.01674,0.7375,0.0909,0.02826,40.365,0.6082,0.7426,5.27,5.27
Liberia,All,5.10889e6,0.04872,0.9492,0.0396,0.1538,0.0095,0.6416,0.01201,0.00392,3.323,1.23,0.4437,1.545,1.545
Lithuania,All,2.733144e6,0.02334,0.99,0.04066,0.05347,0.00255,0.7727,0.00687,0.00116,8.146,0.574,0.1154,0.5199,0.5199
Luxembourg,All,630779.0,0.04871,0.924,0.0857,0.02816,0.01662,0.4127,0.0226,0.00027,1.933,0.5683,0.2451,0.3041,0.3041
Madagascar,All,2.7794253e7,0.1079,0.5111,0.01053,0.01599,0.01569,0.7556,0.00275,0.00736,103.676,10.25,3.066,0.3038,0.3038
Malaysia,All,3.2622577e7,0.0528,0.4401,0.04592,0.01907,0.02047,0.2748,0.00401,0.00068,140.682,1.15,0.457,0.5891,0.5891
Maldives,All,552037.0,0.03321,0.4273,0.01621,0.02545,0.00365,0.09647,0.00944,0.00616,22.191,2.049,1.214,0.6667,0.6667
Mali,All,2.0292317e7,0.07178,0.8758,0.04689,0.09688,0.00436,0.6306,0.00337,0.00362,20.004,1.531,0.1441,0.4236,0.4236
Malta,All,496458.0,0.05762,0.5957,0.03164,0.01343,0.03578,0.07693,0.00505,0.00155,0.9757,1.821,1.168,1.359,1.359
Mauritius,All,1.274331e6,,,,0.03012,,,,0.0,,,,,
Mexico,All,1.29654253e8,0.168,0.5679,0.1804,0.1366,0.0059,1.086,0.00512,0.00297,10086.544,0.9317,0.04207,0.285,0.285
Moldova,All,2.68288e6,0.04145,0.9242,0.04203,0.06992,0.00255,0.3708,0.0185,0.00798,54.416,0.9863,0.4383,0.5298,0.5298
Morocco,All,3.6937822e7,0.02765,0.99,0.05228,0.04274,0.00263,1.236,0.00535,0.00493,93.287,0.5289,0.07393,0.4354,0.4354
Nepal,All,2.8590852e7,0.112,0.99,0.03104,0.02701,0.01775,4.816,0.00957,0.00433,282.516,3.61,1.251,0.6035,0.6035
Netherlands,All,1.7383205e7,,,,,,,,,,,,,
New Zealand,All,4.964681e6,0.01353,0.7608,0.1206,0.01438,0.01238,0.3086,0.04415,0.00019,0.08886,0.1121,0.1106,0.7221,0.7221
Nicaragua,All,6.642666e6,0.2349,0.0972,0.4063,0.08192,0.2261,0.02512,0.2276,0.00397,223.814,0.5781,0.6438,1.11,1.11
Niger,All,2.4213446e7,0.0455,0.99,0.08762,0.07239,0.00647,1.438,0.01729,0.00141,7.823,0.5194,0.1263,0.48,0.48
Nigeria,All,2.06401478e8,0.05351,0.4236,0.02338,0.09584,0.00338,0.2609,0.00399,0.00601,403.905,2.289,0.4163,0.5096,0.5096
North Macedonia,All,2.088377e6,0.05959,0.9344,0.04636,0.07432,0.0041,0.6208,0.0087,0.00172,18.487,1.285,0.2569,0.5104,0.5104
Norway,All,5.411934e6,0.0138,0.5646,0.0322,0.02956,0.0179,0.02149,0.07149,6.0e-5,1.146,0.4285,1.102,3.757,3.757
Oman,All,5.252599e6,0.06769,0.4153,0.01365,0.01726,0.0071,0.299,0.00202,0.00137,599.609,4.959,0.8991,0.2907,0.2907
Pakistan,All,2.21843678e8,0.0565,0.7516,0.02468,0.06417,0.00539,0.3007,0.00282,0.00565,1047.299,2.289,0.3406,0.3754,0.3754
Panama,All,4.328485e6,0.05338,0.502,0.02588,0.04334,0.01168,0.1654,0.0219,0.00325,160.73,2.062,1.802,1.046,1.046
Paraguay,All,7.165956e6,0.01782,0.7944,0.03145,0.03697,0.00505,0.6786,0.0158,0.00987,7.885,0.5666,0.3269,0.6449,0.6449
Peru,All,3.2670922e7,0.06164,0.5806,0.03984,0.06963,0.00281,0.222,0.00559,0.0078,2824.432,1.547,0.2282,0.5156,0.5156
Philippines,All,1.1042589e8,0.02493,0.99,0.01015,0.2167,0.00314,0.6402,0.00114,0.01358,157.643,2.456,0.4144,0.7804,0.7804
Poland,All,3.7943338e7,0.03488,0.9276,0.02655,0.09965,0.00169,0.8493,0.00142,0.00834,384.078,1.314,0.09479,0.4712,0.4712
Portugal,All,1.0283147e7,0.01124,0.2048,0.06806,0.1247,0.00318,0.07857,0.05568,0.05897,420.547,0.1652,0.1429,1.701,1.701
Qatar,All,3.30319e6,0.04763,0.3051,0.02643,0.0025,0.00138,0.1565,0.01215,0.00062,2832.538,1.802,0.83,1.101,1.101
Romania,All,1.9160783e7,0.02939,0.99,0.05096,0.09563,0.00163,1.208,0.00586,0.00491,213.968,0.5767,0.07362,0.3307,0.3307
Russia,All,1.44244558e8,0.03636,0.3773,0.03168,0.03151,0.0013,0.02264,0.00502,0.00425,1421.667,1.148,0.1862,0.5286,0.5286
Rwanda,All,1.2916359e7,,,,0.00398,,,,,,,,,
San Marino,All,34572.0,0.00377,0.7944,0.03137,0.1407,0.00121,,0.00851,0.02178,,0.1202,0.0506,0.5736,0.5736
Saudi Arabia,All,3.5582072e7,0.08015,0.99,0.09024,0.00948,0.00613,0.5088,0.00569,0.00145,1226.934,0.8882,0.08805,0.2705,0.2705
Senegal,All,1.6725284e7,0.04315,0.3186,0.03812,0.02396,0.00322,,0.00537,0.00118,,1.132,0.1805,0.5039,0.5039
Serbia,All,6.92569e6,0.01301,0.8119,0.03069,0.04093,0.00164,0.567,0.00163,0.00434,56.487,0.4239,0.05808,0.2374,0.2374
Sierra Leone,All,8.098006e6,0.07477,0.99,0.05044,0.144,0.01277,1.267,0.00794,0.03161,39.632,1.482,0.3443,0.9008,0.9008
Singapore,All,5.85343e6,0.02768,0.9383,0.05055,0.00172,0.00158,0.37,0.00787,0.00046,208.656,0.5476,0.09084,0.3072,0.3072
Slovakia,All,5.45326e6,0.00956,0.6265,0.07386,0.0217,0.00353,0.521,0.01222,0.00117,3.761,0.1294,0.0524,0.4868,0.4868
Slovenia,All,2.083556e6,,,,0.1003,,,,0.07104,,,,,
Somalia,All,1.5910843e7,,,,0.2269,,,,0.02871,,,,,
South Africa,All,5.9411676e7,0.0991,0.8676,0.06732,0.03826,0.00377,0.6149,0.00919,0.00103,852.497,1.472,0.2086,0.3133,0.3133
South Korea,All,5.2144578e7,0.0303,0.5498,0.05088,0.02547,0.01129,0.2065,0.01211,0.0002,16.284,0.5955,0.2633,1.078,1.078
Spain,All,4.7545141e7,0.01063,0.8741,0.01756,0.1558,0.00207,0.3155,0.0089,0.00313,254.903,0.6052,0.3286,4.023,4.023
Sri Lanka,All,2.2017708e7,0.07276,0.7632,0.04281,0.01441,0.04008,0.3161,0.01602,0.00133,26.325,1.699,1.132,1.061,1.061
Sudan,All,4.3832398e7,0.07084,0.6162,0.01864,0.2566,0.01189,0.3935,0.006,0.0394,215.556,3.801,1.38,1.558,1.558
Sweden,All,1.0331337e7,,,,0.4447,,,,0.015,,,,,
Switzerland,All,8.6753e6,0.02067,0.7766,0.09819,0.06369,0.00222,0.1079,0.01782,0.00025,3.072,0.2105,0.04442,0.4372,0.4372
Thailand,All,7.0187992e7,0.02579,0.9563,0.1129,0.01904,0.01281,0.6588,0.03835,0.00015,1.321,0.2284,0.1375,1.208,1.208
Togo,All,8.313208e6,0.04118,0.5312,0.04361,0.08082,0.01777,0.07939,0.02265,0.01576,2.392,0.9444,0.6377,0.7855,0.7855
Tunisia,All,1.1792303e7,0.01231,0.99,0.07884,0.05043,0.00227,0.9355,0.02359,0.00186,0.9545,0.1561,0.05484,1.168,1.168
Turkey,All,8.4767099e7,0.02771,0.4273,0.04062,0.03536,0.00198,0.1332,0.00455,0.00066,750.605,0.6822,0.09064,0.1651,0.1651
Ukraine,All,4.4143362e7,0.02759,0.4181,0.0246,0.08167,0.00096,0.00471,0.00183,0.00747,10.562,1.122,0.09209,0.4111,0.4111
United Arab Emirates,All,1.0910461e7,0.05555,0.6672,0.04976,0.01825,0.00266,0.3995,0.01784,0.00382,760.331,1.116,0.4038,1.162,1.162
United Kingdom,All,6.7359087e7,,,,,,,,,,,,,
United States,All,3.32049547e8,0.01797,0.3875,0.0109,0.2211,0.001,0.1183,0.00311,0.01943,16939.613,1.649,0.4797,0.691,0.691
Uruguay,All,3.464003e6,0.0461,0.2972,0.07143,0.03306,0.02072,0.1912,0.01199,0.00102,15.517,0.6453,0.3097,0.5686,0.5686
Uzbekistan,All,3.4035959e7,0.09333,0.6891,0.0661,0.00522,0.01068,0.4224,0.01728,0.0002,52.047,1.412,0.4029,0.4942,0.4942
Venezuela,All,2.9442841e7,0.1203,0.3981,0.0133,0.03771,0.05657,0.1881,0.00665,0.0033,76.537,9.049,6.214,0.745,0.745
West Bank and Gaza,All,4.801744e6,0.09057,0.8177,0.0683,0.00711,0.04692,0.3298,0.03442,0.00124,2.548,1.326,0.9584,1.245,1.245
Zambia,All,1.8364219e7,0.04255,0.6148,0.09541,0.02251,0.01747,0.189,0.08043,0.01071,7.335,0.446,0.4182,0.7303,0.7303
