key,group_name,M,β,γ,α,μ,σ(β),σ(γ),σ(α),σ(μ),σ(E),R0,σ(R0),loss_7_days,loss_14_days
Cote d'Ivoire,All,2.6269866e7,0.1301,0.2222,0.1011,0.01311,0.00203,8.084,0.00321,0.00036,12932.952,1.287,0.04546,0.9717,0.9717
Croatia,All,4.047622e6,0.01739,0.2222,0.1143,0.04697,0.00131,1.729,0.00346,0.00057,11.669,0.1521,0.01231,0.1652,0.1652
Cuba,All,1.1361908e7,0.04825,0.2222,0.1038,0.04081,0.02406,4.345,0.00668,0.00068,1759.716,0.4646,0.2336,2.644,2.644
Czech Republic,All,1.0672417e7,0.08242,0.2222,0.1061,0.03559,0.00454,0.2624,0.0023,0.00042,223.19,0.777,0.04603,3.318,3.318
Denmark,All,5.846408e6,0.04147,0.2222,0.1058,0.05034,0.00074,,0.00304,0.00027,,0.392,0.01327,0.4575,0.4575
Djibouti,All,990313.0,0.001,0.2222,0.1082,0.00961,0.0023,0.6156,0.00217,0.0007,2287.568,0.00925,0.02127,1.813,1.813
Dominican Republic,All,1.0898284e7,0.1036,0.2222,0.1041,0.0324,0.00288,,0.0025,0.00089,,0.9947,0.03655,1.016,1.016
Ecuador,All,1.7659604e7,0.06632,0.2222,0.104,0.09404,0.01077,0.9772,0.00622,0.00091,5748.343,0.6379,0.1104,2.237,2.237
Egypt,All,1.02413231e8,0.09126,0.2222,0.1036,0.05145,0.00012,0.2777,0.00094,0.00222,7148.704,0.8811,0.00805,1.454,1.454
El Salvador,All,6.482845e6,0.08458,0.2222,0.1054,0.02465,0.0068,0.6387,0.00106,0.00099,1164.121,0.8024,0.06498,2.241,2.241
Estonia,All,1.313895e6,0.0806,0.2222,0.1003,0.037,0.02933,3.517,0.00928,0.00042,427.341,0.8035,0.3017,1.513,1.513
Finland,All,5.554574e6,0.04931,0.2222,0.1079,0.04807,5.0e-5,1.394,0.00087,0.00036,1209.514,0.4572,0.00372,0.508,0.508
France,All,6.7687174e7,0.001,0.2222,0.1113,,0.08084,1.572,0.00552,,34484.006,0.00898,0.7262,,
Gabon,All,2.251673e6,0.0416,0.2222,0.1093,0.00858,0.00685,,0.01055,0.00038,,0.3808,0.07266,1.293,1.293
Germany,All,8.2983285e7,0.06076,0.2222,0.1049,0.04787,0.0026,0.7305,0.00185,5.0e-5,5902.629,0.5793,0.02681,0.4362,0.4362
Ghana,All,3.1239088e7,0.08072,0.2222,0.1015,0.00581,0.00518,0.7521,0.00277,0.00018,2419.066,0.795,0.05544,2.18,2.18
Greece,All,1.0723526e7,0.1579,0.2222,0.1012,0.06225,0.00271,0.2457,0.01117,0.00031,21.559,1.56,0.1742,0.7064,0.7064
Guatemala,All,1.8016276e7,0.1007,0.2222,0.1031,0.05501,0.00555,0.5216,0.00212,0.00262,2432.683,0.9772,0.05748,1.233,1.233
Guinea,All,1.2992595e7,0.05038,0.2222,0.1061,0.00639,0.00586,0.6035,0.00437,0.00024,1159.013,0.4749,0.05858,0.7456,0.7456
Guinea-Bissau,All,1.969276e6,0.001,0.2222,0.1077,0.01005,0.02939,1.142,0.00405,0.00072,620.58,0.00928,0.2728,0.644,0.644
Haiti,All,1.1466044e7,0.1001,0.2222,0.1023,0.02732,0.02742,0.6101,0.00583,0.00256,2166.082,0.979,0.2738,1.34,1.34
Honduras,All,9.997955e6,0.1265,0.2222,0.108,0.05386,0.01374,0.7947,0.00536,0.0009,2577.391,1.171,0.1399,0.9332,0.9332
Hungary,All,9.728346e6,0.03254,0.2222,0.1073,,0.00717,0.5521,0.00303,,225.45,0.3034,0.06743,,
India,All,1.390254545e9,0.08444,0.2222,0.1036,0.04006,0.01012,0.4788,0.00105,0.00095,76888.814,0.8149,0.09804,1.727,1.727
Indonesia,All,2.74757901e8,0.1079,0.2222,0.1048,0.0731,0.00245,0.5502,0.0017,0.00104,7009.566,1.03,0.02876,0.9638,0.9638
Iran,All,8.3827713e7,0.05555,0.2222,0.1045,0.05541,0.00139,0.6698,0.00183,0.001,33758.193,0.5316,0.01621,3.28,3.28
Iraq,All,4.0593281e7,0.139,0.1724,0.0988,0.04978,0.02048,0.4798,0.00369,0.00101,5434.188,1.407,0.2139,1.205,1.205
Ireland,All,5.002283e6,0.001,0.2222,0.1105,0.06829,0.00405,,0.00128,0.00016,,0.00905,0.0367,0.3021,0.3021
Israel,All,9.230241e6,0.1416,0.2222,0.1028,0.01728,0.01429,0.737,0.00383,0.00012,1024.759,1.378,0.1482,0.9923,0.9923
Italy,All,6.0821283e7,0.04201,0.2222,0.1077,,2.0e-5,0.2247,0.00123,,2003.559,0.3902,0.00448,,
Japan,All,1.2649427e8,0.06025,0.2222,0.1063,0.05519,0.00525,2.458,0.00198,0.00019,1360.62,0.567,0.05049,1.367,1.367
Kazakhstan,All,1.8693685e7,0.04129,0.2222,0.1084,0.00573,0.00477,0.6654,0.00133,0.00032,5252.92,0.3807,0.04424,2.019,2.019
Kenya,All,5.4177517e7,0.09895,0.2222,0.1021,0.04458,0.00742,0.842,0.0016,0.00294,1912.47,0.969,0.07423,1.067,1.067
Kosovo,All,1.862192e6,0.1831,0.2222,0.1128,0.02823,0.00099,0.3086,0.03501,0.00069,27.078,1.623,0.5039,1.181,1.181
Kuwait,All,4.474225e6,0.05762,0.2222,0.1065,0.01037,0.00398,0.8588,0.00089,0.00024,15033.87,0.5412,0.03761,1.688,1.688
Kyrgyzstan,All,6.504691e6,0.05875,0.2222,0.1069,0.01403,0.00917,1.198,0.00274,0.00047,1411.266,0.5498,0.08699,0.8402,0.8402
Latvia,All,1.883606e6,0.001,0.2222,0.1094,0.02439,0.02632,0.699,0.00421,0.00049,30.668,0.00914,0.2406,1.022,1.022
Lebanon,All,7.303125e6,0.06552,0.2222,0.1064,0.02495,0.01479,0.3749,0.00419,0.00035,117.672,0.6159,0.1411,3.525,3.525
Lithuania,All,2.733144e6,0.1052,0.2222,0.1057,0.04366,0.01185,,0.00423,0.00051,,0.9959,0.119,1.173,1.173
Luxembourg,All,630779.0,0.06353,0.1999,0.1068,0.02749,0.00236,,0.00313,8.0e-5,,0.5947,0.02813,0.5423,0.5423
Malaysia,All,3.2622577e7,0.0186,0.2222,0.1057,0.0151,0.00729,1.542,0.00706,0.00019,1316.726,0.176,0.07002,1.96,1.96
Maldives,All,552037.0,0.001,0.2222,0.1105,0.00482,0.02879,0.7635,0.00227,0.0002,1007.54,0.00905,0.2605,0.6278,0.6278
Mexico,All,1.29654253e8,0.08408,0.2222,0.1044,,0.00222,0.4362,0.00245,,27788.606,0.8056,0.02842,,
Moldova,All,2.68288e6,0.09353,0.2222,0.1048,0.04331,0.00319,0.1792,0.00438,0.00046,638.046,0.8925,0.04812,1.4,1.4
Morocco,All,3.6937822e7,0.0979,0.2222,0.1043,0.02728,0.00103,0.1299,0.00343,0.00042,112.211,0.9385,0.03244,1.011,1.011
Nepal,All,2.8590852e7,0.1042,0.2222,0.1011,0.00731,0.00203,0.157,0.00232,0.00106,550.651,1.03,0.031,1.428,1.428
Netherlands,All,1.7383205e7,0.08209,0.1939,0.1045,,0.00299,0.1068,0.00122,,458.717,0.7854,0.03004,,
Nigeria,All,2.06401478e8,0.09834,0.2222,0.1055,0.03661,0.00635,0.8588,0.00325,0.00078,6474.853,0.9319,0.06663,1.307,1.307
North Macedonia,All,2.088377e6,0.112,0.2222,0.09916,0.06605,0.006,0.6324,0.00452,0.00226,642.396,1.129,0.07941,1.403,1.403
Norway,All,5.411934e6,0.0726,0.2222,0.1052,0.02844,0.00175,0.7727,0.00295,0.0001,164.292,0.6901,0.02549,1.695,1.695
Oman,All,5.252599e6,0.0902,0.2222,0.103,0.00693,5.0e-5,0.2711,0.00206,0.00028,3755.236,0.8761,0.01754,1.531,1.531
Pakistan,All,2.21843678e8,0.1018,0.2222,0.1027,0.02886,0.01399,2.213,0.00107,0.00072,128843.815,0.9912,0.1366,1.459,1.459
Panama,All,4.328485e6,0.09968,0.2222,0.1042,0.02969,0.00446,0.299,0.00264,0.00082,2411.686,0.9568,0.04916,1.353,1.353
Peru,All,3.2670922e7,0.05955,0.2222,0.1063,0.0361,0.00572,0.5587,0.00158,0.00054,75962.521,0.5604,0.05446,1.809,1.809
Philippines,All,1.1042589e8,0.08235,0.2222,0.1053,0.0568,0.00393,0.441,0.00163,0.00272,5906.82,0.7823,0.03922,1.766,1.766
Poland,All,3.7943338e7,0.101,0.2222,0.1031,0.05029,0.01078,0.2801,0.0037,0.00076,1976.928,0.98,0.1103,1.032,1.032
Portugal,All,1.0283147e7,0.0821,0.2222,0.1036,0.04604,0.00455,0.8361,0.00246,0.00058,4777.092,0.7925,0.04779,1.986,1.986
Qatar,All,3.30319e6,0.0669,0.2222,0.1054,0.00108,0.00154,0.4924,0.00086,7.0e-5,18655.391,0.6347,0.01551,8.476,8.476
Romania,All,1.9160783e7,0.07583,0.2222,0.1052,0.07086,0.0013,0.188,0.00227,0.00045,614.96,0.721,0.0199,1.6,1.6
Russia,All,1.44244558e8,0.07156,0.2222,0.1052,0.01538,0.00043,0.2124,0.00022,0.0002,37272.241,0.6799,0.00432,8.917,8.917
Saudi Arabia,All,3.5582072e7,0.1155,0.2222,0.104,0.00908,0.00191,0.2516,0.00129,0.00042,8844.804,1.111,0.02294,1.04,1.04
Senegal,All,1.6725284e7,0.0727,0.2222,0.1048,0.01409,0.0005,0.4522,0.0021,0.00023,882.218,0.6939,0.01471,3.259,3.259
Serbia,All,6.92569e6,0.0996,0.2222,0.1031,0.02207,0.00549,0.1858,0.00067,0.00015,127.304,0.9665,0.0536,1.134,1.134
Singapore,All,5.85343e6,0.05081,0.2222,0.1074,,8.0e-5,0.8931,0.00144,,8888.903,0.473,0.00639,,
Slovakia,All,5.45326e6,0.08314,0.2222,0.1115,0.01852,0.01487,,0.00371,6.0e-5,,0.7459,0.1357,0.8222,0.8222
Slovenia,All,2.083556e6,0.07396,0.2222,0.103,0.07402,0.04864,1.716,0.01177,0.00017,23.167,0.7184,0.4796,1.792,1.792
Somalia,All,1.5910843e7,0.06457,0.2222,0.1063,0.04295,0.01912,1.659,0.00422,0.00162,1746.732,0.6075,0.1815,3.37,3.37
South Africa,All,5.9411676e7,0.09658,0.1724,0.1016,0.03277,0.00132,0.7009,0.00211,0.00045,39661.807,0.9501,0.02361,1.27,1.27
South Korea,All,5.2144578e7,0.08357,0.2222,0.1037,0.02389,0.00558,,0.00204,7.0e-5,,0.8056,0.05603,1.441,1.441
Spain,All,4.7545141e7,0.04606,0.2222,0.1087,,0.00016,1.012,0.00165,,11541.123,0.4236,0.00659,,
Sri Lanka,All,2.2017708e7,0.001,0.2222,0.1085,0.00714,0.03117,0.417,0.00226,0.00038,455.96,0.00922,0.2873,0.6146,0.6146
Sudan,All,4.3832398e7,0.05356,0.2222,0.1061,0.07997,0.00298,0.904,0.0043,0.00138,3652.1,0.5046,0.03469,2.303,2.303
Sweden,All,1.0331337e7,0.07587,0.2222,0.1037,,0.01051,1.948,0.00465,,22184.723,0.7313,0.1065,,
Switzerland,All,8.6753e6,0.05807,0.2222,0.1081,0.06267,0.00128,0.4895,0.00386,0.00016,181.729,0.5372,0.02258,0.3406,0.3406
Tajikistan,All,9.494572e6,0.04865,0.2222,0.1072,0.01339,0.00172,0.2917,0.00033,0.00092,735.509,0.4536,0.01608,0.2991,0.2991
Thailand,All,7.0187992e7,0.08501,0.2222,0.1038,0.01887,0.00831,,0.00456,7.0e-5,,0.8193,0.08778,1.847,1.847
Tunisia,All,1.1792303e7,0.001,0.2222,0.1131,0.04581,0.0535,1.003,0.00035,0.0002,111.678,0.00884,0.4728,0.3196,0.3196
Turkey,All,8.4767099e7,0.07095,0.2222,0.1061,0.02915,0.00311,0.3313,0.00049,0.00017,6716.243,0.6685,0.02942,0.6289,0.6289
Ukraine,All,4.4143362e7,0.07309,0.2222,0.1045,0.03458,0.00088,0.6142,0.00177,0.00028,6173.548,0.6996,0.01451,2.35,2.35
United Arab Emirates,All,1.0910461e7,0.059,0.2222,0.106,0.0084,0.00088,0.4767,0.00054,0.00026,6605.507,0.5567,0.00878,1.526,1.526
United Kingdom,All,6.7359087e7,0.0466,0.2222,0.1069,,0.00148,0.6149,0.00105,,23114.023,0.4359,0.01452,,
United States,All,3.32049547e8,0.06644,0.2222,0.1048,0.06328,0.00074,1.194,0.00208,0.00087,511208.04,0.6339,0.01443,3.805,3.805
Uzbekistan,All,3.4035959e7,0.1288,0.2222,0.1029,0.0049,0.00069,0.2846,0.00762,0.0001,395.727,1.252,0.093,0.9486,0.9486
Venezuela,All,2.9442841e7,0.07143,0.2222,0.1041,0.01349,0.0167,0.5419,0.00364,0.00133,824.872,0.6863,0.1623,2.099,2.099
Zambia,All,1.8364219e7,0.1593,0.2222,0.1106,0.00887,0.05517,,0.02633,0.00129,,1.44,0.605,2.939,2.939
